title,summary,link,published
อุตุฯ เตือน ฉ.2 ฝนตกหนัก 24 จังหวัด 25 ก.ย.นี้,กรมอุตุนิยมวิทยา ประกาศ พายุโซนร้อน “เตี้ยนหมู่” ฉบับที่ 2 ลงวันที่ 23 ก.ย.64 โดยระบุว่าเมื่อเวลา 16.00 น. ของวันนี้ (23 ก.ย. 64) พายุดีเปรสชันบริเวณทะเลจีนใต้ตอนกลางได้ทวีกำลังแรงขึ้นเป็นพายุโซนร้อน “เตี้ยนหมู่”แล้ว มีศูนย์กลางอย,https://mgronline.com/uptodate/detail/9640000094596,"Thu, 23 Sep 2021 12:55:04 GMT"
กาญจนบุรีพบผู้ติดเชื้อโควิดเพิ่ม 204 ราย ดับ 1 ราย,"ศูนย์ปฏิบัติการแก้ไขปัญหาจากโรคติดเชื้อไวรัสโคโรนา 2019 (COVID-19) จังหวัดกาญจนบุรี รายงานสถานการณ์การแพร่ระบาดของโรคติดเชื้อโควิด-19 ว่า มีผู้ติดเชื้อรายใหม่ 204 ราย รวมผู้ป่วยสะสม 16,278 ราย หายป่วยเพิ่ม 99 ราย หายป่วยสะสม 13,50",https://mgronline.com/uptodate/detail/9640000094586,"Thu, 23 Sep 2021 12:24:28 GMT"
ข่าวปลอม! เขื่อนเจ้าพระยาเปิดประตูระบายน้ำ ส่งผลอีกสัปดาห์ จะเกิดน้ำท่วมนนทบุรี-กทม.,จากกรณีมีผู้โพสต์ผ่านสื่อออนไลน์ว่า แจ้งเตือนระวังน้ำท่วม (สำหรับคนกรุงเทพฯ และคนเมืองนนทบุรี) เขื่อนเจ้าพระยาเปิดประตูระบายน้ำทุกบานแล้ว อีก 1 สัปดาห์จะถึงนนทบุรี คาด กทม. ไม่น่าจะรอดนั้น ทางกรมชลประทาน กระทรวงเกษตรและสหกรณ์ ได้ต,https://mgronline.com/uptodate/detail/9640000094583,"Thu, 23 Sep 2021 12:19:09 GMT"
สั่งปิดโรงแรมดังเชียงใหม่ 14 วัน หลังพบพนักงานติดโควิด 8 ราย,ความคืบหน้ากรณีพบคลัสเตอร์พนักงานโรงแรมกรีนเลค รีสอร์ท (Green Lake Resort) ต.ช้างเผือก จ.เชียงใหม่ ติดโควิด-19 จำนวน 8 ราย เป็นพนักงาน 7 ราย และผู้สัมผัสในครอบครัวอีก 1 รายนั้นล่าสุด นพ.กิตติพันธุ์ ฉลอม ผู้ช่วยนายแพทย์ สสจ.เชียงให,https://mgronline.com/uptodate/detail/9640000094574,"Thu, 23 Sep 2021 11:52:38 GMT"
ศบค.ชุดเล็ก ชงต่อ พ.ร.ก.ฉุกเฉิน 2 เดือน-เลื่อนเปิดพื้นที่แซนด์บ็อกซ์ 5 จังหวัด,พล.อ.ณัฐพล นาคพาณิชย์ เลขาธิการสภาความมั่นคงแห่งชาติ (สมช.) ในฐานะผู้อำนวยการศูนย์ปฏิบัติการศูนย์บริหารสถานการณ์โควิด-19 (ศปก.ศบค.) เป็นประธานการประชุม ศปก.ศบค. โดยที่ประชุมเห็นชอบขยายเวลาการประกาศใช้ พ.ร.ก.ฉุกเฉิน ออกไปอีก 2 เดือ,https://mgronline.com/uptodate/detail/9640000094571,"Thu, 23 Sep 2021 11:46:05 GMT"
คกก.โรคติดต่อฯ เตรียมชง ศบค. ลดวันกักตัวเข้าไทย,นพ.โอภาส การย์กวินพงศ์ อธิบดีกรมควบคุมโรค กระทรวงสาธารณสุข กล่าวภายหลังการประชุมคณะกรรมการโรคติดต่อแห่งชาติ ครั้งที่ 9/2564 เรื่องการลดวันกักตัวในการเดินทางเข้าประเทศ ว่า ที่ประชุมเห็นชอบปรับมาตรการเดินทางเข้าราชอาณาจักร จากเดิม 1,https://mgronline.com/uptodate/detail/9640000094544,"Thu, 23 Sep 2021 10:55:24 GMT"
“ปตท.-บางจาก”ปรับขึ้นราคาเบนซิน -โซฮอล์ 30 สต. /E85 ขึ้น 15 สต.พรุ่งนี้,ปตท.และบางจาก ประกาศปรับขึ้นราคาขายปลีกน้ำมันกลุ่มเบนซิน และแก๊สโซฮอล์ทุกชนิด 0.30 บาทต่อลิตร ยกเว้นแก๊สโซฮอล์ E85 ปรับขึ้น 0.15 บาทต่อลิตร ส่วนกลุ่มดีเซลปรับขึ้น 0.40 บาทต่อลิตร โดยมีผลวันพรุ่งนี้ ( 24 ก.ย.) เวลา 05.00 น. เป็นต้น,https://mgronline.com/uptodate/detail/9640000094534,"Thu, 23 Sep 2021 10:36:51 GMT"
ปทุมธานีพบผู้ติดเชื้อโควิดเพิ่ม 110 ราย เสียชีวิต 4 ราย,"สำนักงานสาธารณสุขจังหวัดปทุมธานี รายงานสถานการณ์โรคติดเชื้อไวรัสโคโรนา 2019 (COVID-19) ประจำวันที่ 23 กันยายน 2564 มีผู้ติดเชื้อรายใหม่ 110 ราย ยืนยันสะสม 35,893 ราย อยู่ระหว่างรักษา 6,995 ราย กลับบ้านแล้ว 28,161 ราย เสียชีวิต 4 ราย",https://mgronline.com/uptodate/detail/9640000094525,"Thu, 23 Sep 2021 10:13:44 GMT"
เชียงใหม่แจ้งผู้มีประวัติไปคริสตจักรหนองหาร 8-21 ก.ย. ให้ตรวจหาเชื้อโควิด,สำนักงานสาธารณสุขจังหวัดเชียงใหม่ ประกาศแจ้งผู้ที่เสี่ยงสัมผัสผู้ติดเชื้อโควิด-19 ผู้ที่มีประวัติเดินทางไปคริสตจักรหนองหาร ต.หนองหาร อ.สันทราย จ.เชียงใหม่ ระหว่างวันที่ 8-21 กันยายน 2564 ขอให้เข้ารับการตรวจหาเชื้อโควิด-19 ได้ที่ศูน,https://mgronline.com/uptodate/detail/9640000094524,"Thu, 23 Sep 2021 10:12:30 GMT"
"หุ้นไทยปิดตลาดบวก 11.56 จุด มูลค่าซื้อขาย 140,532.64 ล้านบาท","บรรยากาศการซื้อขายหุ้นไทยดัชนีปิดที่ 1,631.15 จุด ปรับขึ้น 11.56 จุด หรือ 0.71% มูลค่าซื้อขาย 140,532.64 ล้านบาท",https://mgronline.com/uptodate/detail/9640000094523,"Thu, 23 Sep 2021 10:11:30 GMT"
