title,summary,link,published
“อุสมานมูซา” หมดสิทธิ์ช่วยโต๊ะเล็กช้างศึก ดวลคาซัคสถาน,“มูฮัมหมัด อุสมานมูซา” กองหน้าดาวรุ่ง “โต๊ะเล็กช้างศึก” ไม่ฟิตหมดสิทธิ์ช่วยทีม ในเกมดวล คาซัคสถาน รอบ 16 ทีมสุดท้าย ศึกฟุตซอลโลก 2021 คืนนี้,https://tna.mcot.net/sport-787100,"Thu, 23 Sep 2021 13:31:06 +0000"
ปรับทัพ พปชร. เรียกความเชื่อมั่นตั้งเป้าเป็นรัฐบาลอีกครั้ง,พรรคพลังประชารัฐยังคงใช้รัฐสภาเป็นที่ประชุม ท่ามกลางกระแสรอยร้าวภายใน แม้วันนี้ พล.อ.ประวิตร วงษ์สุวรรณ หัวหน้าพรรค ไม่เข้าร่วมประชุม แต่ส่งตัวแทน คือ ประธานยุทธศาสตร์พรรคคนใหม่ และเลขาธิการพรรคคนเดิม นั่งหัวโต๊ะแทน พร้อมประกาศสร้างความปรองดองในพรรค นำพลังประชารัฐเข้าสู่สนามเลือกตั้ง และกลับมาเป็นแกนนำจัดตั้งรัฐบาลอีกครั้ง,https://tna.mcot.net/politics-787076,"Thu, 23 Sep 2021 13:18:09 +0000"
รู้ทันกลโกงทางออนไลน์,นับวันมิจฉาชีพก็ยิ่งพลิกแพลงวิธีหลอกลวงประชาชนผ่านทางออนไลน์มากขึ้น โดยให้ซื้อสินค้าและบริการต่างๆ ซึ่งพอชำระเงินแล้ว ไม่ได้สินค้าบ้าง หรือได้ แต่ไม่ตรงปก รวมถึงลวงให้บอกข้อมูลส่วนตัวที่สำคัญก็มีมาก วันนี้สำนักข่าวไทยมีข้อแนะนำที่จะใช้เป็นภูมิคุ้มกันกลโกงของมิจฉาชีพได้,https://tna.mcot.net/social-787073,"Thu, 23 Sep 2021 13:18:01 +0000"
จี้ผู้ว่าฯ ตรวจสอบงบ 200 ล้าน,นายก อบต.ราชาเทวะ ยังเดินหน้าผลักดันโครงการ Land mark ระดับโลก ล่าสุด สภา อบต.อนุมัติกันงบ 200 ล้าน ทำโครงการนี้ในปีถัดไป และตั้งงบโครงการนี้ในปี 65 เพิ่มอีก 42 ล้าน ด้านสมาชิกสภา อบต. เรียกร้องให้ผู้ว่าฯ ตรวจสอบ ซึ่งนายก อบต.จะครบวาระ 1 ตุลาคมนี้,https://tna.mcot.net/region-787058,"Thu, 23 Sep 2021 13:02:43 +0000"
ศบค.ชุดเล็ก ชงต่อ พ.ร.ก.ฉุกเฉิน 2 เดือน เลื่อนเปิดเมืองไป 1 พ.ย.,ศบค.ชุดเล็ก เสนอต่อ พ.ร.ก.ฉุกเฉิน 2 เดือน เลื่อนเปิดเมืองไป 1 พ.ย. แต่ยังคงเคอร์ฟิวเช่นเดิม เตรียมชง ศบค.ชุดใหญ่ 27 ก.ย.นี้,https://tna.mcot.net/politics-787084,"Thu, 23 Sep 2021 12:59:00 +0000"
ชาวบ้านประสานเสียงวัดดูแลศูนย์บำบัดดี,สำนักข่าวไทย เกาะติดกรณีศูนย์บำบัด ในจังหวัดกาญจนบุรี ถูกร้องเรียนทั้งเรื่องความแออัด และดูแลผู้บำบัดไม่เหมาะสม ซึ่ง 2 วันที่ผ่านมาเราเสนอฟากผู้ร้องไปแล้ว วันนี้เราไปฟังฝั่งคนที่หนุนให้ศูนย์บำบัดยังคงอยู่ต่อไป แม้ตอนนี้ศูนย์จะถูกปิดไปแล้ว แต่ยังมีผู้บำบัดหลายคนที่เปลี่ยนจากอยู่ที่ศูนย์มาบวชเป็นพระ พร้อมยืนยันวัดดูแลดี,https://tna.mcot.net/region-787036,"Thu, 23 Sep 2021 12:41:20 +0000"
จ่อออกหมายจับหลอกขายมือถือเด็ก 14 จนเครียดเสียชีวิต,ตำรวจ สภ.นาหวาย เตรียมขอศาลออกหมายจับคนร้ายหลอกขายโทรศัพท์มือถือทางออนไลน์ ทำเด็กวัย 14 ปี เครียดจนเส้นเลือดในสมองแตกเสียชีวิต,https://tna.mcot.net/region-787067,"Thu, 23 Sep 2021 12:37:04 +0000"
ได้ข้อสรุปแล้ว แก้ปัญหาสถานีอยุธยา รถไฟความเร็วสูง,"""ศักดิ์สยาม"" ร่วมหารือ 2 กระทรวง แก้ปัญหาสถานีรถไฟความเร็วสูงจังหวัดพระนครศรีอยุธยา ล่าสุดได้ข้อสรุปลดระดับสันรางลงเหลือ 17 เมตร รวมถึงจัดทำรายงานผลกระทบต่อมรดกโลกทางวัฒนธรรม และกำหนดมาตรการจำกัดความสูงของอาคารรอบสถานี",https://tna.mcot.net/business-787056,"Thu, 23 Sep 2021 12:27:02 +0000"
ฎีกายกฟ้องวิศวกร คดีไฟไหม้ตึก SCB ปี 59,ปิดฉากเหตุเพลิงไหม้อาคารสำนักงานใหญ่ ธนาคารไทยพาณิชย์ เมื่อปี 59 ที่มีสาเหตุจากสารเคมีในถังดับเพลิงทำงานอัตโนมัติ ทำให้คนงานเสียชีวิต 8 คน โดยวันนี้ศาลฎีกาพิพากษา “ยกฟ้อง” วิศกรโครงการปรับปรุงระบบป้องกันอัคคีภัย โดยให้เหตุผลไม่ได้ทำการโดยประมาท,https://tna.mcot.net/crime-786908,"Thu, 23 Sep 2021 12:24:17 +0000"
ธารลาวาแดงฉาน กลืนทุกอย่างราบเป็นหน้ากลอง,ภาพมุมสูงจากโดรน เผยให้เห็นธารลาวาสีแดงไหลลงมาจากภูเขาไฟบนเกาะลาปัลมา ประเทศสเปน ทำลายอาคารบ้านเรือนและทุกสิ่งอย่างตามเส้นทางผ่าน,https://tna.mcot.net/world-787040,"Thu, 23 Sep 2021 12:18:44 +0000"
