title,summary,link,published
คพ. ยื่นหนังสือให้อธิบดีกรมสอบสวนคดีพิเศษ  ( DSI ) รับทำคดีพิเศษลอบทิ้งขยะพิษบ้านดีลัง จ.ลพบุรี ระบุการหาผู้กระทำความผิดมีความซับซ้อน ต้องบุุคคลที่มีความรู้ในการสืบสวนสอบสวน ห่วงปล่อยกระทบชาวบ้าน สิ่งแวดล้อม,คพ. ยื่นหนังสือให้อธิบดีกรมสอบสวนคดีพิเศษ  ( DSI ) รับทำคดีพิเศษลอบทิ้งขยะพิษบ้านดีลัง จ.ลพบุรี ระบุการหาผู้กระทำความผิดมีความซับซ้อน ต้องบุุคคลที่มีความรู้ในการสืบสวนสอบสวน ห่วงปล่อยกระทบชาวบ้าน สิ่งแวดล้อม,http://news.thaipbs.or.th/breakingnews,"Thu, 23 Sep 2021 18:49:23 +0700"
ที่ประชุมศปก.ศบค.ชุดเล็ก มีมติเห็นชอบให้ขยายเวลาหรือต่ออายุการบังคับใช้พ.ร.ก.ฉุกเฉินฯ ที่จะสิ้นสุดสิ้นเดือนก.ย.นี้ ออกไปอีก 2 เดือน (ต.ค.-พ.ย.) พร้อมมีมติให้เลื่อนวันเปิดเมืองจากเดิม  1 ต.ค.เป็น 1 พ.ย.นี้,ที่ประชุมศปก.ศบค.ชุดเล็ก มีมติเห็นชอบให้ขยายเวลาหรือต่ออายุการบังคับใช้พ.ร.ก.ฉุกเฉินฯ ที่จะสิ้นสุดสิ้นเดือนก.ย.นี้ ออกไปอีก 2 เดือน (ต.ค.-พ.ย.) พร้อมมีมติให้เลื่อนวันเปิดเมืองจากเดิม  1 ต.ค.เป็น 1 พ.ย.นี้,http://news.thaipbs.or.th/breakingnews,"Thu, 23 Sep 2021 17:34:02 +0700"
ส่วนเข็มที่ 2 ครอบคลุมอย่างน้อย 70% ภายในเดือนธ.ค.นี้ ส่วนผู้ที่ได้รับการฉีดวัคซีนเชื้อตายครบ 2 เข็ม และผู้ที่เคยติดเชื้อโควิด จะได้รับเข็มกระตุ้น 1 เข็ม โดยจัดสรรเดือนละ 1-2 ล้านโดส ตั้งแต่ต.ค.-ธ.ค.นี้,ส่วนเข็มที่ 2 ครอบคลุมอย่างน้อย 70% ภายในเดือนธ.ค.นี้ ส่วนผู้ที่ได้รับการฉีดวัคซีนเชื้อตายครบ 2 เข็ม และผู้ที่เคยติดเชื้อโควิด จะได้รับเข็มกระตุ้น 1 เข็ม โดยจัดสรรเดือนละ 1-2 ล้านโดส ตั้งแต่ต.ค.-ธ.ค.นี้,http://news.thaipbs.or.th/breakingnews,"Thu, 23 Sep 2021 17:33:32 +0700"
สธ.ระบุ ไทยสามารถจัดหาวัคซีนได้ตามแผน 125 ล้านโดส จะมีผู้ได้รับวัคซีน 62 ล้านคน คิดเป็น 90% มีเป้าหมายฉีดเข็ม 1 ครอบคลุมอย่างน้อย 70% ภายในเดือนพ.ย.นี้ และ 80% ภายในธ.ค.นี้,สธ.ระบุ ไทยสามารถจัดหาวัคซีนได้ตามแผน 125 ล้านโดส จะมีผู้ได้รับวัคซีน 62 ล้านคน คิดเป็น 90% มีเป้าหมายฉีดเข็ม 1 ครอบคลุมอย่างน้อย 70% ภายในเดือนพ.ย.นี้ และ 80% ภายในธ.ค.นี้,http://news.thaipbs.or.th/breakingnews,"Thu, 23 Sep 2021 17:33:18 +0700"
คณะกรรมการโรคติดต่อฯ เห็นชอบลดเวลากักกันผู้เดินทางต่างประเทศเข้าพื้นที่นำร่องการท่องเที่ยวที่เตรียมเปิดเพิ่มในเดือนพ.ย.นี้ เตรียมเสนอศบค. พร้อมทดลองเปิดให้คนไทยเข้าเที่ยวก่อนในเดือนต.ค.นี้,คณะกรรมการโรคติดต่อฯ เห็นชอบลดเวลากักกันผู้เดินทางต่างประเทศเข้าพื้นที่นำร่องการท่องเที่ยวที่เตรียมเปิดเพิ่มในเดือนพ.ย.นี้ เตรียมเสนอศบค. พร้อมทดลองเปิดให้คนไทยเข้าเที่ยวก่อนในเดือนต.ค.นี้,http://news.thaipbs.or.th/breakingnews,"Thu, 23 Sep 2021 17:32:37 +0700"
ท่าเรือข้ามฟากคลองสาน เตรียมปิดให้บริการ 31 ธ.ค.2564 หลังหมดสัญญาเช่าจากการรถไฟแห่งประเทศไทย แม้ว่าก่อนหน้านี้จะมีการเจรจาขอขึ้นค่าเช่า แต่ทางเจ้าของบริษัทเรือมีความประสงค์ไม่ต่อสัญญา,ท่าเรือข้ามฟากคลองสาน เตรียมปิดให้บริการ 31 ธ.ค.2564 หลังหมดสัญญาเช่าจากการรถไฟแห่งประเทศไทย แม้ว่าก่อนหน้านี้จะมีการเจรจาขอขึ้นค่าเช่า แต่ทางเจ้าของบริษัทเรือมีความประสงค์ไม่ต่อสัญญา,http://news.thaipbs.or.th/breakingnews,"Thu, 23 Sep 2021 11:23:57 +0700"
อธิบดีคพ.เข้าหารือกับอธิบดี DSI หารือปัญหาลอบทิ้งกากขยะอุตสาหกรรม ส่วนที่บ้านดีลัง จ.ลพบุรี เจ้าหน้าที่เข้าสำรวจจุดฝังกาก 3 จุดลึก 2 เมตร พบสารเคมีกลิ่นเหม็นรุนแรง เก็บตัวอย่างส่งตำรวจ ประเมินมีสารพิษตกค้าง 500 ตัน,อธิบดีคพ.เข้าหารือกับอธิบดี DSI หารือปัญหาลอบทิ้งกากขยะอุตสาหกรรม ส่วนที่บ้านดีลัง จ.ลพบุรี เจ้าหน้าที่เข้าสำรวจจุดฝังกาก 3 จุดลึก 2 เมตร พบสารเคมีกลิ่นเหม็นรุนแรง เก็บตัวอย่างส่งตำรวจ ประเมินมีสารพิษตกค้าง 500 ตัน,http://news.thaipbs.or.th/breakingnews,"Thu, 23 Sep 2021 11:23:01 +0700"
เครือข่ายเยาวชน ยื่นหนังสือถึง รมว.ยุติธรรม เรียกร้องเพิ่มมาตรการป้องกัน และคุมเข้มเด็กและเยาวชน หลังปลดล็อกให้พืชกระท่อมออกจากบัญชียาเสพติด เนื่องจากพบเยาวชนนำพืชกระท่อมมาผสมเป็นยาเสพติด หรือเรียกว่า 4 คูณ 100,เครือข่ายเยาวชน ยื่นหนังสือถึง รมว.ยุติธรรม เรียกร้องเพิ่มมาตรการป้องกัน และคุมเข้มเด็กและเยาวชน หลังปลดล็อกให้พืชกระท่อมออกจากบัญชียาเสพติด เนื่องจากพบเยาวชนนำพืชกระท่อมมาผสมเป็นยาเสพติด หรือเรียกว่า 4 คูณ 100,http://news.thaipbs.or.th/breakingnews,"Thu, 23 Sep 2021 11:20:51 +0700"
"จุดตรวจคัดกรองโควิด-19 แบบ ATK ที่ศูนย์ราชการแจ้งวัฒนะ มีคนมาตรวจน้อยลง ซึ่งจุดตรวจนี้รองรับการตรวจวันละ 1,000 คน โดยมีผู้ขอรับการตรวจเพียง 200 คน","จุดตรวจคัดกรองโควิด-19 แบบ ATK ที่ศูนย์ราชการแจ้งวัฒนะ มีคนมาตรวจน้อยลง ซึ่งจุดตรวจนี้รองรับการตรวจวันละ 1,000 คน โดยมีผู้ขอรับการตรวจเพียง 200 คน",http://news.thaipbs.or.th/breakingnews,"Thu, 23 Sep 2021 11:03:18 +0700"
ชาวบ้าน อ.สนามชัยเขต จ.ฉะเชิงเทรา รวมกลุ่มปลูกผักปลอดสารส่งขายช่วงโควิด-19 รายได้งาม ขยายโครงงานไปหลายพื้นที่ พร้อมให้ความรู้ และต่อยอด รับซื้อส่งขายครบวงจร,ชาวบ้าน อ.สนามชัยเขต จ.ฉะเชิงเทรา รวมกลุ่มปลูกผักปลอดสารส่งขายช่วงโควิด-19 รายได้งาม ขยายโครงงานไปหลายพื้นที่ พร้อมให้ความรู้ และต่อยอด รับซื้อส่งขายครบวงจร,http://news.thaipbs.or.th/breakingnews,"Thu, 23 Sep 2021 10:54:23 +0700"
ส่วนบริษัทผู้รับใบอนุญาตประกอบกิจการโทรคมนาคมที่ให้บริการขายต่อ SMS หากพบว่าเป็นผู้ส่ง SMS จะมีบทลงโทษเริ่มจากเตือน ปรับ พักใช้ใบอนุญาต จนถึงเพิกถอนใบอนุญาต,ส่วนบริษัทผู้รับใบอนุญาตประกอบกิจการโทรคมนาคมที่ให้บริการขายต่อ SMS หากพบว่าเป็นผู้ส่ง SMS จะมีบทลงโทษเริ่มจากเตือน ปรับ พักใช้ใบอนุญาต จนถึงเพิกถอนใบอนุญาต,http://news.thaipbs.or.th/breakingnews,"Thu, 23 Sep 2021 10:33:58 +0700"
เริ่มวันแรก! กสทช.ให้ทุกค่ายมือถือ บล็อก SMS หลอกลวง พนันออนไลน์ และอนาจารทันที ป้องกันประชาชนตกเป็นเหยื่อ,เริ่มวันแรก! กสทช.ให้ทุกค่ายมือถือ บล็อก SMS หลอกลวง พนันออนไลน์ และอนาจารทันที ป้องกันประชาชนตกเป็นเหยื่อ,http://news.thaipbs.or.th/breakingnews,"Thu, 23 Sep 2021 10:33:52 +0700"
เริ่มวันแรก! กสทช.ให้ทุกค่ายมือถือ บล็อก SMS หลอกลวง พนันออนไลน์ และอนาจารทันที ป้องกันประชาชนตกเป็นเหยื่อ,เริ่มวันแรก! กสทช.ให้ทุกค่ายมือถือ บล็อก SMS หลอกลวง พนันออนไลน์ และอนาจารทันที ป้องกันประชาชนตกเป็นเหยื่อ,http://news.thaipbs.or.th/breakingnews,"Thu, 23 Sep 2021 10:33:45 +0700"
สถาบันวิจัยดาราศาสตร์แห่งชาติ ระบุว่า วันนี้ (23 ก.ย.) เป็นวันศารทวิษุวัต ซึ่งมีความหมาย หมายถึงเวลากลางวันและกลางคืนยาวเท่ากัน,สถาบันวิจัยดาราศาสตร์แห่งชาติ ระบุว่า วันนี้ (23 ก.ย.) เป็นวันศารทวิษุวัต ซึ่งมีความหมาย หมายถึงเวลากลางวันและกลางคืนยาวเท่ากัน,http://news.thaipbs.or.th/breakingnews,"Thu, 23 Sep 2021 10:28:30 +0700"
กมธ.ต่างประเทศ ตรวจสอบปัญหาเสียงดังจากการฝึกบินเครื่องบินขับไล่เอฟ-16 ระหว่างกองทัพอากาศไทย-สิงคโปร์ จ.อุดรธานี เบื้องต้นปรับเวลาขึ้นลง-เส้นทางการบินพืื้นที่ชุมชน สถานศึกษา เล็งย้ายศูนย์ฝึกบินที่ใหม่อีก 3-5 ปี,กมธ.ต่างประเทศ ตรวจสอบปัญหาเสียงดังจากการฝึกบินเครื่องบินขับไล่เอฟ-16 ระหว่างกองทัพอากาศไทย-สิงคโปร์ จ.อุดรธานี เบื้องต้นปรับเวลาขึ้นลง-เส้นทางการบินพืื้นที่ชุมชน สถานศึกษา เล็งย้ายศูนย์ฝึกบินที่ใหม่อีก 3-5 ปี,http://news.thaipbs.or.th/breakingnews,"Thu, 23 Sep 2021 10:14:54 +0700"
กรมอุตุฯ เผยภาคกลางมีฝนฟ้าคะนองร้อยละ 80 และมีฝนตกหนักบางแห่ง ส่วนภาคเหนือ ภาคตะวันออกเฉียงเหนือ และภาคตะวันออก มีฝนฟ้าคะนองร้อยละ 70 และมีฝนตกหนักบางแห่ง ขณะที่ภาคใต้ กรุงเทพฯ และปริมณฑล มีฝนฟ้าคะนองร้อยละ 60 และมีฝนตกหนักบางแห่ง,กรมอุตุฯ เผยภาคกลางมีฝนฟ้าคะนองร้อยละ 80 และมีฝนตกหนักบางแห่ง ส่วนภาคเหนือ ภาคตะวันออกเฉียงเหนือ และภาคตะวันออก มีฝนฟ้าคะนองร้อยละ 70 และมีฝนตกหนักบางแห่ง ขณะที่ภาคใต้ กรุงเทพฯ และปริมณฑล มีฝนฟ้าคะนองร้อยละ 60 และมีฝนตกหนักบางแห่ง,http://news.thaipbs.or.th/breakingnews,"Thu, 23 Sep 2021 09:33:29 +0700"
ทธ.ประกาศเฝ้าระวังภัยดินถล่มและน้ำป่าไหลหลาก จ.เชียงใหม่ เชียงราย ลำปาง พิษณุโลก เพชรบูรณ์ สุโขทัย ตาก อุทัยธานี สุพรรณบุรี กาญจนบุรี เลย ชัยภูมิ ระยอง จันทบุรี ตราด ระนอง กระบี่ พังงา ตรัง สตูล วันที่ 22-24 ก.ย.,ทธ.ประกาศเฝ้าระวังภัยดินถล่มและน้ำป่าไหลหลาก จ.เชียงใหม่ เชียงราย ลำปาง พิษณุโลก เพชรบูรณ์ สุโขทัย ตาก อุทัยธานี สุพรรณบุรี กาญจนบุรี เลย ชัยภูมิ ระยอง จันทบุรี ตราด ระนอง กระบี่ พังงา ตรัง สตูล วันที่ 22-24 ก.ย.,http://news.thaipbs.or.th/breakingnews,"Thu, 23 Sep 2021 09:03:38 +0700"
วันแรก การรถไฟแห่งประเทศไทย เปิดเดินรถเพิ่ม 18 ขบวน ทั้งขบวนรถด่วนพิเศษ รถด่วน และรถเร็วในเส้นทางสายใต้ สายเหนือ และสายตะวันออกเฉียงเหนือ รองรับการเดินทางของประชาชน,วันแรก การรถไฟแห่งประเทศไทย เปิดเดินรถเพิ่ม 18 ขบวน ทั้งขบวนรถด่วนพิเศษ รถด่วน และรถเร็วในเส้นทางสายใต้ สายเหนือ และสายตะวันออกเฉียงเหนือ รองรับการเดินทางของประชาชน,http://news.thaipbs.or.th/breakingnews,"Thu, 23 Sep 2021 09:00:56 +0700"
ปภ.รายงานสถานการณ์อ่างเก็บน้ำแม่มอก อ.เถิน จ.ลำปาง ยังไหลล้นสปิลเวย์ ปริมาณน้ำคงเหลือ 109.67% น้ำล้นสปิลเวย์ 134.048 ลบ.ม.ต่อวินาที,ปภ.รายงานสถานการณ์อ่างเก็บน้ำแม่มอก อ.เถิน จ.ลำปาง ยังไหลล้นสปิลเวย์ ปริมาณน้ำคงเหลือ 109.67% น้ำล้นสปิลเวย์ 134.048 ลบ.ม.ต่อวินาที,http://news.thaipbs.or.th/breakingnews,"Thu, 23 Sep 2021 08:58:21 +0700"
