title,summary,link,published
เปิดแผนแม่บท การบริหารจัดการน้ำ 20 ปีกรุงเทพมหานคร ที่ควรลำดับความสำคัญเสียใหม่ก่อนที่จะสาย,เปิดแผนแม่บท การบริหารจัดการน้ำ 20ปี กรุงเทพมหานคร ที่ควรลำดับความสำคัญเสียใหม่ก่อนที่จะสาย,https://thaipublica.org/2021/09/atthaseth-petchmeesri05/,"Thu, 23 Sep 2021 11:06:52 +0000"
สหภาพยาสูบบุกคลัง ค้านขึ้นภาษีบุหรี่ เฟส 2 ดันราคาเพิ่มซองละ 8-10 บาท,"สหภาพยาสูบบุกคลัง ยื่นหนังสือถึง รมว.คลัง คัดค้านปรับขึ้นภาษียาสูบเฟส 2 ดันราคาบุหรี่เพิ่มอีกซอง 8-10 บาท  ชี้ผลกระทบจากการปรับโครงสร้างภาษี 4 ปีที่ผ่านมาเงินรายได้นำส่งคลังหายกว่า 34,000 ล้านบาท-เกษตรกรขาดรายได้ 900 ล้านบาท วอนรัฐพิจารณาให้รอบด้าน - ไม่ควรมองแค่ผลกระทบต่อสุขภาพด้านเดียว",https://thaipublica.org/2021/09/ministry-finance-raises-cigarette-taxes/,"Thu, 23 Sep 2021 10:35:33 +0000"
วิจัยกรุงศรี วิเคราะห์ควรทำนโยบายอย่างไรไม่ให้เศรษฐกิจไทยซึมยาว ในวันที่ FED ถอน  QE,Research Intelligence ของวิจัยกรุงศรีวิเคราะห์ เศรษฐกิจไทยจะเป็นอย่างไร ในวันที่มหาอำนาจใหญ่ถอนคันเร่งนโยบาย,https://thaipublica.org/2021/09/krungsri-research-policy-divergent-impact-thailand/,"Thu, 23 Sep 2021 09:35:24 +0000"
ป่าชุมชนกับบทบาทปรับตัวการเปลี่ยนแปลงสภาพภูมิอากาศ,ป่าชุมชนกับบทบาทปรับตัวการเปลี่ยนแปลงสภาพภูมิอากาศ เรามั่นใจว่าวิถีชีวิตของคนพอเพียง แบ่งปัน ผูกพัน คน น้ำ ป่า ได้สร้างวิถีที่พร้อมเผชิญกับปัญหาโลกร้อน เราอยากให้ภูมิทัศน์อื่นๆ เป็นดั่งภูมิทัศน์ของคนพอเพียงที่พวกเราได้เห็นมา,https://thaipublica.org/2021/09/thai-climate-justice-for-all11/,"Thu, 23 Sep 2021 09:15:22 +0000"
สกพอ.จับมือกรมบัญชีกลาง เชื่อมข้อมูลจัดซื้อจัดจ้าง-เบิกจ่ายงบฯ ขับเคลื่อนแผนบูรณาการ  “อีอีซี”,สกพอ. ร่วมมือ กรมบัญชีกลาง พัฒนาระบบสารสนเทศ เชื่อมโยงข้อมูลจัดซื้อจัดจ้างภาครัฐ-เบิกจ่ายงบประมาณ ขับเคลื่อนแผนบูรณาการ “อีอีซี” สร้างต้นแบบการใช้นวัตกรรม อำนวยความสะดวก-คุ้มค่า-โปร่งใส-ตรวจสอบได้,https://thaipublica.org/2021/09/eec-23-09-2564/,"Thu, 23 Sep 2021 07:31:01 +0000"
ยุทธศาสตร์ของสหรัฐฯ ต่อ “อินโด-แปซิฟิก” ภูมิภาคที่ยาวจาก Hollywood ถึง Bollywood,เมื่อสิบปีที่แล้ว วงการการเมืองระหว่างประเทศไม่มีใครสนใจคำว่า “อินโด-แปซิฟิก” แต่ปัจจุบัน คำคำนี้กลายเป็นแนวคิดใหม่ในการมองภูมิภาคเอเชียของสหรัฐฯ รวมทั้งการปรับเปลี่ยนนโยบายต่างประเทศของสหรัฐฯ,https://thaipublica.org/2021/09/pridi267/,"Wed, 22 Sep 2021 13:30:35 +0000"
“ไทยพาณิชย์” รื้อ eco-system ใช้ “SCBX” เข้าสู่สนามแข่งขันใหม่,SCB Group จัดตั้ง  SCBX (เอสซีบี เอกซ์) เพิ่มความคล่องตัวและขีดความสามารถในการแข่งขัน มุ่งสู่กลุ่มบริษัทเทคโนโลยีการเงินระดับภูมิภาคสร้างบริษัทสู่หลากธุรกิจการเงินและแพลตฟอร์ม วางรากฐานรองรับบริบทใหม่ของโลก,https://thaipublica.org/2021/09/scb-group-to-set-up-scbx-laying-groundwork-for-an-evolving-global-context/,"Wed, 22 Sep 2021 13:21:46 +0000"
“รณดล นุ่มนนท์” รองผู้ว่าการธปท.แนะเร่งสร้างภูมิคุ้มกันไวรัสไซเบอร์รับบริบทโลกใหม่,นายรณดล นุ่มนนท์ รองผู้ว่าการ ด้านเสถียรภาพสถาบันการเงิน ธนาคารแห่งประเทศไทย สถานการณ์การแพร่ระบาดของโควิด-19 ในปัจจุบันที่มีผลต่อวิถีชีวิตของประชาชนและภาคธุรกิจเกิดการเปลี่ยนแปลงพฤติกรรมและรูปแบบธุรกิจไปสู่ new normal ภัยคุกคามทางไซเบอร์จึงเป็นความเสี่ยงที่ต้องยกระดับการบริหารจัดการและเร่งสร้างภูมิคุ้มกันตามบริบทที่ปรับเปลี่ยนไป,https://thaipublica.org/2021/09/deputy-thai-central-bank-ronnadon-numnon-speech-on-cyber-threats/,"Wed, 22 Sep 2021 11:18:15 +0000"
“ระบบไบโอซีเคียวริตี้”  ป้องหมูซีพีปลอดโรค ผู้บริโภคปลอดภัย,“ระบบไบโอซีเคียวริตี้”  ป้องหมูซีพีปลอดโรค ผู้บริโภคปลอดภัย,https://thaipublica.org/2021/09/cpf-biosecurity-system/,"Wed, 22 Sep 2021 10:34:32 +0000"
ttb analytics จับสัญญาณธุรกิจค้าปลีกปรับตัวหลังคลายล็อกดาวน์,ttb analytics จับสัญญาณธุรกิจค้าปลีกปรับตัวหลังคลายล็อกดาวน์ ประเมินฟื้นตัวตั้งแต่ไตรมาส 4 ปี 2564 จนถึงกลางปี 2565,https://thaipublica.org/2021/09/ttb-analytics25/,"Wed, 22 Sep 2021 10:13:12 +0000"
