title,summary,link,published
ตัวเลขผู้ติดเชื้อโควิดในเวียดนามต่ำกว่าจริง 40% เหตุไม่นับผลตรวจ rapid test,"นายเหงียน ฮู ฮุง รองผู้อำนวยการกองสาธารณสุขของนครโฮจิมินห์ ซึ่งเป็นเมืองใหญ่ที่สุดของเวียดนาม กล่าวเรียกร้องให้รัฐบาลนำตัวเลขผู้ที่มีผลตรวจเป็นบวกจากการตรวจหาเชื้อไวรัสโควิด-19 แบบ rapid test เข้ารวมในรายงานอย่างเป็นทางการของจำนวนผู้ติดเชื้อ เพื่อสะท้อนภาพการแพร่ระบาดในนครโฮจิมินห์ได้ชัดเจนยิ่งขึ้น ขณะนี้ ทางการเวียดนามอ้างอิงจำนวนผู้ติดเชื้อโควิด-19 จากผู้ที่มีผลตรวจแบบ PCR เป็นบวกเท่านั้น สื่อรายงานว่า ผู้ที่มีผลตรวจเป็นบวกจากการตรวจแบบ rapid test จำนวน 150,000 คนในนครโฮจิมินห์ยังคงไม่ได้ถูกนับรวมในตัวเลขทางการของผู้ติดเชื้อ ซึ่งหากมีการรวมตัวเลขดังกล่าว จะทำให้จำนวนผู้ติดเชื้อโควิด-19 ในนครโฮจิมินห์เพิ่มขึ้นอีก 40% ทันที ทั้งนี้ ทางการเวียดนามรายงานจำนวนผู้ติดเชื้อไวรัสโควิด-19 สะสมรวม 756,000 ราย และเสียชีวิต 18,500 ราย โดยนครโฮจิมินห์มีจำนวนผู้ติดเชื้อครึ่งหนึ่งของทั้งประเทศ และเสียชีวิตคิดเป็นสัดส่วน 80% ของทั้งหมด โดย สำนักข่าวอินโฟเควสท์ (27 ก.ย. 64)
The post ตัวเลขผู้ติดเชื้อโควิดในเวียดนามต่ำกว่าจริง 40% เหตุไม่นับผลตรวจ rapid test appeared first on สำนักข่าวอินโฟเควสท์.",https://www.infoquest.co.th/2021/129950,27_09_2021
กทม. ปรับแนวทางการดำเนินงานศูนย์พักคอยให้สอดคล้องกับจำนวนผู้ติดเชื้อ,"คณะผู้บริหารกรุงเทพมหานคร (กทม.) ประชุมผ่านระบบการประชุมทางไกล (Teleconference) พร้อมกับน่วยงานที่เกี่ยวข้อง โดยสำนักอนามัย กระทรวงสาธารณสุข (สธ.) รายงานผลการดำเนินงานและบริหารจัดการศูนย์พักคอย (Community Isolation – CI) ของ กทม.ทั้งหมด 129 แห่ง แบ่งเป็น 1. ศูนย์พักคอย โดย กทม. ร่วมกับหน่วยงานภาคีจำนวน 62 แห่ง 2. โรงพยาบาลสนามประจำกลุ่มเขต (District Field Hospital/CI Plus) จำนวน 8 แห่ง และ 3. ศูนย์แยกกักในชุมชน (Semi Community Isolation) จำนวน 59 แห่ง สำหรับการดำเนินการที่ผ่านมา กทม.ได้สำรวจปัญหา อุปสรรค การดำเนินงานของศูนย์พักคอย เพื่อปรับกระบวนการทำงาน และจัดทำแผนตั้งรับผู้ติดเชื้อโรคโคโรนาไวรัส (COVID-19) ในศูนย์พักคอย โดยหากผู้ป่วยโควิด-19 รายใหม่น้อยกว่า 3,000 คน/วัน […]
The post กทม. ปรับแนวทางการดำเนินงานศูนย์พักคอยให้สอดคล้องกับจำนวนผู้ติดเชื้อ appeared first on สำนักข่าวอินโฟเควสท์.",https://www.infoquest.co.th/2021/129946,27_09_2021
กลุ่มร้านอาหารยื่นฟ้องแพ่งนายกฯ สั่งปิดกิจการ-เยียวยาไร้ผลพร้อมเรียกค่าเสียหาย,"ศาลแพ่ง เปิดเผยว่า บริษัท เดอะเนฟเวอร์ เอนดิง ซัมเมอร์ จำกัด ผู้ประกอบกิจการร้านจำหน่ายอาหารและเครื่องดื่ม ในฐานะตัวแทนของสมาชิกกลุ่มประกอบการร้านอาหารและเครื่องดื่มรวม 39 คน ยื่นฟ้อง พล.อ.ประยุทธ์ จันทร์โอชา นายกรัฐมนตรี กระทรวงการคลัง กระทรวงสาธารณสุข กระทรวงมหาดไทย และกรุงเทพมหานคร ต่อศาลแพ่ง โดยขออนุญาตให้ดำเนินคดีแบบกลุ่ม สรุปคำฟ้องว่า จากสถานการณ์การแพร่ระบาดของโรคติดเชื้อไวรัสโคโรนา 2019 (โควิด-19) พล.อ.ประยุทธ์ ได้ประกาศสถานการณ์ฉุกเฉินในทุกเขตท้องที่ทั่วราชอาณาจักร ปล่อยปละละเลย จงใจหรือประมาทเลินเล่อก่อให้เกิดต้นเหตุของการแพร่ระบาดของเชื้อไวรัสดังกล่าวแบบกลุ่มก้อนหลายครั้ง พล.อ.ประยุทธ์ และเจ้าหน้าที่ในสังกัดกระทรวงสาธารณสุข กระทรวงมหาดไทย และกรุงเทพมหานคร จงใจหรือประมาทเลินเล่อบริหารจัดการวัคซีน ชุดเครื่องมือตรวจของโรคติดเชื้อไวรัสโคโรนา 2019 (Antigen Test Kit) และยาที่จำเป็นต่อการรักษาอาการที่เกิดจากของโรคติดเชื้อไวรัสโคโรนา 2019 อย่างไม่มีประสิทธิภาพ นำมาซึ่งการออกข้อกำหนดที่ออกตามความในมาตรา 9 แห่ง พ.ร.ก.การบริหารราชการในสถานการณ์ฉุกเฉิน พ.ศ.2548 ให้ผู้ว่าราชการกรุงเทพมหานครและผู้ว่าราชการจังหวัดมีคำสั่งให้ปิดสถานที่ที่เสียงต่อการแพร่เชื้อโรคดังกล่าวซึ่งรวมถึงร้านอาหารและ/หรือเครื่องดื่มทั้งหมดหรือบางส่วนทั่วราชอาณาจักรหลายครั้ง ทำให้โจทก์และสมาชิกกลุ่มไม่สามารถประกอบกิจการได้เต็มที่ ทั้งยังเป็นการดำเนินการที่ไม่เป็นไปตามหลักความได้สัดส่วนหรือหลักความพอสมควรแก่เหตุ และมาตรการที่ออกมาเพื่อเยียวยาความเสียหายก็เป็นมาตรการที่ไม่สามารถเยียวยาประชาชนได้อย่างแท้จริง ทำให้โจทก์และสมาชิกกลุ่มได้รับความเสียหาย โดยขอให้จำเลยทั้งห้าร่วมกันชดใช้ค่าสินไหมทดแทนให้แก่โจทก์เป็นเงิน 50 ล้านบาท […]
The post กลุ่มร้านอาหารยื่นฟ้องแพ่งนายกฯ สั่งปิดกิจการ-เยียวยาไร้ผลพร้อมเรียกค่าเสียหาย appeared first on สำนักข่าวอินโฟเควสท์.",https://www.infoquest.co.th/2021/129941,27_09_2021
ผู้บริหารเอเวอร์แกรนด์ยังคงล่องหน วัดใจพุธนี้จ่อเบี้ยวหนี้รอบ 2,"ไชน่า เอเวอร์แกรนด์ กรุ๊ป บริษัทอสังหาริมทรัพย์ใหญ่อันดับ 2 ของจีน ได้ผิดนัดชำระหนี้หุ้นกู้ 2 งวดที่มีกำหนดชำระวันที่ 23 ก.ย. โดยผิดนัดชำระดอกเบี้ยวงเงิน 232 ล้านหยวน หรือราว 35.88 ล้านดอลลาร์สำหรับหุ้นกู้สกุลเงินหยวนที่จะครบกำหนดไถ่ถอนในเดือนก.ย.2568 รวมทั้งดอกเบี้ยวงเงิน 83.5 ล้านดอลลาร์สำหรับหุ้นกู้สกุลดอลลาร์ที่จะครบกำหนดไถ่ถอนในเดือนมี.ค.2565 อย่างไรก็ดี เอเวอร์แกรนด์ยังคงมีระยะเวลาผ่อนผันอีก 30 วันในการหาทางระดมทุน ก่อนที่จะถูกประกาศอย่างเป็นทางการว่าบริษัทผิดนัดชำระหนี้ นอกจากนี้ เอเวอร์แกรนด์ยังมีกำหนดชำระดอกเบี้ยวงเงิน 47.5 ล้านดอลลาร์ในวันที่ 29 ก.ย.สำหรับหุ้นกู้สกุลดอลลาร์ที่จะครบกำหนดไถ่ถอนในเดือนมี.ค.2567 ขณะเดียวกัน เอเวอร์แกรนด์ยังมีกำหนดชำระดอกเบี้ยหุ้นกู้ทุกเดือนในช่วงที่เหลือของปีนี้ ซึ่งได้แก่ เดือนต.ค.,พ.ย.และธ.ค. เอเวอร์แกรนด์ได้ผิดนัดชำระดอกเบี้ยหุ้นกู้ในสัปดาห์ที่แล้ว แม้ว่าประธานบริษัทออกแถลงการณ์สร้างความเชื่อมั่นต่อนักลงทุนเมื่อช่วงเช้าวันที่ 23 ก.ย. ขณะที่ทางการจีนก็ได้แจ้งเตือนบริษัทให้ทำการชำระหนี้หุ้นกู้สำหรับนักลงทุนรายย่อย รวมทั้งหลีกเลี่ยงการผิดนัดชำระหนี้สำหรับหุ้นกู้สกุลดอลลาร์ แม้เอเวอร์แกรนด์ได้ผิดนัดชำระดอกเบี้ยหุ้นกู้มาหลายวันแล้ว ขณะที่มีดอกเบี้ยงวดใหม่ที่รอการชำระในสัปดาห์นี้ แต่ผู้บริหารของเอเวอร์แกรนด์ก็ยังคงเก็บตัวเงียบ โดยไม่ได้ออกแถลงการณ์ใดๆต่อผู้ถือหุ้นกู้ของบริษัท รวมทั้งไม่ได้ยื่นหนังสือชี้แจงต่อคณะกรรมการกำกับหลักทรัพย์และตลาดหลักทรัพย์ของฮ่องกง เจ้าหนี้ต่างชาติที่ถือหุ้นกู้สกุลดอลลาร์ของเอเวอร์แกรนด์ ต่างก็ไม่ได้คาดหวังว่าทางบริษัทจะสามารถชำระดอกเบี้ยหุ้นกู้ที่ครบกำหนดในสัปดาห์ที่แล้ว นอกจากนี้ เจ้าหนี้เหล่านี้ยังคงไม่ได้รับการติดต่อจากทางบริษัทเกี่ยวกับการชำระหนี้หุ้นกู้ ขณะที่เอเวอร์แกรนด์ก็ยังไม่มีการประกาศแผนการชำระดอกเบี้ยสำหรับหุ้นกู้ดังกล่าว ข้อมูลจาก Morningstar Direct ระบุว่า […]
The post ผู้บริหารเอเวอร์แกรนด์ยังคงล่องหน วัดใจพุธนี้จ่อเบี้ยวหนี้รอบ 2 appeared first on สำนักข่าวอินโฟเควสท์.",https://www.infoquest.co.th/2021/129934,27_09_2021
STPI ทำแผนรองรับหลัง STEC ยกเลิกซื้อ STIT ปรับองค์กรให้กระชับ-รอมาตรกระตุ้นภาครัฐ,"บมจ.เอสทีพี แอนด์ ไอ (STPI) เปิดเผยว่า ที่ประชุมคณะกรรมการบริษัทฯ ครั้งที่ 4/2564 วันนี้ ได้พิจารณาแผนรองรับและผลกระทบต่อการที่บมจ.ชิโน-ไทย เอ็นจีเนียริ่ง แอนด์ คอนสตรัคชั่นรับ (STEC) ไม่เข้าซื้อ บริษัท เอส ที ไอ ที จำกัด (STIT) จากบริษัทฯ โดยฝ่ายจัดการได้มีการปรึกษาร่วมกับทุกฝ่ายที่เกี่ยวข้องแล้ว ที่ประชุมรับทราบและเห็นควรแจ้งให้ทราบรายละเอียดแผนรองรับและผลกระทบโดยสรุป ดังนี้ เหตุผลหลักในการพิจารณาขายกิจการ STIT ให้แก่ STEC เนื่องจากบริษัทได้รับหนังสือแสดงความสนใจลงทุนซื้อกิจการ STI ซึ่งฝ่ายจัดการพิจารณาแล้วเห็นว่าเพื่อเป็นการเพิ่มประสิทธิภาพในการบริหารจัดการจากการลดการดำเนินงานที่ไม่เกื้อหนุนกับธุรกิจหลักของบริษัทฯ จึงเชื่อว่าการขายกิจการของ STIT ออกไปจะเป็นประโยชน์ในระยะยาวต่อกลุ่มบริษัทฯ ทั้งนี้ การยกเลิกรายการดังกล่าวส่งผลกระทบต่อบริษัทฯ ได้แก่ ผลกระทบทางด้านกลยุทธ์บริษัทฯ ไม่สามารถจัดโครงสร้างกลุ่มบริษัทฯ ได้ตามแผนงานที่วางไว้ และยังคงมีความเสี่ยงตามปกติจากการประกอบธุรกิจการเป็นตัวแทนจำหน่ายเครื่องมือเครื่องจักรก่อสร้างและเครื่องจักรต่อไปเช่นเดิม ผลกระทบทางด้านการเงิน การยกเลิกรายการดังกล่าว ทำให้บริษัทเสียโอกาสในการรับรู้กำไรจากการจำหน่ายเงินลงทุน และไม่ได้รับเงินสดจากการขายกิจการ ซึ่งควรจะได้นำไปใช้เป็นเงินทุนหมุนเวียนและใช้ในการขยายธุรกิจอื่นตามนโยบายบริษัทฯ อย่างไรก็ดี บริษัทฯ มีการทบทวนแผนการใช้เงินและการลงทุนอย่างสม่ำเสมอ และหาแหล่งเงินทุนอื่นเพื่อสนับสนุนการขยายธุรกิจให้เพียงพอและเหมาะสมต่อไป และบริษัทยังคงมีภาระในการจัดหาเงินทุนและค้ำประกันเงินกู้ยืมให้แก่ STIT ต่อไป […]
The post STPI ทำแผนรองรับหลัง STEC ยกเลิกซื้อ STIT ปรับองค์กรให้กระชับ-รอมาตรกระตุ้นภาครัฐ appeared first on สำนักข่าวอินโฟเควสท์.",https://www.infoquest.co.th/2021/129931,27_09_2021
หอการค้าฯ ชี้มติ ศบค.ส่งสัญญาณความเชื่อมั่นภาคธุรกิจ คาดศก.ไทยปีนี้โตเป็นบวก,"นายสนั่น อังอุบลกุล ประธานกรรมการหอการค้าไทย และสภาหอการค้าแห่งประเทศไทย เปิดเผยว่า หลังจากที่ศูนย์บริหารสถานการณ์การแพร่ระบาดของโรคติดเชื้อไวรัสโคโรนา 2019 (โควิด-19) หรือ ศบค. มีมติเห็นชอบให้มีการผ่อนคลายกิจการและกิจกรรมต่างๆ เพิ่มเติม เช่น ร้านเสริมสวย นวดและสปา สถานเสริมความงาม โรงภาพยนตร์ และสามารถเล่นดนตรีในร้านอาหารได้ตามปกติ รวมทั้งลดระยะเวลาห้ามออกนอกเคหสถานเป็น 22.00-04.00 น. ตั้งแต่วันที่ 1 ต.ค.นี้ ถือเป็นข่าวดี และเป็นการส่งสัญญานสร้างความเชื่อมั่นทางเศรษฐกิจในอีก 3 เดือนที่เหลือของปี รวมทั้งสะท้อนความสามารถของระบบสาธารณสุขที่พร้อมจะรับมือกับการแพร่ระบาด “เกือบ 1 เดือนที่ผ่านมา หลายธุรกิจได้รับการผ่อนคลาย และเตรียมตัวกลับมาเปิดดำเนินการ ส่วนภาคประชาชนก็เริ่มมีความมั่นใจในการกลับมาจับจ่ายใช้สอยมากขึ้น ในขณะที่ตัวเลขผู้ติดเชื้อลดลงในหลายจังหวัด ประกอบกับสถานพักคอย และโรงพยาบาลสนามหลายแห่งเริ่มมีผู้ป่วยลดลงในระดับที่ควบคุมสถานการณ์ไม่ให้หนักได้ สิ่งเหล่านี้น่าจะเป็นปัจจัยสำคัญที่ทำให้ ศบค. พิจารณาผ่อนคลายกิจการ และมาตรการต่างๆ มากขึ้น”  นายสนั่น กล่าว ทั้งนี้ หอการค้าไทย และมหาวิทยาลัยหอการค้าไทยประเมินว่า การจับจ่ายใช้สอยทางเศรษฐกิจในเดือนต.ค.นี้ น่าจะเพิ่มเป็น 10,000-12,000 ล้านบาทต่อวัน และมองว่าการผ่อนคลายในเดือนต.ค. จะช่วยกระตุ้นเศรษฐกิจในปีนี้ให้กลับมาเป็นบวกได้ นอกจากนี้ในหลายพื้นที่ทำงานกันแบบภาครัฐร่วมเอกชน […]
The post หอการค้าฯ ชี้มติ ศบค.ส่งสัญญาณความเชื่อมั่นภาคธุรกิจ คาดศก.ไทยปีนี้โตเป็นบวก appeared first on สำนักข่าวอินโฟเควสท์.",https://www.infoquest.co.th/2021/129925,27_09_2021
ศูนย์วิจัยกสิกรฯ คงคาดส่งออกปีนี้โต 12.4% เป็นปัจจัยหลักขับเคลื่อนศก.ไทย,"ศูนย์วิจัยกสิกรไทย คงคาดการณ์ส่งออกในปี 64 เติบโต 12.4% โดยมองว่าในช่วงที่เหลือของปีนี้ ภาคการส่งออกจะยังเป็นปัจจัยหลักในการขับเคลื่อนเศรษฐกิจต่อเนื่อง แม้ว่าภาคการส่งออกจะเผชิญความเสี่ยงจากการแพร่ระบาดในโรงงาน โดยเฉพาะอุตสาหกรรมอาหาร อุตสาหกรรมอิเล็กทรอนิกส์ อุตสาหกรรมเครื่องนุ่งห่ม อุตสาหกรรมโลหะ และอุตสาหกรรมพลาสติก แต่ในเดือน ก.ย.เริ่มเห็นจำนวนผู้ติดเชื้อในระดับประเทศอยู่ในช่วงขาลง ประกอบกับอัตราการฉีดวัคซีนในประเทศที่เร่งตัวอย่างมาก นอกจากนี้ ภาครัฐได้เข้ามาแก้ไขและดูแลปัญหาเกี่ยวกับภาคการส่งออก เช่น โครงการ Factory Sandbox และจะมีกิจกรรมที่ส่งเสริมการส่งออกในช่วงที่เหลือของปีต่อเนื่อง เช่น งานแสดงสินค้านานาชาติ เป็นต้น ด้านปัจจัยต่างประเทศเศรษฐกิจในประเทศคู่ค้าสำคัญของไทย เช่น สหรัฐฯ และยุโรป มีแนวโน้มฟื้นตัวแข็งแกร่ง ซึ่งจะช่วยสนับสนุนให้ความต้องการสินค้าเพิ่มขึ้น ดังนั้น อัตราการเติบโตของการส่งออก 4 เดือนที่เหลือของปี จะยังมีแนวโน้มอยู่ในระดับสูง แต่อาจชะลอตัวลงเล็กน้อยจากช่วง 8 เดือนแรก เนื่องจากปัจจัยฐานต่ำและปัจจัยการชดเชยอุปสงค์ที่ค้างจากช่วงก่อนหน้า (pent-up demand) มีแนวโน้มคลี่คลายลง ศูนย์วิจัยกสิกรไทย ระบุว่า ในเดือน ส.ค.64 สถานการณ์การแพร่ระบาดของโควิด-19 สายพันธุ์เดลต้ามีความรุนแรงขึ้นในหลายประเทศในภูมิภาคเอเชีย จนส่งผลกระทบต่อกิจกรรมทางเศรษฐกิจและภาคการผลิต กดดันให้ตัวเลขการส่งออกเติบโตชะลอตัวลงรวมถึงไทย ทำให้การส่งออกของไทย ขยายตัว 8.93% […]
The post ศูนย์วิจัยกสิกรฯ คงคาดส่งออกปีนี้โต 12.4% เป็นปัจจัยหลักขับเคลื่อนศก.ไทย appeared first on สำนักข่าวอินโฟเควสท์.",https://www.infoquest.co.th/2021/129921,27_09_2021
ศธ.ตั้งทีมเฉพาะกิจตรวจสอบหนังสือนิทานเด็ก หลังพบเนื้อหาเข้าข่ายบิดเบือน,"นางดรุณวรรณ ชาญพิพัฒนชัย โฆษกประจำตัว รมช.ศึกษาธิการ เปิดเผยว่า กรณีมีข่าวปรากฏในสื่อสังคมออนไลน์ถึงการผลิตหนังสือนิทานสำหรับเด็กคล้ายตำราเรียน และนำออกมาจัดจำหน่ายให้กับเด็กที่มีอายุตั้งแต่ 5 ขวบขึ้นไป โดยมีเนื้อหาเข้าข่ายบิดเบือนและอาจให้เด็กเกิดความเข้าใจคลาดเคลื่อนได้ หากไม่ได้รับการชี้แนะอย่างถูกต้องโดยครูหรือผู้ปกครอง ทั้งนี้ คุณหญิงกัลยา โสภณพนิช รมช.ศึกษาธิการ ได้สั่งตั้งทีมเฉพาะกิจ โดยมีนายภูมิสรรค์ เสนีวงศ์ ณ อยุธยา ที่ปรึกษาฯ และประธานคณะกรรมการยุทธศาสตร์และนโยบาย เป็นประธาน เพื่อเร่งตรวจสอบข้อเท็จจริงในเรื่องดังกล่าวโดยเร็ว “คุณหญิงกัลยาได้ทราบเรื่องนี้แล้ว และไม่ได้นิ่งนอนใจ สั่งเร่งให้ตรวจสอบโดยด่วน ซึ่งหากพบว่าหนังสือดังกล่าว มีเนื้อหาที่ปลุกปั่น สร้างความเกลียดชัง และครอบงำความคิดเด็ก โดยเฉพาะเด็กที่ยังไม่สามารถแยกแยะข้อเท็จจริงต่างๆ ได้ อันจะก่อให้เกิดผลกระทบตามมาในหลายด้าน จึงอยากให้ครูและผู้ปกครอง รวมถึงประชาชนโดยทั่วไปที่เสพข้อมูลดังกล่าว จะต้องตระหนักถึงข้อเท็จจริง แยกแยะ และไม่ยอมรับหรือสนับสนุนให้เชิดชูความรุนแรง รวมถึงการสร้างข้อมูลเท็จหรือเนื้อหาที่บิดเบือน เพื่อปลุกปั่นเยาวชนให้หลงผิดได้” นางดรุณวรรณ กล่าว นางดรุณวรรณ กล่าวว่า รมช.ศึกษาธิการ มีมุมมองที่เปิดกว้างสำหรับเยาวชนมาโดยตลอด และเชื่อในหลักสิทธิเสรีภาพในการเข้าถึงข้อมูล แต่สิ่งสำคัญคือผู้จัดทำข้อมูลต้องไม่มีเจตนาให้ร้าย บิดเบือน หรือสร้างความแตกแยก ยุแหย่ให้เกิดความเกลียดชังขึ้นในสังคมไทย จึงอยากร้องขอให้ผู้ที่มีเจตนาไม่หวังดีต่อประเทศได้ยุติการกระทำดังกล่าว ทั้งนี้ ทีมเฉพาะกิจจะประสานงานกับฝ่ายความมั่นคงต่อไปว่าเนื้อหาที่ปรากฎในนิทานดังกล่าว […]
The post ศธ.ตั้งทีมเฉพาะกิจตรวจสอบหนังสือนิทานเด็ก หลังพบเนื้อหาเข้าข่ายบิดเบือน appeared first on สำนักข่าวอินโฟเควสท์.",https://www.infoquest.co.th/2021/129918,27_09_2021
เกาหลีใต้เตรียมฉีดวัคซีนป้องกันโควิดให้สตรีมีครรภ์และผู้มีอายุ 12-17 ปี,"สำนักงานควบคุมและป้องกันโรคแห่งเกาหลีใต้ (KDCA) เปิดเผยในวันนี้ว่า จะฉีดวัคซีนป้องกันโควิด-19 แก่สตรีมีครรภ์และผู้เยาว์อายุ 12-17 ปีตั้งแต่เดือนหน้าเป็นต้นไป เพื่อระดมฉีดวัคซีนให้กับผู้คนจำนวนมากขึ้นท่ามกลางการแพร่ระบาดของโรคโควิด-19 KDCA ระบุว่า ผู้ที่มีอายุระหว่าง 12 ถึง 17 ปีประมาณ 2.77 ล้านคนจะได้รับวัคซีนเข็มแรกตั้งแต่วันที่ 18 ต.ค. แผนการฉีดวัคซีนดังกล่าวมีขึ้นเนื่องจากจำนวนผู้ติดเชื้อในผู้เยาว์เพิ่มขึ้นอย่างรวดเร็วนับตั้งแต่การแพร่ระบาดของโรคโควิด-19 ระลอกใหม่ในช่วงต้นเดือนก.ค. โดยในเดือนส.ค.เพียงเดือนเดียว มีผู้เยาว์ 3,050 คนที่อายุระหว่าง 12-17 ปี มีผลตรวจหาเชื้อไวรัสเป็นบวก ทั้งนี้ สตรีมีครรภ์ประมาณ 136,000 รายจะได้รับการแนะนำให้รับวัคซีนตั้งแต่วันที่ 18 ต.ค. เนื่องจากมีอัตราการป่วยรุนแรงที่สูงขึ้น โดยอัตราการติดเชื้อของสตรีมีครรภ์ที่สามารถพัฒนาเป็นอาการรุนแรงได้จะสูงกว่าสตรีวัยเจริญพันธุ์ทั่วไปถึง 6 เท่า โดย สำนักข่าวอินโฟเควสท์ (27 ก.ย. 64)
The post เกาหลีใต้เตรียมฉีดวัคซีนป้องกันโควิดให้สตรีมีครรภ์และผู้มีอายุ 12-17 ปี appeared first on สำนักข่าวอินโฟเควสท์.",https://www.infoquest.co.th/2021/129915,27_09_2021
จีนจวกบรรดาผู้นำกลุ่ม Quad ฐานกล่าวหาจีนก่อภัยคุกคามประเทศอื่น,"ทางการจีนได้ออกมาวิพากษ์วิจารณ์ผู้นำของสหรัฐ ญี่ปุ่น ออสเตรเลีย และอินเดีย ซึ่งจัดการประชุมสุดยอดภายในกลุ่ม Quad ณ กรุงวอชิงตันเมื่อปลายสัปดาห์ที่แล้ว หลังจากกล่าวหาว่า รัฐบาลจีนสร้างภัยคุกคามก่อกวนประเทศต่าง ๆ ในระหว่างการประชุมสุดยอดแบบพบกันเป็นครั้งแรกระหว่างประเทศกลุ่ม Quad ผู้นำของทั้ง 4 ประเทศได้แสดงความสัมพันธ์ที่แน่นแฟ้นยิ่งขึ้น หลังเผชิญกับเสถียรภาพของและแสนยานุภาพทางเศรษฐกิจของจีน รายงานระบุว่า แม้ว่าแถลงการณ์ร่วมของกลุ่มที่เปิดเผยหลังการประชุมจะไม่ได้ระบุถึงจีนโดยตรง แต่วาระการประชุมของกลุ่มดูเหมือนจะเชื่อมโยงกับการผงาดขึ้นของอิทธิพลจีน รวมถึงการอ้างสิทธิ์ในดินแดนเหนือน่านน้ำโดยรอบ ตลอดจนการค้าและประเด็นอื่นๆ ฮวา ชุนอิ๋ง โฆษกกระทรวงการต่างประเทศของจีนแถลงต่อสื่อมวลชนว่า สหรัฐได้แทรกแซงกิจการภายในของประเทศอื่นอย่างโจ่งแจ้ง ซึ่งจะกระทบต่อสันติภาพ การพัฒนา และความร่วมมือในประชาคมระหว่างประเทศ โดย สำนักข่าวอินโฟเควสท์ (27 ก.ย. 64)
The post จีนจวกบรรดาผู้นำกลุ่ม Quad ฐานกล่าวหาจีนก่อภัยคุกคามประเทศอื่น appeared first on สำนักข่าวอินโฟเควสท์.",https://www.infoquest.co.th/2021/129910,27_09_2021
