title,summary,link,published
กรมชลฯ สั่งพื้นที่ลุ่มต่ำ อ.บางระกำ-พรหมพิราม เฝ้าระวังระดับน้ำยม,นายประพิศ จันทร์มา อธิบดีกรมชลประทาน เปิดเผยว่า น้ำจาก จ.สุโขทัย จะไหลลงสู่ อ.บางระกำ จ.พิษณุโลก ซึ่งปัจจุบันแม่น้ำยมสายหลัก ที่สถานีวัดน้ำ Y.64 อ.บางระกำ ระดับน้ำสูงกว่าตลิ่ง 0.44 เมตร มีน้ำไหลผ่าน 421.60 ลูกบาศก์เมตรต่อวินาที มี,https://mgronline.com/uptodate/detail/9640000095773,27_09_2021
ก.ท่องเที่ยวฯ เร่งคุย สธ.ระดมฉีดวัคซีน 10 พื้นที่นำร่อง ให้ทันกำหนดเปิดรับนักท่องเที่ยว 1 พ.ย.,นายพิพัฒน์ รัชกิจประการ รัฐมนตรีว่าการกระทรวงการท่องเที่ยวและกีฬา กล่าวถึงกรณีที่ศูนย์บริหารสถานการณ์โควิด-19 (ศบค.) เห็นชอบการเปิดพื้นที่นำร่องการท่องเที่ยวเพิ่มเติม ว่า กระทรวงการท่องเที่ยวและกีฬา จะไปเร่งคุยกับทางกระทรวงสาธารณส,https://mgronline.com/uptodate/detail/9640000095767,27_09_2021
เชียงใหม่ติดโควิด-19 เพิ่ม 90 ราย คนในพื้นที่ฉีดวัคซีนแล้ว 49.82%,สำนักงานสาธารณสุขจังหวัดเชียงใหม่ รายงานสถานการณ์โควิด-19 ในพื้นที่วันนี้(27 ก.ย.64)  พบผู้ติดเชื้อรายใหม่ 90 ราย แบ่งเป็นผู้ติดเชื้อในพื้นที่ 87 ราย ติดเชื้อจากต่างจังหวัด 3 ราย ทำให้ยอดผู้ติดเชื้อสะสมระลอกใหม่ ตั้งแต่เดือนเมษายน,https://mgronline.com/uptodate/detail/9640000095757,27_09_2021
ญี่ปุ่นเตรียมลดวันกักตัวนักเดินทางที่ฉีดวัคซีนโควิด-19 ครบโดส ตั้งแต่ 1 ต.ค.นี้,สำนักข่าวเกียวโด รายงานว่า รัฐบาลญี่ปุ่นเตรียมผ่อนคลายมาตรการกักตัวสำหรับนักเดินทางที่ฉีดวัคซีนโควิด-19 ครบโดสแล้ว โดยจะเริ่มตั้งแต่วันที่ 1 ตุลาคมนี้ เป็นต้นไปทั้งนี้ จะลดระยะเวลาการกักตัวในที่พักลงจาก 14 วัน เหลือ 10 วัน เนื่องจ,https://mgronline.com/uptodate/detail/9640000095755,27_09_2021
ชลประทานกรุงเก่าคาดสถานการณ์น้ำท่วมเทียบเท่าปี 60 เผยกระทบแล้ว 4 อำเภอ,นายธนากร ตันติกุล ผู้อำนวยการโครงการชลประทานพระนครศรีอยุธยา เปิดเผยว่า สถานการณ์น้ำท่วมในพื้นที่ จ.พระนครศรีอยุธยา ขณะนี้ได้รับผลกระทบแล้ว 4 อำเภอ ระดับน้ำท่วมสูงสุดที่ 3.2 เมตร ในพื้นที่ ต.ท่าดินแดง อ.ผักไห่ จ.พระนครศรีอยุธยา แนว,https://mgronline.com/uptodate/detail/9640000095751,27_09_2021
"""เสี่ยเฮ้ง""ห่วงแรงงานประสบภัยน้ำท่วม สั่งช่วยเหลือ-ดูแลสิทธิประโยชน์เต็มที่",นายสุชาติ ชมกลิ่น รัฐมนตรีว่าการกระทรวงแรงงาน กล่าวว่า กระทรวงแรงงานมีความห่วงใยผู้ใช้แรงงานและประชาชนทั่วไปที่ได้รับความเดือดร้อนจากสถานการณ์น้ำท่วม จึงได้สั่งการให้แต่ละหน่วยงานในพื้นที่ที่เกี่ยวข้องบูรณาการให้ความช่วยเหลือประชา,https://mgronline.com/uptodate/detail/9640000095747,27_09_2021
สำนักการศึกษาเปิดผลสำรวจ นร.สังกัด กทม.88.21% ยินยอมฉีดไฟเซอร์,พล.ต.อ.อัศวิน ขวัญเมือง ผู้ว่าราชการกรุงเทพมหานคร เปิดเผยถึงความคืบหน้าการสำรวจข้อมูลเด็กนักเรียนที่ผู้ปกครองยินยอมให้ฉีดวัคซีนโควิด-19 ในพื้นที่กรุงเทพฯ ว่า กรุงเทพมหานคร โดยสำนักอนามัย ได้จัดประชุมหน่วยงานที่เกี่ยวข้อง ได้แก่ กร,https://mgronline.com/uptodate/detail/9640000095743,27_09_2021
รวงข้าวคงคาดการณ์ส่งออกปี 64 โต 12.4%,ศูนย์วิจัยกสิกรไทย คงคาดการณ์ส่งออกในปี 2564 ขยายตัวร้อยละ 12.4 โดยมองว่าในช่วงที่เหลือของปีนี้ ภาคการส่งออกจะยังเป็นปัจจัยหลักในการขับเคลื่อนเศรษฐกิจต่อเนื่อง แม้ว่าภาคการส่งออกจะเผชิญความเสี่ยงจากการแพร่ระบาดโควิด-19 ในโรงงาน โด,https://mgronline.com/uptodate/detail/9640000095735,27_09_2021
แวะปั๊มด่วน! พรุ่งนี้ราคาน้ำมันปรับขึ้น 40 สต./ลิตร ทั้งเบนซิน-ดีเซล,บริษัท ปตท.น้ำมันและการค้าปลีก จำกัด (มหาชน) หรือ โออาร์ และบริษัท บางจากปิโตรเลียม คอร์ปอเรชัน จำกัด (มหาชน) ประกาศปรับขึ้นราคาขายปลีกน้ำมันเชื้อเพลิงทั้งกลุ่มเบนซินและดีเซล 40 สตางค์ต่อลิตร ส่วน E85 ปรับขึ้น 20 สตางค์ต่อลิตร  ทั,https://mgronline.com/uptodate/detail/9640000095731,27_09_2021
นครบาลขีดเส้นปราบม็อบสามเหลี่ยมดินแดง ลั่นสิ้น ก.ย.ต้องจบ,พล.ต.ต.ปิยะ ต๊ะวิชัย รองผู้บัญชาการตำรวจนครบาล ในฐานะโฆษกกองบัญชาการตำรวจนครบาล เปิดเผยว่า กรณีที่มีนัดหมายชุมนุมผ่านช่องทางออนไลน์ในพื้นที่กรุงเทพฯ ซึ่งจะมีกลุ่มหลักๆ นัดหมายรวมตัวกันในวันที่ 27 กันยายน โดยกลุ่มทะลุฟ้า นัดหมายเวล,https://mgronline.com/uptodate/detail/9640000095726,27_09_2021
รมช.ศธ.สั่งตั้งทีมเฉพาะกิจตรวจสอบหนังสือนิทานเด็กเนื้อหาเข้าข่ายบิดเบือน,นางดรุณวรรณ ชาญพิพัฒนชัย โฆษกประจำตัวรัฐมนตรีช่วยว่าการกระทรวงศึกษาธิการ เปิดเผยว่า กรณีมีข่าวปรากฏในสื่อสังคมออนไลน์ถึงการผลิตหนังสือนิทานสำหรับเด็ก คล้ายตำราเรียน และนำออกมาจัดจำหน่ายให้กับเด็กที่มีอายุ 5 ขวบขึ้นไป โดยมีเนื้อหาเ,https://mgronline.com/uptodate/detail/9640000095776,27_09_2021
