title,summary,link,published
ผู้ว่าการแบงก์ชาติชี้โควิด-19 ซ้ำเติมความเหลื่อมล้ำ,ผู้ว่าการแบงก์ชาติชี้โควิด-19ซ้ำเติมความเหลื่อมล้ำแนะ 7 แนวทางปรับโครงสร้างสร้างภูมิคุ้มกันรับมือความเปลี่ยนแปลงและความไม่แน่นอนของโลกที่เปลี่ยนรวดเร็ว,https://tna.mcot.net/business-791647,30_09_2021
ผู้นำเกาหลีเหนือเสนอรื้อฟื้นสายด่วนติดต่อกับเกาหลีใต้,นายคิม จอง อึน ผู้นำสูงสุดของเกาหลีเหนือกล่าวว่า เขามีความตั้งใจที่จะรื้อฟื้นโทรศัพท์สายด่วนระหว่างเกาหลีเหนือและเกาหลีใต้ในเดือนหน้า หลังจากสายด่วนดังกล่าวถูกตัดขาดไป ในขณะเดียวกันก็กล่าวหาสหรัฐว่า เสนอเปิดเจรจากับเกาหลีเหนือโดยไม่ยอมเปลี่ยนแปลงนโยบายที่เป็นปรปักษ์กับเกาหลีเหนือ,https://tna.mcot.net/world-791637,30_09_2021
หนุ่มช็อกขี่รถผ่าน เห็นพ่อประสบอุบัติเหตุเสียชีวิต,จยย. หักหลบรถกระบะขับแซงปาดหน้า เสียหลักชนแท่นแบริเออร์ คนขี่ศีรษะกระแทกปูน หมวกกันน็อกแตก เสียชีวิตคาที่ ลูกชายช็อก! ขี่รถผ่านเห็นเหตุการณ์พอดี,https://tna.mcot.net/latest-news-791618,30_09_2021
เตรียมเคาะมาตรการกระตุ้นเศรษฐกิจ,ทำเนียบฯ 30 ก.ย.- ที่ประชุมศบศ. เตรียมเคาะมาตรการกระตุ้นเศรษฐกิจ เติมเงินให้ใช้จ่ายช่วงปลายปีนี้,https://tna.mcot.net/politics-791625,30_09_2021
บมจ. ซีแพนเนลเทรดขายวันแรกเปิดบวกทันที 8.70บาทต่อหุ้น,บมจ. ซีแพนเนล ผู้ผลิตและจำหน่ายแผ่นพื้นและผนังคอนกรีตสำเร็จรูป และส่วนประกอบอาคารที่ผลิตจากคอนกรีตสำเร็จรูป เปิดเข้าซื้อขายในตลาดหลักทรัพย์ เอ็ม เอ ไอ เช้านี้ ด้วยมูลค่าหลักทรัพย์ ณ ราคา IPO 900 ล้านบาท โดยใช้ชื่อย่อในการซื้อขายหลักทรัพย์ว่า “CPANEL” นักลงทุนสนใจเปิดซื้อขายบวกทันที 8.70 บาทต่อหุ้น,https://tna.mcot.net/business-791622,30_09_2021
เจ้าของร้านหีบศพผวาคนอ้างเป็น ตร. รีดเงิน-ขู่ทำร้าย,คนร้ายอ้างเป็น “ร้อยตำรวจโท” กล่าวหาพ่อสาวเจ้าของร้านหีบศพกระทำความผิด ให้หาเงินมาประกัน แถมข่มขู่จะส่งคนมาทำร้ายตำรวจคาดเป็นคนใกล้ตัว,https://tna.mcot.net/region-791600,30_09_2021
จับตาอัตราภาษีบุหรี่ใหม่ เตรียมใช้ 1 ต.ค.นี้,ที่ประชุม ครม. เห็นชอบการทบทวนภาษีสรรพสามิตบุหรี่ตามโครงสร้างภาษีใหม่ตามที่กระทรวงการคลังเสนอ แต่ทั้งนี้ก็ยังไม่มีการเปิดเผยตัวเลขออกมาว่าจะปรับเพิ่มขึ้นเท่าไหร่ ขณะที่หลายฝ่ายเป็นห่วงว่า การปรับเพิ่มภาษีซึ่งจะทำให้ราคาบุหรี่ต่อซองสูงขึ้นตามไปด้วยนั้น จะทำให้มีบุหรี่เถื่อนหรือบุหรี่หนีภาษีทะลักเข้าประเทศไทยมากยิ่งขึ้น,https://tna.mcot.net/business-791584,30_09_2021
‘โนวัค ยอโควิช’ ถอนตัวบีเอ็นพี พาริบาส โอเพน,โนวัค ยอโควิช นักเทนนิสวัย 34 ปี มือ 1 โลกจากเซอร์เบีย ถอนตัวไม่ลงแข่งรายการใหญ่ บีเอ็นพี พาริบาส โอเพน ที่สหรัฐอเมริกา ซึ่งจะเริ่มขึ้นวันที่ 7 ตุลาคมนี้ โดยให้เหตุผลว่าต้องการพักฟื้นร่างกายหลังจากกรำศึกหนักมาตลอดทั้งปี,https://tna.mcot.net/sport-791594,30_09_2021
แม่น้ำป่าสักเอ่อท่วมตลาดริมแม่น้ำ,ระดับน้ำแม่น้ำป่าสักพื้นที่ อ.ท่าเรือ จ.พระนครศรีอยุธยา ขณะนี้สูงขึ้นกว่า 1 เมตร หลังเขื่อนพระรามหกขึ้นธงแดง ทำให้น้ำเอ่อล้นเข้าท่วมตลาดริมแม่น้ำ สูง 50 เซนติเมตร,https://tna.mcot.net/region-791567,30_09_2021
“สุวัจน์”มอบสิ่งของช่วยน้ำท่วมโคราช,"นครราชสีมา 30 ก.ย.- ""สุวัจน์"" ห่วงใยน้ำท่วมโคราช มอบศูนย์ฅนโคราชรักจริงไม่ทิ้งกันและพรรคชาติพัฒนา ลงพื้นที่ช่วยเหลือผู้ประสบอุทกภัย",https://tna.mcot.net/politics-791595,30_09_2021
เร่งค้นหาผู้สูญหายเหตุเรือล่มอยุธยา,เจ้าหน้าที่เร่งค้นหาสองสามีภรรยาที่สูญหายไปในเหตุเรือล่มอยุธยา ขณะที่เตรียมนำเรือ Side Scan Sonar ค้นหาซากเรือ,https://tna.mcot.net/region-791569,30_09_2021
สโลวีเนียประท้วงฉีดวัคซีน,ชาวสโลวีเนียหลายพันคนออกมาประท้วงต่อต้านมาตรการเข้มงวดโควิด-19 เรื่องการใช้บัตรผ่านวัคซีน ขณะที่ร้อยละ 48 ของประชากรได้รับวัคซีนครบโดส,https://tna.mcot.net/world-791570,30_09_2021
RPC คว้ารางวัลดีเด่น “องค์กรต้นแบบด้านสิทธิมนุษยชน”,IRPC คว้ารางวัลดีเด่น “องค์กรต้นแบบด้านสิทธิมนุษยชน” ต่อเนื่อง 3 ปีซ้อน เป็นองค์กรแรกในประเทศไทย,https://tna.mcot.net/business-791788,30_09_2021
FTI Poll เผย ผู้บริหาร ส.อ.ท. เห็นด้วยเปิดประเทศเดินหน้าเศรษฐกิจ,ส.อ.ท. เปิดเผยผลสำรวจ FTI Poll  หัวข้อ “ภาคอุตสาหกรรมพร้อมเปิดประเทศแล้วหรือยัง?” พบว่า ผู้บริหาร ส.อ.ท. ส่วนใหญ่ เห็นด้วยกับแผนการเปิดประเทศและการผ่อนคลายมาตรการ Lockdown ในช่วงเดือนตุลาคม-พฤศจิกายนนี้ กรุงเทพฯ 30 ก.ย.-รองประธานสภาอุตสาหกรรมแห่งประเทศไทย,https://tna.mcot.net/latest-news-791759,30_09_2021
