title,summary,link,published
ปภ.เตือน 12 จังหวัดลุ่มเจ้าพระยาและกรุงเทพฯ ระวังผลกระทบน้ำหลาก,"กรมป้องกันและบรรเทาสาธารณภัย(ปภ.) แจ้งเตือน 12 จังหวัดลุ่มน้ำเจ้าพระยาและกรุงเทพมหานคร เฝ้าระวังผลกระทบจากน้ำหลากจากพื้นที่ตอนบนของลุ่มแม่น้ำเจ้าพระยาไหลลงเหนือเขื่อนเจ้าพระยา นายบุญธรรม เลิศสุขีเกษม อธิบดีกรมป้องกันและบรรเทาสาธารณภัย (ปภ.) ในฐานะผู้อำนวยการกลาง กองอำนวยการป้องกันและบรรเทาสาธารณภัยกลาง (กอปภ.ก.) เปิดเผยว่า จากการติดตามสถานการณ์น้ำกับกรมชลประทาน พบว่า ในห้วงเวลาที่ผ่านมาประเทศไทยมีฝนตกสะสมอย่างต่อเนื่องบริเวณประเทศไทยตอนบน และคาดการณ์ว่า ในช่วงวันที่ 26-30 กันยายน 2564 ร่องมรสุมจะเลื่อนลงไปพาดผ่านภาคกลางตอนล่าง ทำให้ยังคงมีฝนตกหนักบางพื้นที่บริเวณภาคกลาง ส่งผลให้มีปริมาณน้ำไหลลงเหนือเขื่อนเจ้าพระยาในอัตราเพิ่มมากขึ้น โดยคาดการณ์ปริมาณน้ำไหลผ่านสถานีวัดน้ำ มีแนวโน้มเพิ่มขึ้นอยู่ในเกณฑ์ประมาณ 2,400-2,500 ลูกบาศก์เมตรต่อวินาที กรมชลประทานได้ใช้การบริหารจัดการน้ำ รวมทั้งตัดยอดน้ำเข้าพื้นที่ลุ่มต่ำทั้งสองฝั่ง แต่ยังจำเป็นต้องปรับเพิ่มปริมาณน้ำไหลผ่านเขื่อนเจ้าพระยาอยู่ระหว่าง 2,400-2,500 ลูกบาศก์เมตรต่อวินาที ซึ่งจะส่งผลให้ระดับน้ำท้ายเขื่อนเจ้าพระยาสูงเพิ่มสูงขึ้นประมาณ 0.30-1.00 เมตร ระหว่างวันที่ 26-29 กันยายน 2564 ในบริเวณลุ่มต่ำนอกคันกั้นน้ำ กรมป้องกันและบรรเทาสาธารณภัย (ปภ.) จึงได้ประสาน 12 จังหวัดลุ่มน้ำเจ้าพระยา ได้แก่ อุทัยธานี ชัยนาท สิงห์บุรี อ่างทอง สุพรรณบุรี พระนครศรีอยุธยา ลพบุรี ปทุมธานี […] The post ปภ.เตือน 12 จังหวัดลุ่มเจ้าพระยาและกรุงเทพฯ ระวังผลกระทบน้ำหลาก appeared first on MONO29 TV Official Site.",https://mono29.com/news/344772.html,26_09_2021
นครเซี่ยงไฮ้ ของจีน เตรียมเปิดบริการรถไฟสินค้า จากเซี่ยงไฮ้ ไปยังนครฮัมบวร์ก ของเยอรมนี,สำนักข่าวซินหัว รายงานว่า นครเซี่ยงไฮ้ ศูนย์กลางเศรษฐกิจทางตะวันออกของจีน เตรียมเปิดบริการรถไฟสินค้าสู่นครฮัมบวร์ก ของเยอรมนี ซึ่งถือเป็นบริการรถไฟข้ามพรมแดนระหว่างเซี่ยงไฮ้-ยุโรป สายแรกในวันอังคารนี้ รถไฟสินค้า เซี่ยงไฮ้ เอ็กซ์เพรส จะให้บริการขนส่งสินค้าเสื้อผ้า ชิ้นส่วนยานยนต์ ตลอดจนสิ่งของจำเป็น และ อื่นๆ อีกมาก โดยจะออกจากจีน ทางด่าน อาลาซานโข่วในเขตปกครองตนเองซินเจียงอุยกูร์ทางตะวันตกเฉียงเหนือ และเดินทางถึงฮัมบวร์ก ในอีก 2 สัปดาห์ ศุลกากรของเซียงไฮ้ ระบุว่า ขบวนรถของเส้นทางนี้ จะวิ่งให้บริการประจำทุกสัปดาห์ และ จะช่วยเพิ่มทางเลือกด้านโลจิสติกส์ แก่บรรดาผู้ประกอบการทั้งในประเทศและต่างประเทศให้มากยิ่งขึ้น The post นครเซี่ยงไฮ้ ของจีน เตรียมเปิดบริการรถไฟสินค้า จากเซี่ยงไฮ้ ไปยังนครฮัมบวร์ก ของเยอรมนี appeared first on MONO29 TV Official Site.,https://mono29.com/news/344770.html,26_09_2021
ชัยภูมิวิกฤต!  น้ำทะลักเข้ารพ. – น้ำท่วมหนักในรอบ 50 ปี อ่วมสุด 3 อำเภอ บ้านจมมิดหลังคา อพยพชาวบ้านหลายพันคน,สถานการณ์น้ำท่วมในพื้นที่จ.ชัยภูมิ จากอิทธิพลพายุ “เตี้ยนหมู่” พัดถล่มเกิดฝนตกหนักมาต่อเนื่องในช่วง 2-3 วันที่ผ่านมาตลอดทั้งวันทั้งคืน ล่าสุดเกิดสถานการณ์น้ำท่วมใหญ่หนักสุดเป็นประวัติการณ์เท่าที่เคยมีมาใน จ.ชัยภูมิ ในรอบกว่า 50 ปี ทำให้มีระดับน้ำป่าทะลักท่วมหนักมาต่อเนื่องในทั่วทั้งจังหวัดชัยภูมิ ได้รับความเดือดร้อนหนักที่สุดในขณะนี้อีกกว่า 3 อำเภอ มีน้ำป่าหลากและทะลักล้นสันเขื่อนลำคันฉู ในพื้นที่ อ.บำเหน็จณรงค์ เกิดน้ำป่าไหลหลากน้ำท่วมฉับพลันเข้ามาในพื้นที่โรงพยาบาลประจำอำเภอบำเหน็จณรงค์ และในทั่วตัวอำเภอโซนเศรษฐกิจซึ่งมีระดับน้ำท่วมสูงอย่างรวดเร็วขณะนี้สูงกว่า 5 เมตรแล้ว และยังมีระดับน้ำไหลเชี่ยวรุนแรงสูงเพิ่มขึ้นอีกต่อเนื่องไม่หยุด ซึ่งตั้งแต่กลางดึกวานนี้( 25 ก.ย.64)ที่ผ่านมาทางเจ้าหน้าที่เกี่ยวข้องต้องเร่งอพยพคนไข้ผู้ป่วย แพทย์หมอพยาบาลออกจากพื้นที่กันอย่างอลหม่านมาต่อเนื่องยันช่วงสายที่ผ่านมา(2ว ก.ย.64) ซึ่งมีผู้ป่วยโควิด-19 รักษาตัวอยู่ภายในโรงพยาบาลรวม 10 ราย ผู้ป่วยทั่วไป 30 ราย พร้อมเจ้าหน้าที่แพทย์หมอพยาบาลรวมอีกกว่า 120 คนได้อพยพไปอยู่ที่บริเวณภายใน ปตท.ตลาดคำปิง อ.บำเหน็จณรงค์ และได้ใช้เรือกู้ชีพมารับผู้ป่วยอาการหนัก 3 รายเพื่อเร่งนำส่ง รพ.พระทองคำ จ.นครราชสีมา เป็นการชั่วคราวไปก่อนแล้ว ซึ่งขณะนี้ด้านการเข้าไปช่วยเหลือประชาชนที่ประสบภัยในพื้นที่ อ.บำเหน็จณรงค์ ทั้งหมด ไม่สามารถเข้าไปภายในได้ทั้งหมด ซึ่งระดับน้ำยังหลากท่วมขยายวงกว้างต่อเนื่องจมบาลบ้านบ้านเรือนประชาชนในพื้นที่ถูกน้ำท่วมสูงจมมิดหลังคาเกือบทั้งหมดแล้ว ซึ่งล่าสุดทางชาวบ้าน เจ้าหน้าที่แพทย์พยาบาล ที่พากันอพยพหนีน้ำมาอาศัยอยู่ที่ปั้ม ปตท.คำปิง […] The post ชัยภูมิวิกฤต! น้ำทะลักเข้ารพ. – น้ำท่วมหนักในรอบ 50 ปี อ่วมสุด 3 อำเภอ บ้านจมมิดหลังคา อพยพชาวบ้านหลายพันคน appeared first on MONO29 TV Official Site.,https://mono29.com/news/344767.html,26_09_2021
“บิ๊กตู่” ตรวจน้ำท่วม จ.สุโขทัย ลั่น “ไม่ว่าใคร หากโทษน้ำท่วมเพราะนายกฯ” ชี้ตัวเองทำงานมากสุดในหลายปีที่ผ่านมา,พล.อ.ประยุทธ์​ จันทร์​โอชา​ นายก​รัฐมนตรี​และ​รัฐมนตรี​ว่าการ​กระทรวง​กลาโหม​ เข้าสักการะหลวงพ่อสามพี่น้องและหลวงพ่อขาว​ ที่​ วัดบ้านซ่าน​ ต.บ้านซ่าน​อ.ศรีสำโรง​ จ.สุโขทัย​ ซึ่งเป็นพระพุทธรูปสำริดปางมารวิชัยสมัยสุโขทัยมีอายุกว่า 700 ปี ถือเป็นสิ่งศักดิ์สิทธิ์ที่ประชาชนให้ความเคารพ ก่อนเข้ารับการบรรยายสรุปแผนการบริหารจัดการน้ำในพื้นที่​ และทักทายประชาชนที่มาให้การต้อนรับ ทั้งนี้​ นายกรัฐมนตรี​ กล่าวว่า​ ขอกระแอมหน่อย​ วันนี้เดินทางกรุงเทพ​ฯ​ มาแต่เช้า​ ต้องขอโทษส่วนข้าราชการต่างๆ​​ แม้จะเป็นช่วงวันหยุด​ แต่เมื่อใดก็ตามที่ประชาชน ได้รับความเดือดร้อน เราก็หยุดไม่ได้ วันนี้นายกฯ นำพาหัวใจคนกรุงเทพฯ​ หัวใจคนต่างจังหวัดมาช่วย​ ด้วยความห่วงใยเราเป็นพี่น้องกันเราเป็นคนไทยด้วยกัน เราจึงต้องห่วงใยกันซึ่งไม่ใช่เพียงแค่จังหวัดนี้เดือดร้อน​ แต่จังหวัดอื่นก็เดือดร้อน​ จากพายุที่เข้ามาเป็นระยะ ซึ่งรัฐบาลจำเป็นต้องมีแผนการบริหารจัดการน้ำทั้งประเทศในภาพรวม​ และอีกเรื่องจะต้องดูว่าประเทศไทยจะเดินหน้าไปอย่างไรเพื่อพลิกโฉมคนไทย​ ให้ประชาชนมีรายได้ที่เพียงพอ​ เพียงพอต่อการใช้จ่ายและเพียงพอเพื่อให้ลูกหลานได้เรียนหนังสือ​ ที่รัฐบาลต้องเร่งคิด​ ต้องพยายามแก้ปัญหาติดขัดที่มีมากพอสมควร ซึ่งเราเดินได้มาขนาดนี้แล้ว ก็ต้องเดินต่อไปเพราะนี่คืออนาคต ซึ่งเป็นอนาคตที่ทุกคนจำเป็นต้องมีส่วนร่วมรัฐบาล​และนายกรัฐมนตรี​ในการเดินหน้าประเทศ​ ที่ทุกคนต้องช่วยกันเดินตามถนนที่รัฐบาลทำไว้ให้​ หาประโยชน์​จากถนนเหล่านั้น ทั้งนี้​ นายกรัฐมนตรี​ กล่าวว่า ในเรื่องของการแก้ไขปัญหาน้ำท่วมไม่สามารถแก้ได้ ร้อยเปอร์เซ็นต์เพราะประเทศเราเป็นที่สูงมาที่ต่ำ​ จากเหนือมาใต้​ ซึ่งน้ำไม่ได้ไหลจากภาคใต้ไปภาคเหนือได้​ จึงต้องไหลมาตรงกลาง​มารวมในแม่น้ำต่างๆ​ โดยท่วมพื้นที่ซ้ำๆ​ จึงต้องมีการบริหารจัดการเป็นพื้นที่ไป​ พร้อมเตรียมพื้นที่เก็บน้ำไว้เพื่อให้มีน้ำใช้อย่างเพียงพอ​ และ […] The post “บิ๊กตู่” ตรวจน้ำท่วม จ.สุโขทัย ลั่น “ไม่ว่าใคร หากโทษน้ำท่วมเพราะนายกฯ” ชี้ตัวเองทำงานมากสุดในหลายปีที่ผ่านมา appeared first on MONO29 TV Official Site.,https://mono29.com/news/344765.html,26_09_2021
พบกระทิงป่าอุทยานฯเขาใหญ่ ถูกไฟช็อตตายติดเสาไฟฟ้าข้างถนน,เมื่อช่วงเช้าที่ผ่านมา บริเวณเสาไฟฟ้าข้างทางถนนสาย 304 กบินทร์ – นครราชสีมา ในเขตตำบลบุพราหมณ์ อำเภอนาดี จังหวัดปราจีนบุรี พบกระทิงเพศผู้ น้ำหนักกว่า 800 กิโลกรัมนอนตายอยู่กับเสาไฟฟ้า เบื้องต้นคาดว่า กระทิงน่าจะออกมาหากินข้างทางและถูกกระแสไฟฟ้าที่เสาไฟช็อตเสียชีวิต เนื่องจากตั้งแต่ช่วงค่ำวานนี้ มีฝนตกในพื้นที่อุทยานแห่งชาติเขาใหญ่ตลอดทั้งคืน อาจทำให้กระแสไฟฟ้าที่เสาไฟเกิดรั่วและช็อตกระทิงดังกล่าว หลังเกิดเหตุเจ้าหน้าที่อุทยานแห่งชาติเขาใหญ่ ได้ประสานไปยังเจ้าหน้าที่ไฟฟ้าทำการตัดกระแสไฟ ก่อนจะนำรถเครนมาทำการเคลื่อนย้ายกระทิง ให้สัตวแพทย์ทำการผ่าพิสูจน์หาสาเหตุการตายที่แท้จริงอีกครั้ง The post พบกระทิงป่าอุทยานฯเขาใหญ่ ถูกไฟช็อตตายติดเสาไฟฟ้าข้างถนน appeared first on MONO29 TV Official Site.,https://mono29.com/news/344763.html,26_09_2021
“ราชกิจจาฯ” ประกาศให้สำนักงานประกันสังคม “จ่ายค่าตรวจโควิด แบบ RT-PCR ให้โรงงาน” ที่ร่วม Factory sandbox นำร่อง 7 จังหวัดสีแดงเข้ม,เว็บไซต์ราชกิจจานุเบกษา เผยแพร่ ประกาศคณะกรรมการการแพทย์ตามพระราชบัญญัติประกันสังคม เรื่อง หลักเกณฑ์ และอัตราค่าบริการทางการแพทย์กรณีคัดกรองการติดเชื้อไวรัสโคโรนา 2019 หรือโรคโควิด-19 (Coronavirus Disease 2019 (COVID-19)) ตามแนวทางโครงการ Factory sandbox ลงนาม โดย ศาสตราจารย์คลินิกเกียรติคุณเหลือพร ปุณณกันต์ ประธานกรรมการการแพทย์.สาระสำคัญของประกาศ ระบุว่า เห็นชอบตามที่กระทรวงแรงงานได้จัดทำข้อเสนอโครงการนำร่องเกี่ยวกับแรงงานในสถานประกอบกิจการและโรงงานตามโครงการ Factory sandbox เพื่อจัดการโครงสร้างและกระบวนการในลักษณะ “เศรษฐศาสตร์สาธารณสุข” ที่ดำเนินการควบคู่กันระหว่างสาธารณสุขและเศรษฐกิจ โดยเฉพาะภาคการผลิตและอุตสาหกรรมการส่งออกขนาดใหญ่.อันประกอบด้วย 4 ภาคส่วน คือ ภาคส่วนยานยนต์ ภาคส่วนชิ้นส่วนอิเล็กทรอนิกส์ ภาคส่วนอาหาร และภาคส่วนอุปกรณ์ทางการแพทย์ ซึ่งถือเป็นกลไกหลักที่ช่วยพยุงเศรษฐกิจของประเทศในปัจจุบัน.โดยมีหลักการสำคัญ คือตรวจ รักษา ควบคุม ดูแล เพื่อให้การบริหารทรัพยากรที่มีอยู่อย่างจำกัดเกิดประโยชน์สูงสุดและตรงกลุ่มเป้าหมาย ให้ผู้ประกันตนในสถานประกอบการที่ดำเนินกิจการผลิตเพื่อการส่งออกสินค้าทั้ง 4 ภาคส่วนดังกล่าว ซึ่งมีลูกจ้างตั้งแต่ 500 คนขึ้นไป ในพื้นที่ 7 จังหวัดนำร่องที่เป็นพื้นที่ควบคุมสูงสุดและเข้มงวด. ระยะที่ 1 ได้แก่จังหวัดชลบุรี จังหวัดนนทบุรี จังหวัดสมุทรสาคร […] The post “ราชกิจจาฯ” ประกาศให้สำนักงานประกันสังคม “จ่ายค่าตรวจโควิด แบบ RT-PCR ให้โรงงาน” ที่ร่วม Factory sandbox นำร่อง 7 จังหวัดสีแดงเข้ม appeared first on MONO29 TV Official Site.,https://mono29.com/news/344758.html,26_09_2021
“บิ๊กตู่” บินดูน้ำท่วมสุโขทัย​ ขึ้นรถ “สวัสดีนะจ๊ะ” ทักทายชาวบ้าน – “สมศักดิ์”​ ขน​ขบวน ส.ส.กลุ่มสามมิตรรอต้อนรับ,พลเอกประยุทธ์​ จันทร์​โอชา​ นายกรัฐมนตรี​ และ​รัฐมนตรี​ว่าการ​กระทรวง​กลาโหม​ พร้อมด้วย พลเอกอนุ​พงษ์​ เผ่า​จินดา​รัฐมนตรี​ว่าการ​กระทรวง​มหาดไทย​ นายเฉลิมชัย​ ศรีอ่อน รัฐมนตรี​ว่าการ​กระทรวง​เกษตรและสหกรณ์ เดินทางลงพื้นที่ตรวจเยี่ยมสถานการณ์น้ำท่วมจังหวัดสุโขทัย​ โดยมีนายสมศักดิ์​ เทพสุทิน​ รัฐมนตรี​ว่าการ​กระทรวง​ยุติธรรม​ นายสุริยะ​ จึงรุ่งเรืองกิจรัฐมนตรีว่าการกระทรวงอุตสาหกรรม นายอนุชา​นาคาศัย​ รัฐมนตรีประจำสำนักนายกรัฐมนตรีและส.ส.พรรคพลังประชารัฐ​ จ.สุโขทัย พิษณุโลก กำแพงเพชร ตาก ลำปาง นครสวรรค์ และพิจิตร มารอต้อนรับประมาณ​ 20 คน​ ทั้งนี้​ ระหว่างอยู่บนเครื่องบิน นายกรัฐมนตรี​ และพลเอกอนุพงษ์ ได้มีการดูแผนที่​จังหวัด​ พร้อมได้สำรวจสถานการณ์​น้ำท่วมที่ขยายเป็นวงกว้างอย่างชัดเจนทางอากาศ​ยาน​ และเมื่อนายกรัฐมนตรี​ เดินทางมาถึงได้มีการพูดคุยกับส.ส.ในพื้นที่​ ที่มารอต้อนรับ​ ก่อนตรวจเยี่ยมให้กำลังใจและมอบถุงยังชีพให้แก่ประชาชนผู้ประสบอุทกภัยอำเภอศรีสำโรง จำนวน 2 จุด ได้แก่ บ้านคลองชัด หมู่ ที่ 8 ตำบลวังใหญ่ และวัดดอนจันทร์ หมู่ที่ 4 ตำบลบ้านไร่ อำเภอศรีสำโรง จังหวัดสุโขทัย นอกจากนี้ในส่วนของรถที่นายกฯ ใช้ในการเดินทางลงพื้นที่จังหวัดสุโขทัยครั้งนี้ […] The post “บิ๊กตู่” บินดูน้ำท่วมสุโขทัย​ ขึ้นรถ “สวัสดีนะจ๊ะ” ทักทายชาวบ้าน – “สมศักดิ์”​ ขน​ขบวน ส.ส.กลุ่มสามมิตรรอต้อนรับ appeared first on MONO29 TV Official Site.,https://mono29.com/news/344756.html,26_09_2021
พรุ่งนี้รอลุ้น! นายกฯ ถก ศบค.ชุดใหญ่ พิจารณาต่อพรก.ฉุกเฉิน​ ขยับเวลาเคอร์ฟิว ​ผ่อนคลายกิจการ- กิจกรรมหลายประเภท,"ผู้สื่อข่าวรายงานจากทำเนียบรัฐบาล ว่า ในการประชุมคณะกรรมการบริหารสถานการณ์การแพร่ระบาดของโรคติดเชื้อไวรัสโคโรนา 2019 หรือ โควิด-19 หรือ​ ศบค.ชุดใหญ่ ครั้งที่ 15 / 2564 ที่มีพลเอกประยุทธ์ จันทร์โอชา นายกรัฐมนตรี และรัฐมนตรีว่าการกระทรวงกลาโหม ในฐานะผอ.ศบค. เป็นประธานการประชุมในเวลา 10.30 น. ผ่านระบบการประชุมทางไกล หรือ วีดีโอคอนเฟอเรนซ์ โดยจะเริ่มด้วยเรื่องที่ประธานแจ้งให้ที่ประชุมทราบ และรับรองรายงานการประชุมศบค.ครั้งที่ 14 / 2564 เมื่อวันที่ 10 กันยายน 2564 ที่ผ่านมา จากนั้นศูนย์ปฏิบัติการฉุกเฉินด้านการแพทย์และสาธารณสุขกรณีโรคติดเชื้อ โควิด-19 (ศปก.สธ.) จะรายงานสถานการณ์และคาดการณ์แนวโน้มการแพร่ระบาดและผู้ติดเชื้อ, กระทรวงแรงงานรายงานเรื่องการปรับรายละเอียดของโครงการแฟ็คทอรี่แซนด์บ็อกซ์ Factory sandbox ระยะที่2 , กระทรวงพลังงานรายงานเรื่องการแก้ไขผลกระทบที่เกิดจากการปฎิบัติตามคำสั่ง ศบค. ฉบับที่ 12 / 2564 กรณีผู้เดินทางเข้าออกราชอาณาจักรทางน้ำเพื่อปฏิบัติภารกิจที่เกี่ยวข้องกับกิจการปิโตรเลียม นอกจากนี้​ ศบค.จะพิจารณาความเหมาะสมในการขยายระยะเวลาประกาศสถานการณ์ฉุกเฉินในทุกเขตท้องที่ทั่วราชอาณาจักร ครั้งที่ 14 โดยศูนย์ปฏิบัติการศูนย์บริหารสถานการณ์ โควิด-19​ […] The post พรุ่งนี้รอลุ้น! นายกฯ ถก ศบค.ชุดใหญ่ พิจารณาต่อพรก.ฉุกเฉิน​ ขยับเวลาเคอร์ฟิว ​ผ่อนคลายกิจการ- กิจกรรมหลายประเภท appeared first on MONO29 TV Official Site.",https://mono29.com/news/344753.html,26_09_2021
บขส.แจ้งหยุดเดินรถเส้นทาง กรุงเทพฯ – หล่มสัก ชั่วคราว หลังน้ำท่วมทางไม่สามารถสัญจรได้,ดร.สัญลักข์ ปัญวัฒนลิขิต กรรมการผู้จัดการใหญ่ บริษัท ขนส่ง จำกัด (บขส.) เปิดเผยว่า จากอิทธิพลของ พายุดีเปรสชั่น “เตี้ยนหมู่” ทำให้ประเทศไทยตอนบนยังคงมีฝนตกหนักถึงหนักมากในบางพื้นที่ของภาคเหนือ ภาคตะวันออกเฉียงเหนือ (ภาคอีสาน) ภาคกลางและภาคตะวันออก รวมทั้งกรุงเทพมหานครและปริมณฑล ตนเองจึงได้สั่งกำชับไปยังทุกฝ่าย โดยเฉพาะนายสถานีเดินรถในส่วนภูมิภาคให้เฝ้าระวังสถานการณ์น้ำท่วมอย่างใกล้ชิด พร้อมทั้งเฝ้าระวังตลอด 24 ชั่วโมง.โดยล่าสุดช่วงเช้าวันนี้ (26 ก.ย. 64) ได้รับแจ้งจากสถานีเดินรถหล่มสัก และสถานีเดินรถเพชรบูรณ์ว่า เส้นทางช่วงพุขาม-พุเตย ทั้งขาขึ้น และขาล่อง น้ำท่วมสูงรถทุกชนิดไม่สามารถผ่านได้ จึงต้องหยุดวิ่งให้บริการในเส้นทางกรุงเทพฯ – หล่มสัก (เที่ยวไป-กลับ) จำนวน 4 เที่ยว ชั่วคราว และให้ผู้โดยสารที่จองตั๋วล่วงหน้าไว้แล้ว สามารถเลื่อนการเดินทาง หรือคืนตั๋วโดยสารได้.ขณะเดียวกันทางสถานีเดินรถสุโขทัย ได้รายงานว่า ระดับน้ำในจังหวัดสุโขทัย และเส้นทางเข้า-ออกสถานีขนส่งฯ มีน้ำท่วมสูง รถโดยสารไม่สามารถเข้าใช้สถานีขนส่งฯได้ จึงให้รถโดยสารสายอุตรดิตถ์ สาย 100 ใช้เส้นทางนครสวรรค์ – พิษณุโลก – อำเภอกงไกรลาศ – […] The post บขส.แจ้งหยุดเดินรถเส้นทาง กรุงเทพฯ – หล่มสัก ชั่วคราว หลังน้ำท่วมทางไม่สามารถสัญจรได้ appeared first on MONO29 TV Official Site.,https://mono29.com/news/344751.html,26_09_2021
“เขี้ยวสมุทร” บุกแบ่งแต้ม “มังกรโล่เงิน” 1-1,ศึกฟุตบอล รีโว่ ไทยลีก 2021/22 นัดที่ 4 ประจำวันอาทิตย์ที่ 26 กันยายน 2564 ระหว่าง โปลิศ เทโร เอฟซี พบกับ สมุทรปราการซิตี้ ที่ สนามบุณยะจินดา นาที 19 โปลิศ เทโรฯ ได้ทักทายก่อนจากจังหวะสับไกด้วยขวาในกรอบเขตโทษของ เอกชัย สำเร แต่บอลยังไม่ตรงกรอบ นาที 40 เจ้าบ้านได้ประตูออกนำ 1-0 จาก ไอแซค ฮอนนี จบครึ่งเวลาแรก โปลิศ เทโร เอฟซี 0-0 สมุทรปราการซิตี้ เข้าสู่ช่วงครึ่งเวลาหลัง นาที 51 เจริญศักดิ์ วงษ์กรณ์ ได้เปิดฟรีคิกทางริมเส้นฝั่งขวา ก่อนบอลมาตกตรงหน้า ศุภนันท์ บุรีรัตน์ ยิงเข้าไปไม่เหลือ สมุทรปราการซิตี้ ตามตีเสมอ 1-1 นาที 71 เจริญศักดิ์ […] The post “เขี้ยวสมุทร” บุกแบ่งแต้ม “มังกรโล่เงิน” 1-1 appeared first on MONO29 TV Official Site.,https://mono29.com/news/344776.html,26_09_2021
