title,summary,link,published
"สั่งเดินหน้า""5 ยุทธศาสตร์เฉลิมชัย""เร่งปฏิรูปภาคการเกษตร",“อลงกรณ์”เร่งขับเคลื่อน 16 วาระคานงัด(Transformation Agenda) สร้างจุดเปลี่ยนด้วยเทคโนโลยี หวังพลิกโฉมเกษตประเทศไทย 77 จังหวัด,https://www.posttoday.com/economy/news/664207,28_09_2021
ในที่สุดก็คลายล็อกเพิ่ม!! ผู้ประกอบการเฮเดินหน้าเปิดประเทศ,ศบค.ไฟเขียวคลายล็อกเพิ่ม 10 กิจการในพื้นที่สีแดงเข้มแล้ว แต่ยังมีข้อจำกัดในแต่ละกิจการมากมาย ยังไม่คลายล็อกแบบเต็มสูบ รวมถึงไม่ได้ยกเลิกเคอร์ฟิวตามที่หลายฝ่ายต้องการ,https://www.posttoday.com/politic/news/664206,28_09_2021
"""เฉลิม""ชำแหละการบินไทยขาดทุนหลายหมื่นล้านเทียบไม่ได้กับยุค""ทักษิณ""","""เฉลิม อยู่บำรุง""เปิดผลประกอบการการบินไทยยุค""ประยุทธ์""ปี 57-62 ขาดทุนสะสม 5 ปีรวดหลายหมื่นล้านเปรียบเทียบกับยุค""ทักษิณ""ปี 45-49 ฟันกำไรหลายหมื่นล้าน",https://www.posttoday.com/politic/news/664205,28_09_2021
ม็อบทะลุฟ้ายิงพลุ-จรวดขวดน้ำปะทะคฝ. ถูกจับหลายราย,ม็อบทะลุฟ้าเปิดฉากยิงพลุ จรวดขวดน้ำ ประทัดเข้าใส่คฝ. เจ้าหน้าที่้ตอบโต้ด้วยรถฉีดน้ำพร้อมเข้าขอคืนพื้นที่ ควบคุมตัวผู้ชุมนุมได้หลายราย,https://www.posttoday.com/politic/news/664204,28_09_2021
April Koh ซีอีโอหญิงที่อายุน้อยที่สุดของสตาร์ทอัพระดับยูนิคอร์น,เพราะปัญหาสุขภาพจิตที่เคยเจอกับตัวทำให้เธอสร้างบริษัท Spring Health ขึ้นมา และตอนนี้มันกลายเป็นสตาร์ทอัพระดับยูนิคอร์น,https://www.posttoday.com/world/664203,28_09_2021
"ปภ.เตือน""นครราชสีมา-ชัยภูมิ-ลพบุรี-นครสวรรค์""น้ำท่วมสูง","กรมป้องกันและบรรเทาสาธารณภัยเผยพิษพายุเตี้ยนหมู่ทำน้ำท่วมแล้ว 28 จังหวัดคลี่คลาย 5 จังหงัด เตือน ""นครราชสีมา-ชัยภูมิ-ลพบุรี-นครสวรรค์""ระวังน้ำท่วมสูงขึ้น",https://www.posttoday.com/social/local/664202,28_09_2021
"กลุ่มธุรกิจอาหาร-เครื่องดื่ม ฟ้องแพ่งเรียก 50 ล้าน ""ประยุทธ์"" จัดการโควิดไม่ดี","กลุ่มธุรกิจอาหาร-เครื่องดื่ม ฟ้องคดีแพ่งแบบกลุ่มตัวแทน 39 ราย ขอ ""นายกฯ-คลัง-สธ.-มท.กทม."" ร่วมชดใช้ 50 ล้าน บริหารจัดการวัคซีน/ชุดตรวจกันโควิดไม่พอ ไร้ประสิทธิภาพรอศาลแพ่งไต่สวนคำขอฟ้องแบบกลุ่ม 9 พ.ย.นี้",https://www.posttoday.com/social/general/664200,28_09_2021
หอการค้าฯ ห่วงน้ำท่วมทุบศก.เสียหายวันละ1 หมื่นลบ.,"“สนั่น”ชี้เหตุน้ำท่วมกระทบเศรษฐกิจปลายปี คาดเสียหายวันละ 5,000- 1 หมื่นล้านบาท  ขณะที่มติ ศบค. ผ่อนคลายมาตรการล็อกดาวน์ ถือเป็นข่าวดีช่วยส่งสัญญาณความเชื่อมั่นภาคธุรกิจ",https://www.posttoday.com/economy/news/664198,28_09_2021
สิงคโปร์มอบวัคซีนแอสตร้า-ชุดตรวจโควิดให้ไทย,สธ.รับมอบวัคซีนแอสตร้าเซนเนก้า ชุดตรวจ ATK และชุดตรวจแบบ Nasopharyngeal Swab จากรัฐบาลสิงคโปร์ เพื่อสนับสนุนการทำงานของบุคลากรทางการแพทย์ในการควบคุมโรคโควิด,https://www.posttoday.com/social/general/664195,28_09_2021
ไทยพาณิชย์ ชูตัวช่วย “SCB มีตังค์”,ไทยพาณิชย์ ชูตัวช่วย “SCB มีตังค์” เปิดทางผู้ประกอบการปลดล็อคสวัสดิการเบิกเงินล่วงหน้าให้พนักงาน,https://www.posttoday.com/finance-stock/news/664194,28_09_2021
