title,summary,link,published
"เพจข่าวสำนักงานรัฐมนตรี ศธ. แจงแล้ว ปมภาพ รมช.ศึกษาธิการ เจอแซวยับ ""ขาลอย""","   เฟซบุ๊กแฟนเพจ ข่าวสำนักงานรัฐมนตรี ศธ. ออกมาชี้แจงแล้ว ปมภาพ ""กนกวรรณ"" รมช.ศธ. เจอชาวเน็ตแซวยับ ลุยน้ำท่วมทิพย์-ขาลอย",https://www.sanook.com/news/8449570/,28_09_2021
"""น้องบีน่า"" ลูกนานา-เวย์ โตเป็นสาวแล้ว สวย เท่ มีสไตล์ ได้พ่อกับแม่มาเต็มๆ","  เป๊ะมาก ""น้องบีน่า"" ลูก นานา-เวย์ เปิดภาพล่าสุดโตเป็นสาวแล้ว คาแรคเตอร์ชัดเจน! สวยเท่ได้พ่อกับแม่มาเต็มๆ",https://www.sanook.com/news/8449534/,28_09_2021
ไทยได้รับวัคซีน AZ กว่า 1.2 แสนโดส พร้อมชุดตรวจหาเชื้อโควิด 7 แสนชุดจากสิงคโปร์,"  ""อนุทิน"" รับมอบวัคซีนแอสตร้าเซนเนก้า ชุดตรวจ ATK และชุดตรวจแบบ Nasopharyngeal Swab เพื่อสนับสนุนการทำงานของบุคลากรทางการแพทย์ในการควบคุมโรคโควิด 19",https://www.sanook.com/news/8449546/,28_09_2021
"ช็อกทั้งจังหวัด สูญเสีย ""ชาตรี จันทร์วีระชัย"" รองผู้ว่าฯ ประจวบคีรีขันธ์ ด้วยวัย 58 ปี","  ชาวประจวบฯ สุดอาลัยสูญเสียคนดี ""ชาตรี จันทร์วีระชัย"" รองผู้ว่าฯ เสียชีวิตอย่างสงบ ด้วยวัย 58 ปี",https://www.sanook.com/news/8449550/,28_09_2021
"ปาฏิหาริย์ รูปเหมือน ""หลวงปู่แสง"" 6 คนยกไม่ขึ้น เชื่อถ้าคนมีบารมีจะยกขึ้นได้แบบชิลล์ๆ","  ไวยาวัจกรวัดเล่าปาฏิหาริย์ รูปเหมือน ""หลวงปู่แสง"" วัดโพธิ์ไทร จ.นครนายก 6 คน โอบยกไม่ขึ้น",https://www.sanook.com/news/8449470/,28_09_2021
"มาแบบเต็มๆ ""เจนนี่-ยิว"" เปิดใจเคลียร์ทุกดราม่า และโมเมนต์ ""ยิว"" คุกเข่า (ซ้อม) ขอแต่งงาน",   เจนนี่-ยิว ควงคู่เคลียร์ทุกดราม่า สรุปท้อง-ไม่ท้อง ซ้อมขอแต่งงานกลางรายการสด เป็นภาพที่น่ารักมาก,https://www.sanook.com/news/8449526/,28_09_2021
เลือกตั้งเยอรมนี พรรค SPD ชนะเฉียดฉิว เล็งจับมือกรีน-ประชาธิปไตยเสรี ตั้งรัฐบาล,  พรรคสังคมประชาธิปไตยเยอรมนี (SPD) ชนะการเลือกตั้งเยอรมนีแบบเฉียดฉิว เล็งจับมือพรรคกรีน-ประชาธิปไตยเสรี ตั้งรัฐบาล,https://www.sanook.com/news/8449478/,28_09_2021
"""เบสท์"" พรั่งพรูความในใจ ส่งไปถึง ""ตงตง"" หนูโคตรรักพี่ อยู่กับหนูไปนานๆ นะ","  ""เบสท์ รักษ์วนีย์"" พรั่งพรูความในใจ มอบคำอวยพรวันเกิดสุดหวานส่งไปถึง ""ตงตง กฤษกร"" ชัดเจนมาก หนูโคตรรักพี่ อยู่กับหนูไปนานๆ นะ",https://www.sanook.com/news/8449354/,28_09_2021
เฉลยแล้ว ข้างในโลงเย็นโผล่กลางทุ่งนามีอะไร ยังหาอีก 3 โลงศพ ถูกน้ำพัดหาย,"  คืบหน้ากรณีพบ ""โลงเย็น"" โผล่กลางทุ่งนา ผู้ใหญ่บ้าน เผย ยังมีโลงขาวอีก 3 โลง ที่ถูกน้ำพัดหายไป แต่ยังหาไม่เจอ",https://www.sanook.com/news/8449566/,28_09_2021
"เอฟรัวๆ แสนเอ็นดูแม่ค้าตัวจิ๋ว ""น้องพิมรี่เอย"" วัย 4 ขวบ ไลฟ์สดช่วยแม่ขายของ","  ""น้องพิมรี่เอย"" แม่ค้าวัย 4 ขวบ ช่วยแม่ไลฟ์สดขายสินค้า ทำยอดขายดีกว่าแม่อีก! และยังช่วยเลี้ยงด้วงสาคู หลังครอบครัวเจอวิกฤติโควิด-19",https://www.sanook.com/news/8449586/,28_09_2021
