title,summary,link,published
Binance เริ่มบล็อคไม่ให้ประชาชนสิงคโปร์ฝากเงินเข้าเว็บแล้ว,"เว็บกระดานเทรด cryptocurrency ยักใหญ่ระดับโลกได้ประกาศข้อจำกัดเพิ่มเติมในการดำเนินกิจกรรมทางการเงินในสิงคโปร์เมื่อวันจันทร์ช่วงเย็นที่ผ่านมา โดยผู้ใช้งาน Binance ในสิงคโปร์จะถูกจำกัดการเข้าถึงฟังก์ชันบางอย่างบนเว็บไซต์ ผู้ใช้งาน Binance ในสิงคโปร์จะไม่สามารถเข้าถึงเงินฝาก fiat, crypto spot trading, liquid swap และการซื้อ crypto ผ่านช่องทาง fiat บนเว็บกระดานเทรดได้อีกต่อไป “เราจะจำกัดผู้ใช้ในสิงคโปร์ในส่วนที่เกี่ยวกับบริการการชำระเงินที่มีการควบคุมซึ่งสอดคล้องกับกฎระเบียบของเราที่จะต้องปฏิบัติตาม” ตามคำสั่งใหม่ ผู้ใช้ Binance ในสิงคโปร์ ได้รับการกระตุ้นให้หยุดกิจกรรมที่เกี่ยวข้องกับคริปโทเคอร์เรนซี่ทั้งหมดที่ได้รับผลกระทบจากการประกาศ และให้ถอนการถือครอง fiat และ crypto เพื่อปฎิบัติตามกฎระเบียบอย่างเคร่งครัด อย่างไรก็ตามเว็บกระดานเทรด crypto ยักษ์ใหญ่ระดับโลกได้ปิดกั้นการซื้อขาย crypto สกุลเงินดอลลาร์สิงคโปร์ตามคำเตือนจาก Monetary Authority of Singapore ว่าแพลตฟอร์มดังกล่าวละเมิดกฎหมายการชำระเงินในประเทศ ซึ่งการกระทำที่คล้ายกันนอกจากนี้ยังได้รับการดำเนินการในเกาหลีใต้กลับมาในเดือนสิงหาคมกับแพลตฟอร์มการซื้อขายสกุลเงินวอนของเกาหลี Binance ยังบล็อกผู้ใช้ในสิงคโปร์ไม่ให้ดาวน์โหลดแพลตฟอร์มมือถือจากร้านแอป Google และ Apple อีกด้วย ทั้งนี้ Binance ได้ตรวจสอบกฎระเบียบที่สำคัญในหลายเขตอำนาจศาลทั่วโลก ด้วยเหตุนี้การแลกเปลี่ยนในบางประเทศจึงถูกบังคับให้ยุติการให้บริการ ท้ายที่สุด Changpeng Zhao CEO ของ Binance ได้กล่าวความตั้งใจของบริษัทเพื่อให้สอดคล้องกับความต้องการของหน่วยงานกำกับดูแลในขณะที่ยังประกาศแผนสำหรับ Binance.US ซึ่งเป็นเว็บกระดานเทรดของอเมริกาที่จะเปิดให้บริการในปี 2024",https://siamblockchain.com/2021/09/27/binance-starts-blocking-singapore-citizens-from-depositing-money/,28_09_2021
ข้อมูลเผย 1 ใน 3 ของอุปทานเหรียญ Ethereum ถูกโอนออกจากเว็บเทรดภายในปีเดียว,"จากข้อมูลที่เผยแพร่โดย Santiment พบว่า 1 ใน 3 ของอุปทานเหรียญ Ethereum ทั้งหมดถูกโอนย้ายออกจากกระดานแลกเปลี่ยนไปยังกระเป๋าเงินส่วนตัว โดยอุปทานหมุนเวียนเหรียญได้ลดลงจาก 24% เหลือเพียง 16% คิดเป็นตัวเลขที่ลดลงกว่า 8% ภายในปีเดียว สาเหตุของการเกิดแนวโน้มดังกล่าวนั้นอาจเป็นผลมาจากการอัปเดตเครือข่าย Ethereum 2.0 และราคาของเหรียญที่ปรับตัวเพิ่มขึ้นอย่างมหาศาลในช่วงปีที่ผ่านมา โดยราคาของเหรียญนั้นได้เห็นมูลค่าที่เพิ่มขึ้นกว่า 1,000% นับตั้งแต่เดือนกันยายน 2020  ปกติแล้วผู้ใช้ Crypto มักจะทำการพาเคลื่อนย้ายเงินของพวกเขาออกเว็บเทรด เมื่อไม่มีแผนที่จะใช้งาน หรือเก็บไว้ในกระเป๋า cold wallet เพื่อ HODL เหรียญไว้ในระยะยาว กลับกันเมื่อเหรียญนั้นถูกโอนเข้าไปสู่เว็บกระดานเทรด มันก็มักเป็นแรงกดดันในด้านการเทขาย ในขณะที่กระแสไหลออกของเหรียญจากเว็บเทรดบ่งบอกว่านักลงทุนกำลังต้องการเลือกที่จะถือครองเหรียญด้วยตนเอง อย่างไรก็ตามในกรณีของ Ethereum นักลงทุนจำนวนมากสามารถย้ายเงินทุนออกจากเว็บเทรดเพื่อเปลี่ยนไปใช้แอปพลิเคชันการเงินแบบกระจายอำนาจ ( DeFi) บนระบบนิเวศของเครือข่าย ซึ่งรวมถึงแอปพลิเคชันการให้กู้ยืม, เว็บเทรดแบบ decentralized, การซื้อขายสัญญาซื้อขายล่วงหน้า และอื่น ๆ ตามข้อมูลของ Defi pulse มูลค่ารวมที่ถูกล็อกไว้ในอุตสาหกรรม DeFi ทั้งหมดปัจจุบันอยู่ที่ 8.5 หมื่นล้านดอลลาร์ โดยทำจุดสูงสุดตลอดกาลอยู่ที่ 9.5 พันล้านดอลลาร์ในวันที่ 6 กันยายน ซึ่งบ่งชี้แล้วว่านักลงทุน Ethereum ชื่นชอบการถือสินทรัพย์ในกระเป๋าส่วนตัวหรือสัญญา Smart contract มากกว่าเก็บไว้บนเว็บเทรดแบบรวมศูนย์",https://siamblockchain.com/2021/09/27/13-of-ethereum-supply-has-been-moved-out-of-exchanges-in-span-of-one-year/,28_09_2021
CEO ของ JPMorgan กล่าวแซะว่าราคา Bitcoin จะไปไม่ถึง 10 เท่าในอีก 5 ปีข้างหน้า,ในการสัมภาษณ์ครั้งใหม่ของ Jamie Dimon CEO ของ JPMorgan กับ Times of India ยังคงเล่าถึงประวัติศาสตร์การวิพากษ์วิจารณ์ Bitcoin ของเขา โดยมีประโยคเด็ดที่ว่า “ผมคิดว่าถ้าคุณยืมเงินเพื่อซื้อบิตคอยน์คุณเป็นคนโง่” Dimon CEO มหาเศรษฐีได้มีท่าทีไม่ยอมรับบิตคอยน์อย่างยิ่งนับตั้งแต่วันที่สินทรัพย์ดิจิทัลนี้เปิดตัวครั้งแรก  โดยส่วนใหญ่เลือกที่จะเพิกเฉยต่อการขึ้นราคาและความต้องการจากลูกค้าของเขาเอง ซึ่งเขายังกล่าวว่า “ผมไม่สนใจบิตคอยน์จริง ๆ” และอธิบายต่อว่าเขารู้เรื่องคริปโทเคอร์เรนซี่เพียงเล็กน้อยเท่านั้น Dimon กล่าวว่า ผมไม่รู้ว่ามันเป็นสินทรัพย์หรือไม่ ไม่รู้ว่าเป็นเงินตราต่างประเทศหรือเปล่า ผมไม่รู้ว่ามันเป็นสกุลเงินหรือเปล่า อย่างไรก็ตามเขายังแนะนำว่ากฎระเบียบจะจำกัดบิตคอยน์แต่ไม่ว่าจะกำจัดมันออกไปหรือไม่ ผมไม่รู้และไม่สนใจเป็นการส่วนตัว ผมไม่ใช่ผู้ซื้อบิตคอยน์ อีกทั้งเขาได้ยังแสดงความคิดเห็นเพิ่มเติมว่าราคาจะไปไม่ถึง 10 เท่าในอีกห้าปีข้างหน้า ทั้งนี้มีสัญญาณบ่งชี้ว่าจุดยืนของเขาอ่อนลงเกี่ยวกับ Bitcoin โดยเฉพาะอย่างยิ่งเมื่อกองทุนที่ดำเนินการโดยธนาคารของเขาเริ่มจัดสรรเงินทุนให้กับตลาด แต่จากความคิดเห็นที่ปฏิเสธหลายครั้งของเขานั้นชัดเจนแล้วว่า Dimon ไม่ได้สนใจบิตคอยน์เป็นการส่วนตัว “ผมเรียนรู้มานานแล้ว คิดให้ออกว่าคุณต้องการอะไร ทำในสิ่งที่คุณต้องการ และประสบความสำเร็จด้วยตัวคุณเอง” Dimon ยังให้ความเห็นเกี่ยวกับเศรษฐกิจหลังจากการล็อกดาวน์ของรัฐบาลทั่วโลก โดยอ้างว่าบิตคอยน์ได้รับประโยชน์จากฟองสบู่สินทรัพย์ที่ใหญ่ขึ้นในเศรษฐกิจโลกจากเหตุการณ์โรคระบาด ซึ่งจากสถิติที่ผ่านมาจะเห็นว่าการแลกเปลี่ยนซื้อขายบิตคอยน์ในวันนี้สูงกว่าช่วงก่อนโควิดมากถึง 20% แม้ว่าท้ายที่สุดผู้บริหารของ JPMorgan มองเห็นศักยภาพของบิตคอยน์ควบคู่ไปกับความต้องการที่เพิ่มขึ้นจากลูกค้าของพวกเขา ทำให้ในเดือนสิงหาคม JPMorgan Chase ประกาศได้ร่วมมือกับ New York Digital Investment Group ซึ่งเป็นแพลตฟอร์มระดับสถาบันที่เน้นบิตคอยน์เพื่อเสนอกองทุนบิตคอยน์ อย่างไรก็ตามเมื่อปลายเดือนสิงหาคม ทั้ง Wells Fargo และ JPMorgan ได้ยื่นขอกองทุน Bitcoin แบบพาสซีฟสำหรับลูกค้าที่ร่ำรวยของพวกเขาเช่นกัน ซึ่งบ่งชี้ว่าแม้จะมีความกังวลของ Dimon ก็ตาม แต่ภาคการธนาคารก็ตอบสนองต่อความต้องการบิตคอยน์ที่เพิ่มขึ้น,https://siamblockchain.com/2021/09/27/jpmorgan-ceo-says-bitcoin-price-will-less-than-10-times-in-next-5-years/,28_09_2021
นี่แค่เพิ่งเริ่ม! สงคราม Cryptocurrency ระหว่างสหรัฐฯ และจีนกำลังเริ่มต้น,"วาระการต่อต้าน cryptocurrency ภายในประเทศโดยรัฐบาลจีนยังคงไม่สิ้นสุดลงอย่างง่ายดาย แต่ไม่ได้หมายความว่าจีนตั้งตารอที่จะฆ่าอุตสาหกรรมคริปโทเคอร์เรนซี่นี้ทิ้งไป แต่แทนที่ด้วยความพยายามที่จะพัฒนาอุตสาหกรรมนี้อย่างรวดเร็วเพื่อให้สามารถแข่งขันกับสหรัฐอเมริกาได้อย่างสูสี หลังจากเกิดข้อจำกัดมากมายในการดำเนินกิจกรรมทางการเงินและธุรกรรมสกุลเงินดิจิทัลภายในประเทศ ทำให้จีนได้เข้าร่วมรายชื่อประเทศที่ไม่พอใจเกี่ยวกับธุรกรรม crypto สำหรับพลเมืองของตนเป็นที่เรียบร้อย แต่อย่างไรก็ตามยังมีประเทศเอลซัลวาดอร์ที่ทำให้ Bitcoin เป็นเงินที่ถูกต้องตามกฎหมาย ในอีกด้านหนึ่งของโลก สหรัฐอเมริกากำลังมองเห็นโอกาสมากขึ้นหลังจากการแบน Bitcoin ของจีน การดำเนินการล่าสุดของ ก.ล.ต. เป็นคำแถลงเกี่ยวกับแผนการของผู้กำกับดูแลในการควบคุมอุตสาหกรรม อย่างน้อยก็ไม่ได้มุ่งเป้าไปที่การจำกัดการใช้งานของ crypto ที่เป็นเครื่องมือในการชำระเงิน หลังจากราคาบิตคอยน์พุ่งขึ้นกว่า 1,600% สถาบันการเงินในสหรัฐอเมริกาเริ่มดูแลอุตสาหกรรมสินทรัพย์ดิจิทัลมากขึ้นและดึงดูดลูกค้าให้เข้ามา น่าจะเป็นสาเหตุของการดำเนินกิจกรรมที่เพิ่มขึ้นโดยหน่วยงานกำกับดูแล ซึ่งนักลงทุนสถาบันจำนวนมากขึ้นจะสามารถเข้าสู่ตลาดมูลค่า 2 ล้านล้านดอลลาร์และรู้สึกปลอดภัยในตลาดนี้ การสนับสนุนจากนักลงทุนสถาบันในสหรัฐอเมริกา ดูเหมือนจะไม่สำคัญเท่าการต่อต้านของตลาดจีนที่ส่งผลให้ตลาดแย่ลงหลังจากการห้ามทำเหมือง cryptocurrency ในหลายพื้นที่ แม้ว่าที่ผ่านมาตลาดคริปโทเคอร์เรนซี่จะค่อนข้างสงบและมันฟื้นตัวในเวลาไม่นานหลังจากที่ลดลง 15% อย่างไรก็ตามประเทศจีนไม่ได้ต้องการต่อสู้กับ Bitcoin แต่กำลังพยายามส่งเสริมวิธีการชำระเงินดิจิทัลของตนเอง เมื่อไม่มีการแข่งขันในตลาดจะทำให้หยวนดิจิทัลจะเป็นเครื่องมือเดียวสำหรับการชำระเงินในประเทศ ทำให้อุตสาหกรรมสินทรัพย์ดิจิทัลทั้งหมดอยู่ภายใต้การควบคุมของธนาคารประชาชนแห่งประเทศจีน",https://siamblockchain.com/2021/09/27/this-is-just-the-beginning-cryptocurrency-war-between-the-us-and-china-is-starting/,28_09_2021
เว็บเทรดคริปโต Bitfinex จ่ายค่าธรรมเนียม 796 ล้านบาทเพื่อทำธุรกรรม Ethereum ธุรกรรมเดียว,"เมื่อประมาณสี่ชั่วโมงที่แล้ว Bitfinex กระดานเทรด crypto เพิ่งจ่ายค่าธรรมเนียมในการทำธุรกรรมกว่า 23.7 ล้านดอลลาร์เพื่อส่ง Tether (USDT) จำนวน 100,000 ดอลลาร์ ไปยังกระเป๋าเงินของ Deversifi  บันทึกการทำธุรกรรมของ Etherscan ได้ตรวจพบธุรกรรมจากกระเป๋าหลักแห่งหนึ่งของ Bitfinex ก่อนจะถูกส่งต่อและสิ้นสุดที่กระเป๋าเงินของ Deversifi ซึ่งเป็น non-custodial exchange ที่ออกจาก Bitfinex ตั้งแต่ปี 2019 “เมื่อเวลา 18:10 UTC+7 ในวันที่ 27 กันยายน มีการทำธุรกรรมฝากเงินโดยใช้กระเป๋าเงินดิจิทัลจากผู้ใช้หลักของ DeversiFi โดยมีค่าธรรมเนียมก๊าซที่สูงอย่างผิดปกติ” โฆษกของ DeversiFi กล่าว “ขณะนี้ DeversiFi กำลังตรวจสอบสาเหตุเพื่อพิจารณาว่าสิ่งนี้เกิดขึ้นได้อย่างไรและจะแจ้งให้คุณทราบ ไม่มีเงินทุนของลูกค้าใน DeversiFi ที่มีความเสี่ยง และนี่เป็นปัญหาภายในสำหรับ DeversiFi กำลังดำเนินการแก้ไขและไม่ได้รับผลกระทบกับการดำเนินการอย่างแน่อนน” พวกเขากล่าวเสริม ความผิดพลาดของธุรกรรมนี้เป็นอาจจะเป็นข้อผิดพลาดของของสัญญาที่ชาญฉลาดกับจำนวนเงินที่ส่งไปยังกระเป๋าเงินหนึ่งก่อนที่จะถูกส่งไปยังกระเป๋าเงินของ Deversifi ใช้ธุรกรรมประเภท EIP-1559 ซึ่งออกแบบมาเพื่อลดค่าธรรมเนียม Ethereum  ธุรกรรมนี้รวมอยู่ในบล็อกที่ขุดโดยผู้ ขุด Ethereum ซึ่งติดอันดับหนึ่งในสิบอันดับแรกของนักขุดโดยบล็อกที่ขุดได้ในช่วงเจ็ดวันที่ผ่านมา ทั้งนี้นี่อาจเป็นค่าธรรมเนียมการทำธุรกรรม Ethereum ที่ใหญ่ที่สุดเท่าที่เคยจ่ายเป็นดอลลาร์ เหตุการณ์สำคัญ ก่อนหน้านี้รวมถึงธุรกรรมสองรายการที่เกิดขึ้นในเดือนมิถุนายน 2020 ซึ่งรวมค่าธรรมเนียมสูงถึง 5.2 ล้านดอลลาร์",https://siamblockchain.com/2021/09/27/crypto-exchange-bitfinex-pays-a-fee-of-796-million-baht-for-a-single-ethereum-transaction/,28_09_2021
ข้อมูลชี้การร่วงลงของ Bitcoin ได้จุดประกายความสนใจคริปโตในหมู่นักลงทุนรายย่อย,"เมื่อไม่นานมานี้ราคา Bitcoin ได้เผชิญการปรับฐานราคาครั้งใหญ่ ส่งผลทำให้ราคาของเหรียญร่วงแตะจุดต่ำสุดที่ระดับ 40,000 ดอลลาร์อีกครั้ง อย่างไรข้อมูลบนเครือข่ายกลับแสดงให้เห็นว่า การปรับฐานราคาล่าสุดนี้อาจเป็นผลดีต่อตลาดคริปโต เนื่องจากนักลงทุนรายย่อยส่วนใหญ่มองว่าเป็นโอกาสที่ดีในการลงทุน กระเป๋าเงินที่ถือครองเหรียญมากกว่า 0.1 BTC เติบโตเพิ่มขึ้น ปกติแล้วการปรับฐานราคาคร้งใหญ่มักจะนำมาซึ่งการแห่เทขายเหรียญในตลาด  แต่ในกรณีนี้ดูเหมือนว่าจะเกิดขึ้นในลักษณะที่ตรงกันข้าม เนื่องจากนักลงทุนที่ถือครองเหรียญ Bitcoin ไว้มากกว่า 0.1 BTC ขึ้นไปหรือคิดเป็นมูลค่าประมาณ  4,300 ดอลลาร์ กลับเติบโตเพิ่มขึ้นสวนทางกับการปรับฐานราคาของตลาด  ตามข้อมูลจาก Glassnode ชี้ให้เห็นว่า กระเป๋าเงิน bitcoin ที่มีการถือครองมากกว่า 0.1 BTC ขึ้นไปกำลังเติบโตเพิ่มขึ้นต่อเนื่องแตะจุดสูงสุดในรอบ 4 เดือน ท่ามกลางราคาที่ร่วงลดลงสวนทาง โดยปัจจุบันกระเป๋าเงินที่ถือครองไว้มากกว่า 0.1 BTC พุ่งขึ้นแตะระดับ 3.25 ล้าน Address บ่งชี้ให้เห็นว่าการร่วงลงของราคาในปัจจุบันได้จุดประกายความสนใจการในลงทุนคริปโตให้กับนักเทรดหน้าใหม่",https://siamblockchain.com/2021/09/28/declining-bitcoin-prices-triggers-renewed-interest-as-number-of-small-time-investors-grow-2/,28_09_2021
CoinGecko และ CoinMarketCap ถูกบล็อกโดย Firewall อินเทอร์เน็ตของจีนแล้ว,เว็บไซต์ดูข้อมูลตลาด Crypto ชั้นนำสองแห่งถูกบล็อกโดย Firewall อินเทอร์เน็ตของจีนแล้ว นั้นหมายความชาวจีนจะไม่สามารถเข้าถึงเว็บไซต์ดังกล่าวไปอีกต่อไป อ้างอิงจากผลการทดสอบที่ดำเนินการโดย The Block พบว่าผลการค้นหา CoinGecko และ Coinmarketcap บน Greatfire.org ซึ่งเป็นเครื่องมือออนไลน์สำหรับตรวจสอบเว็บไซต์ที่ถูกบล็อกโดย Great Firewall ของจีน แสดงให้เห็นว่าทั้งสองไซต์ถูกบล็อกอย่างเป็นทางการแล้ว ในขณะที่เขียนรายงาน อย่างไรก็ตามยังไม่ชัดเจนว่าเว็บไซต์ CoinGecko และ CoinMarketCap นั้นเริ่มถูกบล็อกการเข้าถึงเมื่อใด แต่ผู้ใช้เริ่มสังเกตเห็นความผิดปกติบนเว็บไซต์ดังกล่าวในช่วงเช้าของวันอังคารตามเวลาประเทศจีน ทั้งนี้ดูเหมือนว่าเว็บไซต์ข้อมูลจะไม่ได้ปิดกั้นการเข้าถึง IP ของจีน แต่เป็นการดำเนินการในขั้นต้นโดยหน่วยงานเซ็นเซอร์อินเทอร์เน็ตของจีน “เท่าที่เราทราบ เราไม่ได้ถูกบล็อกในเชิงรุกทั้งหมด” นาย TM Lee ผู้ร่วมก่อตั้ง CoinGecko กล่าวให้สัมภาษณ์กับ The Block  การเคลื่อนไหวดังกล่าวเกิดขึ้น ท่ามกลางการปรามปราบกิจกรรมที่เกี่ยวข้องกับคริปโตของรัฐบาลจีนในประเทศ ที่กำลังทวีความรุนแรงมากขึ้นต่อเนื่อง  อย่างไรก็ตามผู้ใช้ชาวจีนยังคงสามารถเข้าถึงเว็บไซต์ทั้งสองได้ ผ่านเครือข่ายส่วนตัวแบบจำลอง (VPN) เพื่อเลี่ยงไฟร์วอลล์ของรัฐบาล,https://siamblockchain.com/2021/09/28/declining-bitcoin-prices-triggers-renewed-interest-as-number-of-small-time-investors-grow/,28_09_2021
รายงานเผยนักลงทุนสถาบันกำลังแห่เก็บของเพิ่ม ท่ามกลางข่าว Fud ของจีน,"นักลงทุนสถาบันกำลังใช้ “กลยุทธ์เก็บของเพิ่ม เมื่อตลาดย่อตัว” ท่ามกลางข่าว FUD ล่าสุดของจีน ซึ่งเห็นได้จากกระแสเงินไหลเข้าผลิตภัณฑ์การลงทุนสินทรัพย์ดิจิทัลที่เพิ่มขึ้นกว่า 95 ล้านดอลลาร์ในช่วงสัปดาห์ที่ผ่านมา ตามรายงานของ CoinShares ที่เผยแพร่ในวันที่ 27 กันยายนที่ผ่านมาระบุว่า “กลยุทธ์เข้าซื้อเมื่อตลาดย่อ” ได้ช่วยหนุนให้เกิดกระแสเงินไหลเข้าผลิตภัณฑ์การลงทุนคริปโตของสถาบันเป็นสัปดาห์ที่ 6 ติดต่อกัน กระแสเงินไหลเข้ามูลค่า 95 ล้านดอลลาร์ในช่วงระหว่างวันที่ 20 กันยายนถึง 24 กันยายน ส่งผลทำให้กระแสเงินไหลเข้ารายสัปดาห์เพิ่มขึ้นกว่า 126% โดยมี Bitcoin และ Ethereum เป็นผู้นำในแง่ผลิตภัณฑ์การลงทุนที่มีกระแสเงินไหลเข้ามากที่สุดเป็นมูลค่ากว่า 50.2 ล้านดอลลาร์และ 28.9 ล้านดอลลาร์ตามลำดับ แม้ว่าผลิตภัณฑ์การลงทุน Bitcoin จะได้เห็นกระแสเงินไหลออกในช่วงหลายสัปดาห์ที่ผ่านมา แต่ความรู้สึกเชิงบวกต่อสินทรัพย์คิรปโตเริ่มได้เห็นการกลับตัวอีกครั้งในสัปดาห์นี้ โดยกระแสเงินไหลเข้าในผลิตภัณฑ์การลงทุน Bitcoin ยังคงเพิ่มสูงขึ้นกว่า 234% เมื่อเทียบกันแบบรายสัปดาห์ เช่นเดียวกับความต้องการในเหรียญ Altcoins ของสถาบันที่ยังคงแข็งแกร่ง โดยผลิตภัณฑ์ติดตามราคาของ Solana (SOL), Cardano (ADA) และ Polkadot (DOT) ได้เห็นกระแสเงินไหลเข้ามูลค่า 3.9 ล้านดอลลาร์ 2.6 ล้านดอลลาร์ และ 2.4 ล้านดอลลาร์ตามลำดับ ในช่วงสัปดาห์ที่ผ่านมา จากที่กล่าวมาข้างต้นเห็นได้ชัดว่า นักลงทุนสถาบันยังคงแห่เข้ามาตลาดคริปโตมากขึ้นเรื่อย ๆ ท่ามกลางข่าวปราบปรามกิจกรรมคริปโตของจีน ที่ส่งผลให้ตลาดคริปโตมีปรับฐานราคาครั้งใหญ่",https://siamblockchain.com/2021/09/28/institutional-investors-bought-the-dip-as-china-fud-broke/,28_09_2021
ยักษ์ใหญ่ด้านอีคอมเมิร์ซของจีน Alibaba ประกาศเตรียมหยุดให้ขายเครื่องขุด Bitcoin เริ่มเดือนหน้า,"Alibaba ยักษ์ใหญ่ด้านอีคอมเมิร์ซของจีนประกาศเมื่อวันจันทร์ที่ผ่านมาว่า นับตั้งแต่วันที่ 8 ตุลาคมเป็นต้นไป บริษัทจะหยุดให้บริการซื้อขายเครื่องขุด cryptocurrency บนแพลตฟอร์มของตน การเคลื่อนไหวล่าสุดนี้ ดูเหมือนจะเกิดขึ้นท่ามกลางการปราบปรามกิจกรรมที่เกี่ยวข้อง cryptocurrency ของธนาคารกลางจีนและหน่วยงานกำกับดูแลอื่น ๆ ในประเทศ ตามประกาศ Alibaba กล่าวชี้แจงว่า : “หลังจากที่ได้ประเมินอย่างละเอียด โดยคำนึงถึงความไม่แน่นอนของกฎหมายและกฎเกณฑ์ข้อบังคับเกี่ยวกับสกุลเงินเสมือนและผลิตภัณฑ์ที่เกี่ยวข้องในตลาดต่างประเทศ Alibaba.com จะสั่งห้ามการขายเครื่องขุดสกุลคริปโตเช่น Bitcoin, Litecoin, BeaoCoin, QuarkCoin และ Ethereum รวมถึง 1) ฮาร์ดแวร์และซอฟต์แวร์ที่ใช้ในการรับสกุลเงินคริปโต เช่น Bitcoin miners 2) บทความช่วยสอน กลยุทธ์การซื้อขาย และซอฟต์แวร์สำหรับการรับคริปโตต่าง ๆ ” นอกจากนี้ Alibaba ยังกล่าวเสริมด้วยว่า แพลตฟอร์มจะทำการปิดหมวดหมู่ตลาดมือสองที่เกี่ยวข้องกับเครื่องขุดทั้งหมดอีกด้วย การปราบปรามกิจกรรมคริปโตของจีน เริ่มทวีความรุนแรงมากขึ้นเรื่อย ๆ  ในช่วงไม่กี่เดือนที่ผ่านมา โดยก่อนหน้านี้การปราบปรามการขุดคริปโตในจีนได้ส่งผลให้บริษัทเหมืองขุดคริปโตหลายแห่งต้องพากันอพยพออกนอกประเทศ และมุ่งหน้าไปซบประเทศที่เป็นมิตรกับการขุดคริปโตมากกว่า เช่น สหรัฐฯ และเอลซัลวาดอร์",https://siamblockchain.com/2021/09/28/alibaba-says-it-will-block-sales-of-cryptocurrency-mining-equipment-starting-next-month/,28_09_2021
นักพัฒนา Ethereum กล่าวสารภาพผิดในข้อหาละเมิดกฎหมายการคว่ำบาตรเกาหลีเหนือในปี 2019,Virgil Griffith นักพัฒนา Ethereum ที่ถูกกล่าวหาว่าละเมิดกฎหมายคว่ำบาตรของเกาหลีเหนือ ในปี 2019 ได้กล่าวสารภาพผิดในข้อตกลงกับอัยการกลางสหรัฐฯ เมื่อวันจันทร์ที่ผ่านมา Griffith กล่าวสารภาพว่าเขาได้มีการสมรู้ร่วมคิดเพื่อละเมิดกฎหมาย International Emergency Economic Powers Act ในวันจันทร์ที่ศาลนิวยอร์ก และด้วยข้อหานี้ Griffith จะต้องได้รับโทษจำคุกอยู่ที่ระหว่าง 63 ถึง 78 เดือน นับตั้งแต่เดือนมกราคม 2022 เป็นต้นไป ย้อนกลับไปในปี 2019 Griffith ถูกจับในเดือนพฤศจิกายน ภายหลังจากที่เขาได้นำเสนอเรื่องราวเกี่ยวกับ cryptocurrency และ blockchain ในที่ประชุม Cryptocurrency ของเกาหลีเหนือเมื่อเดือนเมษายนของปีนั้น Griffith ได้รับการประกันตัวครั้งแรกในปี 2020 ก่อนที่ภายหลังเขาจะถูกจับกุมในข้อหาพยายามละเมิดเงื่อนไขการประกันตัวของเขาเอง เนื่องจาก Griffith ได้พยายามเข้าถึงการถือครองสินทรัพย์คริปโตใน Coinbase ในเดือนกรกฏาคม เพื่อนำเงินมาจ่ายให้กับทนายความ ซึ่งอัยการมองว่า นี่ถือเป็นการละเมิดเงื่อนไขในข้อตกลง เงื่อนไขการประกันตัวของเขาระบุว่าเขาไม่ได้รับอนุญาตให้เข้าถึงบัญชี cryptocurrency ใด ๆ ของเขาในขณะที่เขาถูกกักบริเวณในบ้านในอลาบามา อย่างไรก็ตามทนายความของ Griffith กล่าวแย้งในช่วงเวลานั้นว่า การเข้าสู่ระบบของเว็บเทรด Coinbase นั้นเป็น “การเข้าใจผิด” แต่การแย้งกลับไม่เป็นผล หลังจากรับสารภาพผิดในวันจันทร์ ทนายความของ Griffith ก็ได้เรียกขอให้เขาย้ายจากออกจากเรือนจำ Metropolitan Correctional Center ไปยัง Essex County Correctional Facility ในเมือง Newark รัฐนิวเจอร์ซีย์แทน โดยอ้างว่าเรือนจำที่ MCC นั้นขึ้นชื่อว่าป่าเถื่อนและเป็นอันตรายต่อผู้ต้องขัง,https://siamblockchain.com/2021/09/28/ethereum-developer-virgil-griffith-pleads-guilty-to-conspiracy-charge-in-north-korea-sanctions-case/,28_09_2021
