title,summary,link,published
อังกฤษกำลังเผชิญปัญหาน้ำมันในสถานีบริการกว่าร้อยละ 90 ไม่มีเหลือจำหน่าย ส่วนหนึ่งมาจากชาวอังกฤษกักตุน และพนักงานขนส่งเชื้อเพลิง ผู้นำอังกฤษเตรียมจะใช้ทหารออกมาช่วยขนส่งน้ำมัน,อังกฤษกำลังเผชิญปัญหาน้ำมันในสถานีบริการกว่าร้อยละ 90 ไม่มีเหลือจำหน่าย ส่วนหนึ่งมาจากชาวอังกฤษกักตุน และพนักงานขนส่งเชื้อเพลิง ผู้นำอังกฤษเตรียมจะใช้ทหารออกมาช่วยขนส่งน้ำมัน,http://news.thaipbs.or.th/breakingnews,28_09_2021
กรมอุทยานฯ เก็บ DNA ตัวอย่างไม้ของกลาง 71 ตัวอย่างใน 12 คดีพื้นที่ จ.เชียงใหม่ ส่งห้องปฎิบัติการสำนักวิจัยการอนุรักษ์ป่าไม้และพันธุ์พืช เพื่อต่อจิกซอว์คดีลอบตัดไม้ประดู่ และไม้แดงจากเขตห้ามล่าสัตว์ป่านันทบุรี,กรมอุทยานฯ เก็บ DNA ตัวอย่างไม้ของกลาง 71 ตัวอย่างใน 12 คดีพื้นที่ จ.เชียงใหม่ ส่งห้องปฎิบัติการสำนักวิจัยการอนุรักษ์ป่าไม้และพันธุ์พืช เพื่อต่อจิกซอว์คดีลอบตัดไม้ประดู่ และไม้แดงจากเขตห้ามล่าสัตว์ป่านันทบุรี,http://news.thaipbs.or.th/breakingnews,28_09_2021
"วันนี้จำนวนผู้ติดเชื้อโควิด-19 รายใหม่ มีจำนวนลดลงมาที่ 9,489 คน ซึ่งถือเป็นตัวเลขลดลงต่ำกว่า 10,000 คน ในรอบ 1 เดือนที่ผ่านมา ขณะที่ยอดผู้เสียชีวิตคงที่กว่า 100 คน","วันนี้จำนวนผู้ติดเชื้อโควิด-19 รายใหม่ มีจำนวนลดลงมาที่ 9,489 คน ซึ่งถือเป็นตัวเลขลดลงต่ำกว่า 10,000 คน ในรอบ 1 เดือนที่ผ่านมา ขณะที่ยอดผู้เสียชีวิตคงที่กว่า 100 คน",http://news.thaipbs.or.th/breakingnews,28_09_2021
"พญาเสือ” จับคนขับรถทัวร์ค้าสัตว์ป่าคุ้มครอง ""นากเล็กเล็บสั้น” แอบขนส่งจากสายใต้เข้ากทม.ส่งลูกค้า เตือนผู้ประกอบการรถทัวร์กวดขัน อาจตกเป็นเครื่องมือขบวนการค้าสัตว์ป่า","พญาเสือ” จับคนขับรถทัวร์ค้าสัตว์ป่าคุ้มครอง ""นากเล็กเล็บสั้น” แอบขนส่งจากสายใต้เข้ากทม.ส่งลูกค้า เตือนผู้ประกอบการรถทัวร์กวดขัน อาจตกเป็นเครื่องมือขบวนการค้าสัตว์ป่า",http://news.thaipbs.or.th/breakingnews,28_09_2021
"แอดมินเพจ ข่าวสํานักงานรัฐมนตรี ศธ. ชี้แจงปมโซเชียลวิจารณ์ภาพ ""กนกวรรณ วิลาวัลย์"" รมช.ศึกษาธิการ คล้ายภาพตัดต่อ ระบุ เป็นแฟ้มภาพปี 2563","แอดมินเพจ ข่าวสํานักงานรัฐมนตรี ศธ. ชี้แจงปมโซเชียลวิจารณ์ภาพ ""กนกวรรณ วิลาวัลย์"" รมช.ศึกษาธิการ คล้ายภาพตัดต่อ ระบุ เป็นแฟ้มภาพปี 2563",http://news.thaipbs.or.th/breakingnews,28_09_2021
วันนี้ (28 ก.ย.64) เมื่อเวลา 04.39 น. กองเฝ้าระวังแผ่นดินไหว รายงาน เหตุแผ่นดินไหว รุนแรง 3.2 ลึก 6 กิโลเมตร บริเวณ ต.เขาโจด อ.ศรีสวัสดิ์ จ.กาญจนบุรี,วันนี้ (28 ก.ย.64) เมื่อเวลา 04.39 น. กองเฝ้าระวังแผ่นดินไหว รายงาน เหตุแผ่นดินไหว รุนแรง 3.2 ลึก 6 กิโลเมตร บริเวณ ต.เขาโจด อ.ศรีสวัสดิ์ จ.กาญจนบุรี,http://news.thaipbs.or.th/breakingnews,28_09_2021
เรือด่วนเจ้าพระยา แจ้งเปลี่ยนแปลงเวลาการให้บริการเรือโดยสาร ในวันจันทร์-ศุกร์ เริ่มตั้งแต่วันนี้ (28 ก.ย.64) เป็นต้นไป ทั้งนี้ วันเสาร์-อาทิตย์ และวันหยุดนักขัตฤกษ์ งดให้บริการเป็นการชั่วคราว,เรือด่วนเจ้าพระยา แจ้งเปลี่ยนแปลงเวลาการให้บริการเรือโดยสาร ในวันจันทร์-ศุกร์ เริ่มตั้งแต่วันนี้ (28 ก.ย.64) เป็นต้นไป ทั้งนี้ วันเสาร์-อาทิตย์ และวันหยุดนักขัตฤกษ์ งดให้บริการเป็นการชั่วคราว,http://news.thaipbs.or.th/breakingnews,28_09_2021
กรมอุตุนิยมวิทยา รายงานเวลา 04.39 น.แผ่นดินไหวขนาด 3.2 จุดศูนย์กลางที่ต.เขาโจด อ.ศรีสวัสดิ์ จ.กาญจนบุรี ลึกจากผิวดิน 6 กม.,กรมอุตุนิยมวิทยา รายงานเวลา 04.39 น.แผ่นดินไหวขนาด 3.2 จุดศูนย์กลางที่ต.เขาโจด อ.ศรีสวัสดิ์ จ.กาญจนบุรี ลึกจากผิวดิน 6 กม.,http://news.thaipbs.or.th/breakingnews,28_09_2021
"""สาธิต"" ระบุวัคซีนไฟเซอร์ จำนวน 2 ล้านโดส ถึงไทยช่วง 28-29 ก.ย.นี้ เป้าหมายฉีดให้เด็กอายุ 12-17 ปีก่อนตรียมพร้อมสำหรับการเปิดเทอม มีเด็กลงทะเบียนแล้วกว่า 4.5 ล้านคน","""สาธิต"" ระบุวัคซีนไฟเซอร์ จำนวน 2 ล้านโดส ถึงไทยช่วง 28-29 ก.ย.นี้ เป้าหมายฉีดให้เด็กอายุ 12-17 ปีก่อนตรียมพร้อมสำหรับการเปิดเทอม มีเด็กลงทะเบียนแล้วกว่า 4.5 ล้านคน",http://news.thaipbs.or.th/breakingnews,28_09_2021
เว็บไซต์ราชกิจจานุเบกษา เผยแพร่ประกาศสำนักนายกรัฐมนตรี มีพระบรมราชโองการโปรดเกล้าโปรดกระหม่อมให้ พลอ.สุพจน์ มาลานิยม เป็นเลขาธิการสภาความมั่นคงแห่งชาติ ตั้งแต่วันที่ 1 ต.ค.นี้,เว็บไซต์ราชกิจจานุเบกษา เผยแพร่ประกาศสำนักนายกรัฐมนตรี มีพระบรมราชโองการโปรดเกล้าโปรดกระหม่อมให้ พลอ.สุพจน์ มาลานิยม เป็นเลขาธิการสภาความมั่นคงแห่งชาติ ตั้งแต่วันที่ 1 ต.ค.นี้,http://news.thaipbs.or.th/breakingnews,28_09_2021
