title,summary,link,published
น้ำป่าทะลักท่วม 2 หมู่บ้าน อ.แม่สะเรียง จ.แม่ฮ่องสอน,น้ำป่าทะลักลำห้วยแม่แต้ะน้อย อ.แม่สะเรียง จ.แม่ฮ่องสอน ท่วม 2 หมู่บ้านแถบชายแดน โรงเรียน บ้านเรือนราษฎร พื้นที่การเกษตร ได้รับความเสียหายเป็นบริเวณกว้าง อบต.แม่คง เร่งเข้าสำรวจความเสียหาย เพื่อให้การช่วยเหลือ,https://tna.mcot.net/region-788537,"Sun, 26 Sep 2021 12:45:34 +0000"
กลุ่มแนวร่วมธรรมศาสตร์ จัดกิจกรรมบริเวณหอศิลป์,กลุ่มแนวร่วมธรรมศาสตร์ จัดกิจกรรมชุมนุมบริเวณหอศิลป์ ศิลปวัฒนธรรมกรุงเทพฯ ตำรวจ สน.ปทุมวัน ดูแลความปลอดภัยโดยรอบ แกนนำประกาศจะยุติการชุมนุมเวลา 19.00 น.,https://tna.mcot.net/crime-788530,"Sun, 26 Sep 2021 10:58:59 +0000"
“ชวน” ลงพื้นที่ อ.เถิน จ.ลำปาง ให้กำลังใจผู้ประสบอุทกภัย,"""ชวน"" ประธานรัฐสภา ลงพื้นที่เยี่ยมให้กำลังผู้ประสบอุทกภัย อ.เถิน จ.ลำปาง พร้อมมอบถุงยังชีพและเงินสงเคราะห์ครอบครัว ด้านกำนัน ต.",https://tna.mcot.net/politics-788524,"Sun, 26 Sep 2021 10:52:36 +0000"
เกาหลีใต้ขอให้เกาหลีเหนือต่อสายด่วนอีกครั้ง,โซล 26 ก.ย.- เกาหลีใต้ขอให้เกาหลีเหนือต่อสายด่วนสื่อสาร [&#8230;],https://tna.mcot.net/world-788506,"Sun, 26 Sep 2021 09:56:48 +0000"
“ดีน เบร์ตา บีญาเลส” นักบิดดาวรุ่งชาวสเปน ประสบอุบัติเหตุเสียชีวิต,ดีน เบร์ตา บีญาเลส นักบิดดาวรุ่งชาวสเปน จากบีญาเลส เรซซิ่ง ทีม เสียชีวิตด้วยวัยเพียง 15 ปี หลังประสบอุบัติเหตุระหว่างแข่งขันศึกเวิลด์ ซูเปอร์ไบค์ รายการซูเปอร์สปอร์ต 300,https://tna.mcot.net/sport-788484,"Sun, 26 Sep 2021 09:31:46 +0000"
รัสเซียประท้วงผลเลือกตั้ง,ชาวรัสเซียชุมนุมที่จัตุรัสพุชกิน ประท้วงผลการเลือกตั้งทั่วไป โดยพรรคสหรัสเซีย ที่สนับสนุนรัฐบาลและภักดีต่อประธานาธิบดีวลาดิเมียร์ ปูติน ชนะเลือกตั้ง ได้เสียงข้างมากในสภาผู้แทนราษฎร,https://tna.mcot.net/world-788485,"Sun, 26 Sep 2021 09:29:29 +0000"
ทราบตัววัยรุ่นปาหินใส่รถที่ลำปาง,หนุ่มลำปางโพสต์คลิปตามล่าวัยรุ่นปาหินใส่รถ โชคดีแค่โดนหลังคา ไม่โดนกระจกหน้า ยืนยันไม่เคยมีเรื่องและไม่เคยรู้จักวัยรุ่นรายดังกล่าว ล่าสุดทราบตัวผู้ก่อเหตุแล้ว,https://tna.mcot.net/region-788483,"Sun, 26 Sep 2021 09:26:23 +0000"
คร.เฝ้าระวังไข้หวัดใหญ่ แนะ 7 กลุ่มเสี่ยงฉีดวัคซีนป้องกัน,กรมควบคุมโรค เฝ้าระวังโรคไข้หวัดใหญ่ เนื่องจากช่วงนี้มีฝนตกหลายพื้นที่ แนะ 7 กลุ่มเสี่ยง ฉีดวัคซีนป้องกัน ช่วยลดความรุนแรงของโรคและลดความเสี่ยงเสียชีวิตจากภาวะแทรกซ้อน,https://tna.mcot.net/social-788492,"Sun, 26 Sep 2021 09:26:00 +0000"
จับหนุ่มแทงอดีตภรรยาเจ็บ เหตุแบ่งสมบัติไม่ลงตัว,หนุ่มวัย 30 ปี คว้ามีดแทงอดีตภรรยาบาดเจ็บ สารภาพขอแบ่งสมบัติที่หามาด้วยกัน แต่ถูกอดีตภรรยาต่อว่าไม่เคยช่วยทำมาหากินแล้วมาขอแบ่งสมบัติจึงโมโห,https://tna.mcot.net/region-788420,"Sun, 26 Sep 2021 09:22:43 +0000"
อังกฤษวอนประชาชนอย่าแตกตื่นเติมน้ำมัน,ไบรท์ตัน 26 ก.ย.- ทางการอังกฤษวอนประชาชนเติมน้ำมันตามปก [&#8230;],https://tna.mcot.net/world-788494,"Sun, 26 Sep 2021 09:19:59 +0000"
“นิพนธ์” ลุยติดตามสถานการณ์น้ำเขื่อนบางลาง-เขื่อนปัตตานี,“นิพนธ์” ห่วงประชาชน 3 จังหวัดชายแดนใต้เดือดร้อน ลุยติดตามสถานการณ์น้ำเขื่อนบางลาง-เขื่อนปัตตานี เร่งเตรียมการภาคใต้เข้าฤดูมรสุม,https://tna.mcot.net/politics/line-today-politics-788449,"Sun, 26 Sep 2021 08:58:44 +0000"
เวียดนามเตรียมผ่อนคลายมาตรการจำกัดในเดือนนี้,ฮานอย 26 ก.ย.- นายกรัฐมนตรีฝ่าม มิงชิ้ง ของเวียดนามเผยเ [&#8230;],https://tna.mcot.net/world-788466,"Sun, 26 Sep 2021 08:48:10 +0000"
กทม.-ปริมณฑล เฝ้าระวังน้ำเจ้าพระยา,กรมชลประทาน เผยปริมาณน้ำในแม่น้ำเจ้าพระยาที่ไหลผ่าน กทม. และปริมณฑล ยังไม่ส่งผลกระทบกับพื้นที่ เนื่องจากยังสามารถรองรับน้ำได้ ขณะที่ชาวบ้านในพื้นที่ลุ่มต่ำริมแม่น้ำเจ้าพระยา ต่างเฝ้าระวัง และเป็นกังวล บางหลังถูกน้ำท่วมแล้ว,https://tna.mcot.net/business-788540,"Sun, 26 Sep 2021 13:34:34 +0000"
