title,summary,link,published
SSP เผยโรงไฟฟ้าพลังลม TTTV ในเวียดนามขนาด 48 MW เริ่ม COD แล้ว,บมจ.เสริมสร้าง พาวเวอร์ คอร์ปอเรชั่น (SSP) เปิดเผยว่า โครงการโรงไฟฟ้าพลังงานลมในประเทศเวียดนาม ซึ่งดำเนินงานโดย บริษัท Truong Thah Tra Vinh Wind Power Joint Stock Company (TTTV) ซึ่ง SSP ถือหุ้น 80% ได้เปิดดำเนินการเชิงพาณิชย์แล้ว โดยเริ่มขายไฟฟ้าในวันที่ 25 ต.ค.64 โครงการดังกล่าวตั้งอยู่ตอนใต้ของเวียดนาม ในจังหวัด Tra Vinh มีขนาดกำลังการผลิตติดตั้ง และกำลังการผลิตตามสัญญา รวม 48 แมกะวัตต์ โครงการทำสัญญาซื้อขายไฟฟ้ากับการไฟฟ้าเวียดนาม อายุสัญญา 20 ปี อัตรารับซื้อไฟฟ้า 9.80 เซนต์สหรัฐต่อกิโลวัตต์-ชั่วโมง โดย สำนักข่าวอินโฟเควสท์ (27 ต.ค. 64) The post SSP เผยโรงไฟฟ้าพลังลม TTTV ในเวียดนามขนาด 48 MW เริ่ม COD แล้ว appeared first on สำนักข่าวอินโฟเควสท์.,https://www.infoquest.co.th/2021/139782,2021_10_27
"กูรูคาดบิตคอยน์ลงต่อ หลังทรุดใกล้หลุด $58,000 ต่ำกว่า 2,000,000 บาท","บิตคอยน์ทรุดตัวลงใกล้หลุดระดับ 58,000 ดอลลาร์ในวันนี้ โดยปรับตัวลงต่ำกว่า 2,000,000 บาท ขณะที่นักลงทุนพากันเทขายทำกำไร หลังพุ่งแตะระดับสูงสุดเป็นประวัติการณ์ก่อนหน้านี้ ทั้งนี้ บิตคอยน์ดิ่งลงแตะระดับ 58,100 ดอลลาร์ในวันนี้ ซึ่งเป็นระดับต่ำสุดนับตั้งแต่วันที่ 15 ต.ค. และทรุดตัวลง 13% จากระดับ 67,016 ดอลลาร์ ซึ่งเป็นสถิติสูงสุดตลอดกาลที่ทำไว้เมื่อสัปดาห์ที่แล้ว การร่วงลงในวันนี้ ส่งผลให้มูลค่าตลาดของบิตคอยน์ลดลงสู่ระดับ 1.11 ล้านล้านดอลลาร์ อย่างไรก็ดี แม้ว่าจะดิ่งลงอย่างหนัก บิตคอยน์ยังคงทะยานขึ้น 35% นับตั้งแต่ต้นเดือนต.ค. และมีแนวโน้มทำสถิติปรับตัวดีที่สุดในเดือนนี้นับตั้งแต่เดือนก.พ. นักวิเคราะห์ระบุว่า ปัจจัยทางเทคนิคบ่งชี้ว่า บิตคอยน์ถึงเวลาปรับฐานแล้ว และมีแนวโน้มในช่วงขาลง โดยจะทดสอบแนวรับที่ระดับ 54,000 ดอลลาร์ และการร่วงลงอาจรุนแรงยิ่งขึ้น ท่ามกลางการคาดการณ์ที่ว่าธนาคารกลางสหรัฐ (เฟด) มีแนวโน้มปรับลดวงเงินในโครงการซื้อพันธบัตรตามมาตรการผ่อนคลายเชิงปริมาณ (QE) เร็วกว่าที่คาดไว้ โดย สำนักข่าวอินโฟเควสท์ (27 ต.ค. 64) The post กูรูคาดบิตคอยน์ลงต่อ หลังทรุดใกล้หลุด $58,000 ต่ำกว่า 2,000,000 บาท appeared first on สำนักข่าวอินโฟเควสท์.",https://www.infoquest.co.th/2021/139778,2021_10_27
สนามบินสุวรรณภูมิ ซ้อมใหญ่ขั้นตอนปฏิบัติรับผู้โดยสาร เตรียมรับเปิดประเทศ 1 พ.ย.,"นายกิตติพงศ์ กิตติขจร ผู้อำนวยการท่าอากาศยานสุวรรณภูมิ บมจ. ท่าอากาศยานไทย (AOT) กล่าวว่า ตามที่ พล.อ.ประยุทธ์ จันทร์โอชา นายกรัฐมนตรีและรัฐมนตรีว่าการกระทรวงกลาโหม ได้ประกาศนโยบายเปิดประเทศรับนักท่องเที่ยวตั้งแต่วันที่ 1 พฤศจิกายน 2564 นั้น วันนี้ ท่าอากาศยานสุวรรณภูมิ (ทสภ.) ได้ร่วมกับทุกหน่วยงานที่ปฏิบัติงาน ณ ทสภ. จัดฝึกซ้อมใหญ่การให้บริการผู้โดยสารขาเข้าระหว่างประเทศ ให้เป็นไปตามแนวทางที่กำหนด ภายใต้มาตรฐานการป้องกันการแพร่ระบาดของโรคโควิด-19 ของกระทรวงสาธารณสุข ทั้งนี้ การให้บริการ ณ ทสภ. ตั้งแต่วันที่ 1 พฤศจิกายน 2564 กรณีของผู้โดยสารขาเข้าระหว่างประเทศ ทสภ.จะเปิดให้บริการผู้โดยสารทั้งอาคารเทียบเครื่องบินด้านทิศตะวันออก (Concourse C) และด้านทิศตะวันตก (Concourse E,F,G) โดยจะมีขั้นตอนเริ่มตั้งแต่ผู้โดยสารลงจากอากาศยานแล้ว จะได้รับการตรวจคัดกรองจากเจ้าหน้าที่ด่านควบคุมโรคระหว่างประเทศ แยกเป็น 2 ส่วน คือ ผู้โดยสารบางส่วนจะยังต้องตรวจด้วยระบบใบอนุญาตเดินทางเข้าประเทศไทย (Certificate of Entry :COE) อีกส่วนจะตรวจด้วยวิธีการสแกน QR Code […] The post สนามบินสุวรรณภูมิ ซ้อมใหญ่ขั้นตอนปฏิบัติรับผู้โดยสาร เตรียมรับเปิดประเทศ 1 พ.ย. appeared first on สำนักข่าวอินโฟเควสท์.",https://www.infoquest.co.th/2021/139774,2021_10_27
TFG ซื้อกิจการ โลจิส บอย 8 ลบ.เพื่อพัฒนาระบบซอฟแวร์ของกลุ่มบริษัท,"บมจ.ไทยฟู้ดส์ กรุ๊ป (TFG) เปิดเผยว่า ที่ประชุมคณะกรรมการบริษทั ครั้งที่ 5/2564 เมื่อวันที่ 27 ตุลาคม 2564 มีมติอนุมัติให้เข้าซื้อหุ้นใน บริษัท โลจิส บอย จำกัด ประกอบธุรกิจ ประเภท ข้อมูลข่าวสารและการสื่อสาร โดยให้บริการด้าน การจัดทำซอฟต์แวร์สำเร็จรูป (ยกเว้นซอฟต์แวร์เกมสำเร็จรูป) ซึ่งมีทุนจดทะเบียน : 1,000,000 บาท แบ่งเป็นหุ้นสามัญ 10,000 หุ้น มูลค่าหุ้นที่ตราไว้หุ้นละ 100 บาท และมีทุนจดทะเบียนชำระแล้ว 250,000 บาท มูลค่าการลงทุน ราคาซื้อขายรวมเท่ากับ 8,000,000 บาท หรือคิดเป็นราคาซื้อขายหุ้นละ 833.42 บาท สัดส่วนการถือหุน้ 95.99% ของทุนจดทะเบียน วัตถุประสงค์การลงทุน เพื่อพัฒนาระบบซอฟแวร์ของบริษัทและกลุ่มบริษัทในเครือ โดย สำนักข่าวอินโฟเควสท์ (27 ต.ค. 64) The post TFG ซื้อกิจการ โลจิส บอย 8 ลบ.เพื่อพัฒนาระบบซอฟแวร์ของกลุ่มบริษัท appeared first on สำนักข่าวอินโฟเควสท์.",https://www.infoquest.co.th/2021/139770,2021_10_27
SCC คาดรายจ่ายลงทุน-เงินลงทุนปี 65 ราว 4 หมื่นลบ.จาก 8-9 หมื่นลบ.ในปีนี้,"บมจ.ปูนซิเมนต์ไทย (SCC) เปิดเผยว่า บริษัทคาดการณ์รายจ่ายลงทุนและเงินลงทุนที่จะเกิดขึ้นในปี 65 จำนวนประมาณ 40,000 ล้านบาท จากคาดการณ์รายจ่ายลงทุนและเงินลงทุนที่จะเกิดขึ้นในปี 64 อยู่ที่ประมาณ 80,000-90,000 ล้านบาท โดยจำนวนกว่าครึ่งหนึ่งมาจากการลงทุนเข้าซื้อหุ้นโครงการต่างๆ และการก่อสร้าง LSP ทั้งนี้ ในช่วง 9 เดือนแรกของปี 64 บริษัทมีรายจ่ายลงทุนและเงินลงทุน 72,296 ล้านบาท โดยสัดส่วนการลงทุนเป็นของธุรกิจเคมิคอลส์ 66% ธุรกิจแพ็คเกจจิ้ง 23% ธุรกิจซีเมนต์ และผลิตภัณฑ์ก่อสร้าง 8% และส่วนงานอื่น 3% ทั้งนี้ รายจ่ายลงทุนและเงินลงทุนส่วนใหญ่ใช้สำหรับโครงการปิโตรเคมีครบวงจรของ LSP แผนการลงทุนในโครงการปิโตรเคมีครบวงจรแห่งที่ 2 ในประเทศอินโดนีเซียของบริษัท PT Chandra Asri Petrochemical Tbk (CAP) และการเข้าควบรวมกิจการของธุรกิจแพ็คเกจจิ้ง โดย สำนักข่าวอินโฟเควสท์ (27 ต.ค. 64) The post SCC คาดรายจ่ายลงทุน-เงินลงทุนปี 65 ราว 4 หมื่นลบ.จาก 8-9 หมื่นลบ.ในปีนี้ appeared first on สำนักข่าวอินโฟเควสท์.",https://www.infoquest.co.th/2021/139768,2021_10_27
OR ทุ่ม 192 ลบ.เข้าซื้อหุ้น 25% ในธุรกิจร้านอาหารญี่ปุ่นแบรนด์ KOUEN,บมจ.ปตท. น้ำมันและการค้าปลีก (OR) เปิดเผยว่า ที่ประชุมคณะกรรมการจัดการ OR (ORMC) มีมติอนุมัติให้ บริษัท มอดูลัส เวนเจอร์ จำกัด (Modulus) ซึ่งเป็นบริษัทย่อยของ OR เข้าลงทุนโดยการซื้อหุ้นสามัญเพิ่มทุนของ บริษัท อิ่มทรัพย์โกลบอล คูซีน จำกัด (ISGC) ในวงเงินไม่เกิน 192 ล้านบาท โดยภายหลังการเข้าลงทุนดังกล่าวจะทำให้ Modulus มีสัดส่วนการถือหุ้น 25% และกลุ่มผู้ถือหุ้นเดิมของ ISGC มีสัดส่วนการถือหุ้น 75% ของหุ้น ทั้งนี้ ISGC เป็นผู้ดำเนินธุรกิจร้านอาหารญี่ปุ่นแบรนด์ KOUEN และแบรนด์อื่นๆ ซึ่งการลงทุนครั้งนี้เพื่อเพิ่มความหลากหลายของผลิตภัณฑ์ เสริมสร้างศักยภาพในธุรกิจอาหารและเครื่องดื่มของ OR รวมทั้งสร้างโอกาสในการเติบโตร่วมกันทั้งในและต่างประเทศ โดย สำนักข่าวอินโฟเควสท์ (27 ต.ค. 64) The post OR ทุ่ม 192 ลบ.เข้าซื้อหุ้น 25% ในธุรกิจร้านอาหารญี่ปุ่นแบรนด์ KOUEN appeared first on สำนักข่าวอินโฟเควสท์.,https://www.infoquest.co.th/2021/139763,2021_10_27
ศูนย์ฉีดฯ บางซื่อ เปิดให้คนไทย-ต่างด้าว จองฉีดวัคซีนผ่านค่ายมือถือ 28 ต.ค.,พญ.มิ่งขวัญ วิชัยดิษฐ ผู้อำนวยการสถาบันโรคผิวหนัง ในฐานะผู้อำนวยการศูนย์ฉีดวัคซีนสถานีกลางบางซื่อ กล่าวว่า ภารกิจการสร้างภูมิคุ้มกัน ยังคงเป็นเรื่องสำคัญที่ศูนย์ฉีดวัคซีนกลางบางซื่อเดินหน้าอย่างต่อเนื่อง โดยครั้งนี้นอกจากคนไทยแล้ว ยังเปิดฉีดวัคซีนครอบคลุมไปยังชาวต่างประเทศที่อาศัยอยู่ในประเทศไทยอีกด้วย ทั้งในส่วนของกลุ่มที่ยังไม่เคยได้รับเข็ม 1 และการฉีดวัคซีนแอสตร้าเซนเนก้าเข็มกระตุ้นในผู้ที่ได้รับการฉีดวัคซีนซิโนแวคครบแล้วทั้ง 2 เข็ม ทั้งนี้ ศูนย์ฉีดวัคซีนกลางบางซื่อ และค่ายมือถือทั้ง 4 ได้เตรียมเปิดให้ประชาชน 2 กลุ่ม ทั้งคนไทย และชาวต่างประเทศ ที่ถือบัตรแรงงานต่างด้าว 3 สัญชาติ (บัตรสีชมพู) หรือหนังสือเดินทาง มาลงทะเบียน โดยมีรายละเอียด ดังนี้ – กลุ่มที่เคยรับวัคซีนซิโนแวค เข็ม 1 และ 2 จากทุกศูนย์ฉีด จะได้รับวัคซีนเข็มที่สามเพื่อกระตุ้น (Booster Dose) เป็นวัคซีนชนิดแอสตร้าเซนเนก้า โดยเริ่มฉีดตั้งแต่วันที่ 1-30 พ.ย. 64 – กลุ่มผู้มีอายุ 18 ปีขึ้นไป ที่ยังไม่เคยได้รับวัคซีน สามารถลงทะเบียนสูตรไขว้ คือ รับวัคซีนเข็ม 1 […] The post ศูนย์ฉีดฯ บางซื่อ เปิดให้คนไทย-ต่างด้าว จองฉีดวัคซีนผ่านค่ายมือถือ 28 ต.ค. appeared first on สำนักข่าวอินโฟเควสท์.,https://www.infoquest.co.th/2021/139757,2021_10_27
MBKET แจงกำไรสุทธิ Q3/64 โตพุ่ง 167.21% ตามรายได้นายหน้า-ค่าธรรมเนียม,"นายอารภัฏ สังขรัตน์ ประธานเจ้าหน้าที่บริหาร บล.เมย์แบงก์ กิมเอ็ง (ประเทศไทย) (MBKET) เปิดเผยว่า ภาพรวมผลการดำเนินงานสำหรับงวดสามเดือนสิ้นสุดวันที่ 30 ก.ย.64 บริษัทมีกำไรสุทธิ 183.64 ล้านบาท เพิ่มขึ้น 114.91 ล้านบาท หรือเพิ่มขึ้น 167.21% เมื่อเปรียบเทียบกับงวดเดียวกันของปีก่อน ซึ่งมีกำไรสุทธิ 68.73 ล้านบาท เป็นผลมาจากรายได้ค่านายหน้าเพิ่มขึ้น 220.01 ล้านบาท จาก 394.37 ล้านบาท เป็น 614.38 ล้านบาท หรือเพิ่มขึ้น 55.79% ทั้งนี้ รายได้ค่านายหน้าจากการซื้อขายหลักทรัพย์เพิ่มขึ้น 212.66 ล้านบาท จาก 356.42 ล้านบาท เป็น 569.08 ล้านบาท หรือเพิ่มขึ้น 59.66% อันเป็นผลจากมูลค่าการซื้อขายเฉลี่ยของตลาดหลักทรัพย์เพิ่มขึ้นจาก 56,139.43 ล้านบาท/วัน เป็น 92,912.47 ล้านบาท/วัน หรือ เพิ่มขึ้น 65.50% […] The post MBKET แจงกำไรสุทธิ Q3/64 โตพุ่ง 167.21% ตามรายได้นายหน้า-ค่าธรรมเนียม appeared first on สำนักข่าวอินโฟเควสท์.",https://www.infoquest.co.th/2021/139755,2021_10_27
SCC จัดตั้งบริษัทในฟิลิปปินส์รุกธุรกิจบริการขนส่งสินค้าระหว่างประเทศ,บมจ.ปูนซิเมนต์ไทย (SCC) เปิดเผยว่า บริษัท เอสซีจิ โลจิสติกส์ แมเนจม้นท์ จำกัด (SCGL) ซึ่งเป็นบริษัทย่อยของ SCC ได้ลงทุนจัดตั้งบริษัทในประเทศฟิลิปปินส์ เพื่อดำเนินธุรกิจให้บริการด้านการขนส่งสินค้าระหว่างประเทศ การบริหารรถขนส่งสินค้า และระบบสำหรับการจัดการคลังสินค้า ซึ่งสอดคล้องตามแผนกลยุทธ์การขยายตลาดธุรกิจโลจิสติกส์ในภูมิภาคอาเชียนของ SCC โดยโครงการลงทุนจัดตั้งบริษัทใหม่นี้ใช้งบประมาณลงทุนรวม 10.4 ล้านเปโซฟิลิปปีนส์ (หรือประมาณ 7.8 ล้านบาท) ถือหุ้นทั้งหมดโดย SCGL ปัจจุบัน SCGL ให้บริการต้านโลจิสติกส์ครอบคลุมประเทศต่างในภูมิภาคอาเซียน ได้แก่ เวียดนาม อินโดนีเซีย กัมพูชา เมียนมา รวมทั้งในตอนใต้ของสาธารณรัฐประชาชนจีน เชื่อมโยงไปยังมาเลเซียและสิงคโปร์ ดังนั้นการขยายธุรกิจเข้าไปในประเทศฟิลิปปินส์ จะช่วยให้ SCGL มีเครือข่ายการให้บริการที่ครอบคลุมมากยิ่งขึ้น โดย สำนักข่าวอินโฟเควสท์ (27 ต.ค. 64) The post SCC จัดตั้งบริษัทในฟิลิปปินส์รุกธุรกิจบริการขนส่งสินค้าระหว่างประเทศ appeared first on สำนักข่าวอินโฟเควสท์.,https://www.infoquest.co.th/2021/139750,2021_10_27
จุรินทร์ ถก คกก.สอบปมถุงมือยางใช้แล้วไปสหรัฐนัดแรก กำชับ สตช.ดำเนินคดีถึงที่สุด,นายจุรินทร์ ลักษณวิศิษฏ์ รองนายกรัฐมนตรี และ รมว.พาณิชย์ เปิดเผยภายหลังการประชุมคณะกรรมการตรวจสอบถุงมือยางไปนอกราชอาณาจักร ครั้งที่ 1/2564 ร่วมกับผู้แทนหน่วยงานที่เกี่ยวข้อง ว่า ที่ประชุมฯ มีข้อสรุปใน 4 ประเด็นสำคัญ ดังนี้ ประเด็นที่แรก สำนักงานตำรวจแห่งชาติ (สตช.) ได้รายงานให้ที่ประชุมทราบว่าคดีที่เกี่ยวข้องกับถุงมือยางทางการแพทย์ ขณะนี้เป็นคดีสำคัญ ซึ่งได้ดำเนินคดีทั้งหมด 15 คดี ในจำนวนนั้นรวมคดีที่เกี่ยวข้องกับบริษัท Paddy the Room ด้วย ขณะนี้อัยการได้สั่งฟ้องแล้ว ส่วนกรณีที่เกี่ยวข้องกับถุงมือยางทางการแพทย์ ยี่ห้อ SKYMED ที่ปรากฏบนข่าวของสำนักข่าว CNN นั้น ที่ประชุมมอบให้ สตช. รับไปดำเนินการสืบสวนสอบสวน และดำเนินคดีต่อไป หากพบการกระทำความผิด สตช. แจ้งว่าจะเร่งรัดดำเนินการสืบสวนให้เสร็จสิ้นภายใน 1 เดือน ประเด็นที่สอง ที่ประชุมได้กำชับให้หน่วยงานที่เกี่ยวข้อง ไม่ว่าจะเป็นสำนักงานคณะกรรมการอาหารและยา (อย.) กรมโรงงานอุตสาหกรรม กรมศุลกากร กระทรวงมหาดไทย และหน่วยงานอื่น ๆ ที่เกี่ยวข้อง ต้องบังคับใช้กฎหมายโดยเคร่งครัด […] The post จุรินทร์ ถก คกก.สอบปมถุงมือยางใช้แล้วไปสหรัฐนัดแรก กำชับ สตช.ดำเนินคดีถึงที่สุด appeared first on สำนักข่าวอินโฟเควสท์.,https://www.infoquest.co.th/2021/139745,2021_10_27
