title,summary,link,published
"ปภ.เผยเกิดอุทกภัยจากอิทธิพล""เตี้่ยนหมู่""30 จังหวัด ยังมีสถานการณ์ 23 จังหวัด","กรมป้องกันและบรรเทาสาธารณภัย รายงานว่า จากอิทธิพลพายุ ""เตี้ยนหมู่"" ส่งผลให้เกิดอุทกภัยใน 30 จังหวัด รวม 145 อำเภอ 584 ตำบล 2,401 หมู่บ้าน 1 เขตเทศบาล ประชาชนได้รับผลกระทบ 71,093 ครัวเรือน มีผู้เสียชีวิต 6 ราย สูญหาย 2 ราย สถานการณ",https://mgronline.com/uptodate/detail/9640000095961,28_09_2021
ปิดภาคเช้า หุ้นไทย +5.02 จุด มูลค่าซื้อขายกว่า 5.5 หมื่นล้านบาท,"ตลาดหลักทรัพย์ฯ ปิดการซื้อขายภาคเช้า ดัชนีหุ้นไทยปิดที่ระดับ 1,625.04 จุด เพิ่มขึ้น 5.02 จุด หรือ +0.31% ด้วยมูลค่าการซื้อขาย 55,126.17 ล้านบาท",https://mgronline.com/uptodate/detail/9640000095959,28_09_2021
ผบ.ตร.สั่งทุกหน่วยประสานหน่วยงานขับเคลื่อนนโยบาย รบ.-ศบค.หลังผ่อนคลายมาตรการ,พ.ต.อ.กฤษณะ พัฒนเจริญ รองโฆษกสำนักงานตำรวจแห่งชาติ (สตช.) กล่าวว่า ตามที่ศูนย์บริหารสถานการณ์โควิด-19 (ศบค.) มีมติให้ขยายเวลาการบังคับใช้ พ.ร.ก.ฉุกเฉินฯ ออกไปจนถึงวันที่ 30 พฤศจิกายน 2564 พร้อมทั้งผ่อนคลายมาตรการและอนุญาตให้เปิดกิ,https://mgronline.com/uptodate/detail/9640000095948,28_09_2021
เวิลด์แบงก์หั่นเป้าจีดีพีไทยปีนี้เหลือ 1%,นายเกียรติพงศ์ อริยปรัชญา นักเศรษฐศาสตร์อาวุโสประจำประเทศไทย ธนาคารโลก (เวิลด์แบงก์) เปิดเผยว่า เวิลด์แบงก์ได้ปรับลดอัตราการขยายตัวทางเศรษฐกิจ (จีดีพี) ของไทยในปี 2564 เหลือร้อยละ 1 จากที่เดือนกรกฎาคม 2564 คาดการณ์ไว้ร้อยละ 2.2 เน,https://mgronline.com/uptodate/detail/9640000095935,28_09_2021
โปรดเกล้าฯ พล.อ.สุพจน์ มาลานิยม เป็นเลขาฯ สมช.,เว็บไซต์ราชกิจจานุเบกษา เผยแพร่ประกาศสำนักนายกรัฐมนตรี เรื่อง ให้ข้าราชการทหารพ้นจากตำแหน่งและแต่งตั้งข้าราชการพลเรือนสามัญ ความว่ามีพระบรมราชโองการโปรดเกล้าโปรดกระหม่อมให้ พลเอก สุพจน์ มาลานิยม ข้าราชการทหาร พ้นจากตำแหน่ง เสนาธิก,https://mgronline.com/uptodate/detail/9640000095925,28_09_2021
ผู้ว่าฯ สมุทรปราการเตือน ปชช.ริมเจ้าพระยา-ที่ลุ่มต่ำรับมือน้ำขึ้นสูงตลอดเดือน ต.ค.,นายวันชัย คงเกษม ผู้ว่าราชการจังหวัดสมุทรปราการ กล่าวว่า ความร่วมมือหน่วยงานที่เกี่ยวข้องแจ้งเตือนประชาชนในพื้นที่ที่อยู่อาศัยในบริเวณชายฝั่งอ่าวไทย ริมแม่น้ำเจ้าพระยา คู คลอง และพื้นที่ลุ่มต่ำ ให้ยกสิ่งของ ปลั๊กไฟ ขึ้นที่สูงให้พ้,https://mgronline.com/uptodate/detail/9640000095920,28_09_2021
รัฐบาลแจง 4 แนวทางจัดหาวัคซีนโควิด-19 เพื่อบรรลุเป้า 126 ล้านโดสในปลายปีนี้,นางสาวรัชดา ธนาดิเรก รองโฆษกประจำสำนักนายกรัฐมนตรี ยืนยันว่า รัฐบาลมั่นใจสามารถจัดหาวัคซีนโควิด-19 ครบตามแผนกว่า 126 ล้านโดส ภายในปลายปีนี้ โดยจัดหาวัคซีนโควิด-19 ภายใต้ 4 แนวทาง ได้แก่ แผนการจัดซื้อจากผู้ผลิตวัคซีนโควิด-19 โดยตรง,https://mgronline.com/uptodate/detail/9640000095916,28_09_2021
อ่วม! ทางหลวงชนบทเผยน้ำท่วม 83 สายทางใน 14 จังหวัด รถผ่านไม่ได้ 26 สายทาง,ฝ่ายประชาสัมพันธ์ กรมทางหลวงชนบท (ทช.) แจ้งว่า เมื่อเวลา 08.30 น. วันนี้ (28 ก.ย.64) สำนักบำรุงทางรายงานสถานการณ์อุทกภัย พบว่ามีถนนทางหลวงชนบทที่ประสบอุทกภัยในพื้นที่ 14 จังหวัด ได้แก่ ชัยนาท ลพบุรี จันทบุรี เพชรบุรี นครราชสีมา ชั,https://mgronline.com/uptodate/detail/9640000095908,28_09_2021
นายกฯ ขอบคุณ ปชช.ร่วมมือร่วมใจจนยอดติดโควิด-19 ลดต่ำกว่าหมื่น ย้ำป้องกันตัวเองอยู่เสมอ,"นายธนกร วังบุญคงชนะ โฆษกประจำสำนักนายกรัฐมนตรี เปิดเผยว่า สถานการณ์โควิด-19 ประจำวันที่ 28 กันยายน 2564 พบผู้ติดเชื้อรายใหม่จำนวน 9,489 คน แบ่งเป็น ติดเชื้อภายในเรือนจำ/ที่ต้องขัง 269 ราย ผู้ป่วยจากระบบเฝ้าระวังฯ 8,823 ราย ผู้ป่วย",https://mgronline.com/uptodate/detail/9640000095902,28_09_2021
ดีเดย์ 1 ต.ค.นี้ รฟม.เปิดที่จอดรถอัตโนมัติ ณ ลานจอดรถสถานีห้วยขวาง,นายภคพงศ์ ศิริกันทรมาศ ผู้ว่าการการรถไฟฟ้าขนส่งมวลชนแห่งประเทศไทย (รฟม.) เปิดเผยว่า ตั้งแต่วันที่ 1 ตุลาคม 2564 เป็นต้นไป รฟม. จะเปิดให้บริการที่จอดรถอัตโนมัติ (Robot Parking) บริเวณลานจอดรถสถานีห้วยขวาง เพื่อเพิ่มประสิทธิภาพลานจอ,https://mgronline.com/uptodate/detail/9640000095897,28_09_2021
