title,summary,link,published
กรมควบคุมโรค เตือนประชาชนระวัง “โรคอุจจาระร่วง”,กรมควบคุมโรค ห่วงใยสุขภาพประชาชน เตือนให้ระวังโรคที่มากับน้ำท่วม โดยเฉพาะ “โรคอุจจาระร่วง” ขอให้ยึดหลักรับประทานอาหาร “สุก ร้อน สะอาด” พร้อมแนะผู้ที่บริจาคอาหาร เช่น ข้าวกล่อง ควรปรุงไม่เกิน 4 ชั่วโมง,https://tna.mcot.net/social-789336,27_09_2021
ไม่พลาด! แห่ส่องหาเลขเด็ดจากเห็ดมือผี,พบเห็ดประหลาด มีลักษณะคล้ายมือคน ส่งกลิ่นเหม็นไปทั่วบริเวณบ้าน ในเขตชุมชนเขาหนองหอย ที่บ้านเลขที่ 65 ม.2 ต.ตะกุด อ.เมือง จ.สระบุรี ชาวบ้านไม่พลาดแห่ขอเลขเด็ด,https://tna.mcot.net/region-789313,27_09_2021
มาได้ไง? โลงเย็นโผล่กลางทุ่ง จ.เพชรบูรณ์,สุดหลอน! พบโรงเย็นถูกกระแสน้ำพาไปโผล่กลางทุ่งนาชาวบ้านใน อ.วิเชียรบุรี จ.เพชรบูรณ์ ประสานวัดรับกลับเเล้ว,https://tna.mcot.net/region-789312,27_09_2021
หุ้นไทยปิดร่วง 11.13 จุด,"ตลาดหลักทรัพย์ ปิดวันนี้ที่ระดับ 1,620.02 จุด ลดลง 11.13 จุด (-0.68%) มูลค่าการซื้อขาย 135,801.95 ล้านบาท ขายทำกำไรระยะสั้น หลังปรับตัวขึ้นไปมากช่วงที่ผ่านมา กังวลน้ำท่วม",https://tna.mcot.net/business-789307,27_09_2021
เตือนแม่น้ำยม อ.บางระกำ-พรหมพิราม ล้นตลิ่ง,อธิบดีกรมชลประทาน สั่งเฝ้าระวังระดับน้ำในแม่น้ำยมและแม่น้ำยมสายเก่าสูงขึ้น เนื่องจากน้ำที่ท่วม จ.สุโขทัย ไหลลงมาสมทบ ซึ่งอาจล้นตลิ่งเข้าท่วมพื้นที่ลุ่มต่ำ อ.บางระกำ และ อ.พรหมพิราม จ.พิษณุโลก เร่งประสานไปยัง จ.พิษณุโลก และหน่วยงานที่เกี่ยวข้อง แจ้งเตือนประชาชน,https://tna.mcot.net/business-789298,27_09_2021
กลุ่มทะลุฟ้าจัดกิจกรรมเดินไปทำเนียบฯ,“กลุ่มทะลุฟ้า” นัดหมายจัดกิจกรรมชุมนุมขับไล่ พล.อ.ประยุทธ์ จันทร์โอชา นายกรัฐมนตรี โดยนัดรวมตัวที่แยกนางเลิ้ง เพื่อเดินไปยังทำเนียบรัฐบาล,https://tna.mcot.net/crime-789227,27_09_2021
“มิโยะ”นำทัพ”ชบาแก้ว”ถึงไทย หวังพัฒนาแข้งส่งหาประสบการณ์ต่างแดน,ท่าอากาศยานนานาชาติสุวรรณภูมิ 27 ก.ย.64-ฟุตบอลหญิงทีมชา […],https://tna.mcot.net/sport-789276,27_09_2021
Thailand to Shorten Covid Quarantine Next Month,The Center for COVID-19 Situation Administration (CCSA) agreed to cut the quarantine period to seven days for fully vaccinated visitors from Oct 1 onwards.,https://tna.mcot.net/english-news-789270,27_09_2021
ทัพ “ตราชฎา” เปลี่ยนกุนซือ แต่งตั้ง “ทนงศักดิ์” คุมทัพลุยไทยลีก 2,27 ก.ย.64-สโมสรราชประชา ทีมในศึก M-150 แชมเปี้ยนชิพ 202 […],https://tna.mcot.net/sport-789269,27_09_2021
10 More Provinces to Welcome Tourists in Nov,"Ten more provinces will reopen their tourist destinations between Nov 1 and 30 and they include Bangkok, Chon Buri, Phetchaburi, Prachuap Khiri Khan and Chiang Mai.",https://tna.mcot.net/english-news-789263,27_09_2021
