title,summary,link,published
ด่วน! “ประยุทธ์” หวั่น “ปชป.” ถอนตัวรัฐบาลล่ม สั่งยกเลิกแบ่งงาน 4 กรมให้ “ประวิตร”,ตามที่ได้มีคําสั่งสํานักนายกรัฐมนตรีที่ ๒๕๔/๒๕๖๔ เรื่องแก้ไขเพิ่มเติมคําสั่งมอบหมายและมอบอํานาจ ให้รองนายกรัฐมนตรีและรัฐมนตรีประจําสํานักนายกรัฐมนตรีปฏิบัติราชการแทนนายกรัฐมนตรี (ฉบับที่ ๒) ลงวันที่ ๒๕ กันยายน ๒๕๖๔ นั้น เพื่อให้การกํากับการบริหารราชการแผ่นดินของกระทรวงเกษตรและสหกรณ์เป็นไปอย่างบูรณาการ สอดคล้องกับสถานการณ์ในปัจจุบัน อาศัยอํานาจตามความในมาตรา ๑๐ แห่งพระราชบัญญัติระเบียบบริหารราชการแผ่นดิน พ.ศ. ๒๕๓๔ ซึ่งแก้ไขเพิ่มเติมโดยพระราชบัญญัติระเบียบบริหารราชการแผ่นดิน (ฉบับที่ ๕) พ.ศ. ๒๕๔๕ มาตรา ๑๑ (๒) แห่งพระราชบัญญัติระเบียบบริหารราชการแผ่นดิน พ.ศ. ๒๕๓๔ มาตรา ๓๘ แห่งพระราชบัญญัติระเบียบบริหารราชการแผ่นดิน พ.ศ. ๒๕๓๔ ซึ่งแก้ไขเพิ่มเติมโดยพระราชบัญญัติระเบียบบริหารราชการแผ่นดิน (ฉบับที่ ๒) พ.ศ. ๒๕๕๐ ประกอบกับพระราช กฤษฎีกาว่าด้วยการมอบอํานาจ พ.ศ. ๒๕๕๐ จึงให้ยกเลิกคําสั่งสํานักนายกรัฐมนตรีที่ ๒๕๔/๒๕๖๔ เรื่องแก้ไขเพิ่มเติมคําสั่ง มอบหมายและมอบอํานาจให้รองนายกรัฐมนตรีและรัฐมนตรีประจําสํานักนายกรัฐมนตรีปฏิบัติราชการแทนนายกรัฐมนตรี (ฉบับที่ ๒) ลงวันที่ ๒๘ กันยายน ๒๕๖๔ และให้นําความในคําสั่งสํานักนายกรัฐมนตรี ที่ […] The post ด่วน! “ประยุทธ์” หวั่น “ปชป.” ถอนตัวรัฐบาลล่ม สั่งยกเลิกแบ่งงาน 4 กรมให้ “ประวิตร” appeared first on MONO29 TV Official Site.,https://mono29.com/news/345240.html,05_10_2021
“มาร์ค ซัคเคอร์เบิร์ก” ขออภัยกับเหตุการณ์ “เฟซบุ๊ก-ไอจี-วอทส์แอป” ล่มใช้งานไม่ได้,วันนี้ (5 ต.ค.2564) กรณีเฟซบุ๊กและอินสตาแกรมล่ม รวมไปถึงแมสเซนเจอร์ ตั้งแต่ปเวลาระมาณ 22.30 น.ของวันที่ 4 ต.ค.ที่ผ่านมา ทำให้ผู้ใช้งานไม่สามารถใช้งานได้ตามปกติ ส่งผลให้แฮชแท็ก #เฟสล่ม และ #ไอจีล่ม ติดอันดับ 1 และ 2 ในเทรนด์ทวิตเตอร์นั้น ล่าสุด มาร์ก ซักเคอร์เบิร์ก ซีอีโอและผู้ร่วมก่อตั้งเฟซบุ๊ก ประกาศว่า เฟซบุ๊ก อินสตาแกรม วอทส์แอป และแมสเซนเจอร์ กลับมาออนไลน์ได้แล้ว และขออภัยผู้ที่พึ่งการบริการของเฟซบุ๊กที่ได้รับผลกระทบในครั้งนี้ The post “มาร์ค ซัคเคอร์เบิร์ก” ขออภัยกับเหตุการณ์ “เฟซบุ๊ก-ไอจี-วอทส์แอป” ล่มใช้งานไม่ได้ appeared first on MONO29 TV Official Site.,https://mono29.com/news/345238.html,05_10_2021
“WBC มวยไทย” ร่วมกับ “ดอยตุง” ทำเข็มขัดแชมป์ “นายขนมต้ม” โชว์ผ้าทอมือลายไทยสู่ศิลปะการต่อสู้,“WBC มวยไทย” สมาคมกีฬามวยไทยภายใต้การนำของ World Boxing Council สถาบันกีฬามวยอาชีพชั้นนำของโลก ซึ่งมีสมาชิกมากกว่า 160 ประเทศทั่วโลก มีพันธกิจในการส่งเสริมกีฬามวยไทยให้เป็นศิลปะการต่อสู้ชั้นนำของโลก และอนุรักษ์ศิลปะมวยไทยให้เป็นมรดกทางวัฒนธรรมสืบไป ได้ร่วมกับ โครงการพัฒนาดอยตุง (พื้นที่ทรงงาน) อันเนื่องมาจากพระราชดำริ ภายใต้การดำเนินงานของ มูลนิธิแม่ฟ้าหลวง ในพระบรมราชูปถัมภ์ จัดทำเข็มขัดแชมเปี้ยนมวยไทย “นายขนมต้ม” ขึ้นเป็นพิเศษเพื่อเชิดชูเกียรตินายขนมต้ม ตำนานนักมวยไทย และส่งเสริมศิลปะมวยไทยมรดกทางวัฒนธรรมของชาติไทยให้ขจรไปทั่วโลก จากความเชื่อมั่นในนโยบายเดียวกัน คือ การสร้างความยั่งยืนในสังคมควบคู่กับการส่งเสริมมรดกภูมิปัญญาทางวัฒนธรรมของชาติ สำหรับเข็มขัด WBC มวยไทย นายขนมต้มนี้ ดอยตุงได้ออกแบบลวดลายและผลิตผ้าทั้งหมดด้วยการทอมืออย่างพิถีพิถัน ตั้งแต่การปั่นด้ายไปจนถึงขึ้นรูปแบบของลวดลาย ทำให้มีความเป็นเอกลักษณ์ของความเป็นไทย จากนั้น WBC มวยไทย จึงนำผ้าทอไปทำเป็นเข็มขัด “นายขนมต้ม” เพื่อเป็นรางวัลพิเศษที่จัดทำขึ้นเพื่อเชิดชูเกียรตินายขนมต้ม ตำนานนักมวยไทยผู้มีชื่อเสียงในเชิงมวยเป็นที่เลื่องลือ ซึ่งทั้งคนไทยและคนทั่วโลกต่างรู้จักกันเป็นอย่างดี โดยเป็นรางวัลที่จะมอบให้แก่นักมวยที่ชนะในรายการแข่งขันระดับประเทศที่จะจัดขึ้นเป็นพิเศษในประเทศต่างๆ พันเอก ธนพล ภักดีภูมิ เลขานุการฝ่ายบริหาร WBC มวยไทย เล่าถึงความเป็นมาของความร่วมมือในครั้งนี้ว่า มวยไทยเป็นมรดก ภูมิปัญญาทางวัฒนธรรมของชาติซึ่งได้ผสมผสานวัฒนธรรมกับการกีฬาได้อย่างกลมกลืนและเป็นเอกลักษณ์เพียงหนึ่งเดียวที่ได้รับความยอมรับจากทั่วโลก จนปัจจุบันมวยไทยมิได้เป็นเพียงกีฬาประจําชาติของประเทศไทยอีกต่อไป แต่กลายเป็นกีฬาสากลระดับโลกที่ได้รับความนิยมเพิ่มมากขึ้นจากทั่วทุกมุมโลก ประกอบกับนโยบายของรัฐบาลที่จะเร่งเดินหน้าส่งเสริมอุตสาหกรรมสร้างสรรค์ของไทยด้านการท่องเที่ยวเชิงวัฒนธรรม […] The post “WBC มวยไทย” ร่วมกับ “ดอยตุง” ทำเข็มขัดแชมป์ “นายขนมต้ม” โชว์ผ้าทอมือลายไทยสู่ศิลปะการต่อสู้ appeared first on MONO29 TV Official Site.,https://mono29.com/news/345234.html,05_10_2021
แบกโลงศพฝ่าน้ำท่วมทำพิธีทางศาสนา,น้ำท่วม ไม่เพียงแต่จะส่งผลกระทบ กับชาวบ้านที่ประสบภัยเท่านั้น แม้แต่งานศพก็จัดเป็นไปด้วยความยากลำบาก ที่จังหวัดพระนครศรีอยุธยา ญาติๆ ต้องช่วยกันแบกโลงศพขึ้นศาลาแทนการใช้เรือ ชาวบ้านและญาติๆต้องช่วยกันแบกโลงศพ ข้ามน้ำที่ท่วมขัง ไปยังศาลาวัดแม่นางปลื้ม ตำบลหัวรอ อำเภอพระนครศรีอยุธยา จังหวัดพระนครศรีอยุธยาหลังระดับน้ำเพิ่มสูงขึ้นต่อเนื่อง จากการมาบรรจบกันของแม่น้ำเจ้าพระยาและแม่น้ำลพบุรี ญาติผู้เสียชีวิตบอกว่า เดิมทีคิดว่าจะนำศพไว้บนศาลาได้ แต่พอมาถึงวัดปรากฏว่าระดับน้ำสูงขึ้น ประกอบโรงศพใหญ่กว่าเรือที่นำมารับ จึงตัดสินใจแบกโลงศพ ลุยน้ำแทนเพื่อทำพิธีทางศาสนา ส่วนสถานการณ์น้ำท่วมในจังหวัดพระนครศรีอยุธยา ล่าสุดเทศบาลนครพระนครศรีอยุธยา ต้องเร่งหาทางป้องกันเกาะเมืองอย่างเต็มที่ เนื่องจากพื้นที่รอบๆถูกน้ำท่วมแล้วทั้งหมด โดยเหลืออีกเพียง 20 เซนติเมตร ระดับน้ำจะเท่ากับพื้นถนนเกาะเมือง ซึ่งมีทั้งแหล่งท่องเที่ยวและย่านเศรษฐกิจสำคัญ เนื่องจากขณะนี้พบว่า บางพื้นที่น้ำได้ซึมเข้าใต้ฐานโบราณสถานที่อยู่รอบๆ คลองเมืองแล้ว The post แบกโลงศพฝ่าน้ำท่วมทำพิธีทางศาสนา appeared first on MONO29 TV Official Site.,https://mono29.com/news/345232.html,05_10_2021
ปภ. แจ้งเตือน 4 จังหวัดเฝ้าระวังน้ำหลาก ดินถล่ม  ช่วง 6-10 ต.ค.นี้,วันนี้( 5 ต.ค.64) กระทรวงมหาดไทย โดยกรมป้องกันและบรรเทาสาธารณภัย (ปภ.) แจ้ง 4 จังหวัด ได้แก่ เพชรบุรี ประจวบคีรีขันธ์ ชุมพร และระนอง เฝ้าระวังน้ำหลาก ดินถล่ม และปริมาณน้ำในอ่างเก็บน้ำมีแนวโน้มสูงขึ้นล้นทางระบายน้ำล้น ช่วงวันที่ 6-10 ตค 64 แจ้งจังหวัดประสานจัดเจ้าหน้าที่ติดตามเฝ้าระวังสถานการณ์ และเตรียมความพร้อมปฏิบัติการให้ความช่วยเหลือประชาชนตลอด 24 ชั่วโมง กรมป้องกันและบรรเทาสาธารณภัย (ปภ.) ในฐานะกองอำนวยการป้องกันและบรรเทาสาธารณภัยกลาง (กอปภ.ก.) ได้รับแจ้งจากกองอำนวยการน้ำแห่งชาติว่า ได้ประเมินปริมาณฝนตก (ONE MAP) ร่วมกับกรมอุตุนิยมวิทยา และสถาบันสารสนเทศทรัพยากรน้ำ ได้ตรวจสอบพื้นที่เสี่ยงเฝ้าระวัง (องค์การมหาชน) พบว่า ในช่วงวันที่ 5-9 ตุลาคม 2564 ร่องมรสุมตะวันตกเฉียงใต้ จะเริ่มมีกำลังแรงขึ้น ทำให้บริเวณภาคเหนือตอนล่าง ภาคตะวันออกเฉียงเหนือ ภาคกลาง ภาคตะวันออก และภาคใต้ มีฝนเพิ่มขึ้นกับมีฝนตกหนักบางแห่ง กรมป้องกันและบรรเทาสาธารณภัย (ปภ.) จึงได้แจ้ง 4 จังหวัดพื้นที่เสี่ยง […] The post ปภ. แจ้งเตือน 4 จังหวัดเฝ้าระวังน้ำหลาก ดินถล่ม ช่วง 6-10 ต.ค.นี้ appeared first on MONO29 TV Official Site.,https://mono29.com/news/345230.html,05_10_2021
กอนช.ออกประกาศเตือนประชาชนริมน้ำ กทม. ปทุมธานี นนทบุรี เฝ้าระวังระดับน้ำแม่น้ำเจ้าพระยาสูงขึ้น 30-50 เซนติเมตร ในวันที่ 7-10 ต.ค.2564,"จากอิทธิพลของพายุโซนร้อน “เตี้ยนหมู่” ส่งผลให้ในช่วงวันที่ 23-25 ก.ย.2564 บริเวณประเทศไทยตอนบนมีฝนตกเป็นบริเวณกว้างประกอบกับมีฝนตกหนักหลายพื้นที่และหนักมากบางแห่ง ทำให้มีปริมาณน้ำท่าจากลุ่มน้ำปิง วัง ยม และน่าน ไหลลงสู่ลุ่มน้ำเจ้าพระยามากขึ้น ส่งผลกระทบให้เกิดน้ำท่วมในหลายพื้นที่ กอนช.ติดตามสถานการณ์น้ำแม่น้ำเจ้าพระยาและแม่น้ำป่าสักพบว่า เมื่อวันที่ 1 ต.ค.2564 ปริมาณน้ำหลากจากตอนบนของลุ่มน้ำเจ้าพระยาได้ไหลผ่านเขื่อนเจ้าพระยาในอัตรา 2,775-2,800 ลูกบาศก์เมตรต่อวินาที และเมื่อวันที่ 2 ต.ค.2564 ปริมาณน้ำหลากสูงสุดจากเขื่อนป่าสักชลสิทธิ์ได้ไหลผ่านเขื่อนพระรามหกสูงสุดในอัตรา 762 ลูกบาศก์เมตรต่อวินาที คาดว่าในวันที่ 5 ต.ค.2564 ปริมาณน้ำจะไหลหลากรวมกันผ่าน อ.บางไทร จ.พระนครศรีอยุธยา ในเกณฑ์สูงสุด 3,050-3,150 ลูกบาศก์เมตรต่อวินาที โดยจะไหลออกสู่อ่าวไทย ในช่วงวันที่ 7-10 ต.ค.2564 ประกอบกับในช่วงเวลาดังกล่าว เกิดสภาวะน้ำทะเลหนุนสูง คาดว่าจะส่งผลให้ระดับน้ำแม่น้ำเจ้าพระยาเพิ่มสูงขึ้นจากเดิม 30-50 เซนติเมตร โดยพื้นที่ที่ควรเฝ้าระวังประกอบด้วย จังหวัดปทุมธานี และจังหวัดนนทบุรี บริเวณพื้นที่ลุ่มต่ำนอกแนวคันกั้นน้ำริมฝั่งแม่น้ำเจ้าพระยา กรุงเทพมหานคร บริเวณพื้นที่ริมสองฝั่งแม่น้ำเจ้าพระยา โดยระดับน้ำที่เพิ่มขึ้นจะไม่ส่งผลกระทบให้ระดับน้ำล้นคันป้องกันน้ำริมแม่น้ำของกรุงเทพมหานคร ยกเว้นบริเวณที่ไม่มีระบบคันป้องกันริมแม่น้ำ กองอำนวยการน้ำแห่งชาติ ขอให้หน่วยงานที่เกี่ยวข้องโปรดดำเนินการ ดังนี้ 1.ติดตามสถานการณ์น้ำอย่างใกล้ชิด […] The post กอนช.ออกประกาศเตือนประชาชนริมน้ำ กทม. ปทุมธานี นนทบุรี เฝ้าระวังระดับน้ำแม่น้ำเจ้าพระยาสูงขึ้น 30-50 เซนติเมตร ในวันที่ 7-10 ต.ค.2564 appeared first on MONO29 TV Official Site.",https://mono29.com/news/345228.html,05_10_2021
ชื่นชม บุรุษไปรษณีย์ลุยน้ำท่วมสูง ส่งจม.และพัสดุ,ชาวบ้านที่เกาะเกร็ด จังหวัดนนทบุรี ต่างชื่นชม บุรุษไปรษณีย์ ที่เดินลุยน้ำท่วมสูง เพื่อไปส่งจดหมายและพัสดุ ให้กับชาวบ้าน ที่บริเวณ ตำบลเกาะเกร็ด อำเภอปากเกร็ด จังหวัดนนทบุรี ภาพที่คุ้นตาของชาวบ้านคือ จะพบนายสนอง อายุ 55 ปี บุรุษไปรษณีย์ เดินลุยน้ำที่ท่วมสูงถึงหน้าอก เพื่อนำส่งจดหมายและพัสดุ ให้กับผู้รับที่อาศัยอยู่บริเวณหมู่ที่ 1 ตำบลเกาะเกร็ด แม้กระแสน้ำจะไหลเชี่ยวและระยะทางที่เดินจะไกลและยากลำบากก็ตาม นายสนอง เล่าว่า ไปสมัครทำงานเป็นบุรุษไปรษณีย์ เมื่อปี พ.ศ.2538 และตั้งปณิธานว่า ต่อให้น้ำท่วมแค่ไหนก็จะไป ส่งของให้ถึงมือชาวบ้านทุกคน รวมถึง ยังส่งของนอกเวลาราชการ เนื่องจากชาวบ้านบางคน จะกลับถึงบ้านประมาณ 1-2 ทุ่ม ถึงบ้านตอนไหนก็ให้โทรมาหา เขาจะนำของไปส่งให้ทันที นายสนอง ยอมรับลำบากเหมือนกัน เพราะบางจุดน้ำท่วมสูงต้องค่อยๆเดินไป แต่บางครั้งต้องล่าช้า เพราะบางวันกระแสน้ำไหลแรง และถ้าน้ำท่วมสูง ก็จะชูของหรือเอกสารที่นำมาส่ง ให้อยู่เหนือศรีษะ ไม่ให้สิ่งของเปียกน้ำ The post ชื่นชม บุรุษไปรษณีย์ลุยน้ำท่วมสูง ส่งจม.และพัสดุ appeared first on MONO29 TV Official Site.,https://mono29.com/news/345222.html,05_10_2021
เปิดคลิปนาทีพายุหมุนถล่ม เสียหายหลายหลัง,เมื่อวานนี้ 4 ตุลาคม 2564 เกิดพายุหมุนรุนแรง ย่านพระประแดง จังหวัดสมุทรปราการ พัดผ่านบ้านเรือนประชาชน ทำสิ่งของปลิวว่อน สร้างความแตกตื่นอย่างมาก ผู้ใช้เฟซบุ๊กชื่อ Armouy noy (อาหมวย น้อย) บันทึกคลิปนาทีขณะเกิดพายุหมุน หรือพายุงวงช้าง โดยขนาดของพายุค่อนข้างใหญ่และมีแรงลมสูง จนทำให้สิ่งของปลิวว่อนอยู่ในอากาศ สร้างความแตกตื่นให้กับประชาชนที่อาศัยอยู่ในหมู่บ้านดังกล่าว เหตุการณ์นี้ เกิดขึ้นบริเวณท้ายซอยสุขสวัสดิ์ 76 ตำบลลัดหลวง อำเภอพระประแดง จังหวัดสมุทรปราการ ขณะที่ เฟซบุ๊ก “อาสาร่วมกตัญญู ทีมงานปราการ โซน 2” ได้โพสต์อีกคลิป ขณะที่พายุได้หอบเอาเศษวัสดุก่อสร้างจำนวนมาก จากไซต์งานก่อสร้างในบริเวณนั้น ลอยขึ้นฟ้า หลังพายุสงบ ทีมข่าวลงพื้นที่ พบว่าภายในหมู่บ้านแห่งหนึ่งซึ่งอยู่ใกล้กับจุดเกิดพายุ ชาวบ้านออกมาช่วยกันกวาดถนน ที่เต็มไปด้วยเศษวัสดุต่างๆ รวมทั้งแผ่นเหล็กขนาดใหญ่ น้ำหนักมากกว่า 100 กิโลกรัมนอกจากนี้ยังพบว่า ต้นไม้ รถยนต์ และบ้านเรือนประชาชน เสียหายเป็นจำนวนมาก ทั้งหลังคาเปิด กระจกประตูและหน้าต่างแตก The post เปิดคลิปนาทีพายุหมุนถล่ม เสียหายหลายหลัง appeared first on MONO29 TV Official Site.,https://mono29.com/news/345220.html,05_10_2021
สามจอมพลังรุ่นเล็กเตรียมขึ้นชิงชัยยุวชนโลกวันพรุ่งนี้ ประกาศสู้เต็มที่แม้เป็นเวทีระดับชาติครั้งแรกในชีวิต,"ความเคลื่อนไหวของนักกีฬายกน้ำหนักทีมชาติไทยชุดยุวชนโลก ที่เมืองเจดดาห์ ประเทศซาอุดิอารเบีย สตาฟโค้ชยังให้ซ้อมตามตารางปกติ ยกเว้นนักกีฬาที่จะแข่งขันในวันพรุ่งนี้ (6 ตค.) จำนวน 3 คน ประกอบด้วย ปัฐษพงษ์ ทองสุก รุ่น 55 กิโลกรัม , ฐิตาพร ตีกา รุ่น 45 กิโลกรัมและ อนันต์ เนาสน รุ่น 61 กิโลกรัม โดยสตาฟโค้ชให้พักผ่อน เพื่อเตรียมร่างกายและจิตใจให้พร้อมเต็มที่ แม้ทุกคนจะมีความตื่นเต้น แต่ก็พูดเป็นเสียงเดียวกันว่า จะพยายามอย่างสุดความสามารถให้สมกับที่ได้รับโอกาสจากสมาคมกีฬายกน้ำหนักสมัครเล่นแห่งประเทศไทยจนได้เป็นตัวแทนทีมชาติไทย ฐิตาพร ตีกา นักกีฬารุ่น 45 กิโลกรัมหญิง เป็นนักกีฬาที่อายุน้อยที่สุดของการแข่งขันยกน้ำหนักยุวชนชิงชนะเลิศแห่งโลกในครั้งนี้ ด้วยวัยเพียง 14 ปี 10 เดือน จะแข่งในเวลา 16.00 น. ตามเวลาท้องถิ่น หรือ 20.00 เวลาตามเวลาประเทศไทย“นี่เป็นต่างประเทศครั้งแรกของหนู ก็ตื่นเต้นค่ะ แต่ก็จะทำให้ดีที่สุด ฝากถึงคนไทยทุกคนมาช่วยกันเชียร์หนูด้วยนะคะ” ฐิตาพรหรือน้องแอ้นท์กล่าว โปรแกรมการแข่งขันของนักกีฬาไทยในวันพรุ่งนี้ […] The post สามจอมพลังรุ่นเล็กเตรียมขึ้นชิงชัยยุวชนโลกวันพรุ่งนี้ ประกาศสู้เต็มที่แม้เป็นเวทีระดับชาติครั้งแรกในชีวิต appeared first on MONO29 TV Official Site.",https://mono29.com/news/345236.html,05_10_2021
สิ้น “ครูประสิทธิ์” ศิลปินแห่งชาติ ผู้สร้างตำนานหนุมานของไทย,ถือเป็นการสูญเสียครั้งใหญ่ของวงการโขนนาฏศิลป์ไทย กับการจากไปของครูผู้สร้างตำนานหนุมานและโขนตัวลิงของประเทศไทย “ประสิทธิ์ ปิ่นแก้ว” ศิลปินแห่งชาติ สาขาศิลปะการแสดง (นาฏศิลป์-โขน) ปี 2551 ซึ่งถึงแก่กรรมจากการติดเชื้อในกระแสเลือด ช่วงดึกของวันที่ 3 ตุลาคมที่ผ่านมา ที่โรงพยาบาลวชิรพยาบาล กรุงเทพฯ สิริรวมอายุ 79 ปี โดยทางกรมส่งเสริมวัฒนธรรม ได้แจ้งข่าวกำหนดการบำเพ็ญกุศลศพของศิลปินแห่งชาติ “ประสิทธิ์ ปิ่นแก้ว” ว่า มีสวดพระอภิธรรมศพ ตั้งแต่วันที่ 4 ถึง 8 ตุลาคมนี้ เวลา 18.00 น. ที่ศาลา 6 วัดเจ้าอาม บางขุนนนท์ หลังจากนั้นทางครอบครัวจะเก็บศพไว้บำเพ็ญกุศล 100 วัน และกรมส่งเสริมวัฒนธรรมจะดำเนินการขอพระราชทานเพลิงศพให้ต่อไป สำหรับ “ครูประสิทธิ์ ปิ่นแก้ว” ได้ถูกยกให้เป็นศิลปินที่มีความรู้ความเชี่ยวชาญ ในการแสดงโขนลิงเป็นอย่างมาก จึงได้รับให้แสดงตั้งแต่ เขนลุง สิบแปดมงกุฎ พาลี องคต หนุมาน แสดงเป็นหนุมานแทบทุกตอน อย่างไรก็ตาม นอกจากงานแสดงโขนแล้ว ท่านยังได้สร้างสรรค์ผลงานมากมาย […] The post สิ้น “ครูประสิทธิ์” ศิลปินแห่งชาติ ผู้สร้างตำนานหนุมานของไทย appeared first on MONO29 TV Official Site.,https://mono29.com/news/345216.html,05_10_2021
