title,summary,link,published
อุตุฯ เผยทั่วไทยฝนคะนอง -ภาคใต้ตกหนัก -กทม.เจอร้อยละ 40,กรมอุตุฯ เผย ทั่วไทยฝนคะนอง ภาคใต้ตกหนักบางแห่ง ระวังน้ำท่วมฉับพลัน น้ำป่าหลาก กทม.ปริมณฑล เจอร้อยละ 40,https://www.posttoday.com/social/general/667027,2021_11_02
“ทรีนีตี้” แนะลงทุนหุ้น 4 กลุ่ม REIT ค้าปลีก ขนส่ง ท่องเที่ยว,"“ทรีนีตี้” ให้กรอบลงทุนหุ้นเดือน พ.ย.ที่ระดับดัชนี 1,580 – 1,660 จุด แนะลงทุนหุ้น 4 กลุ่ม REIT ค้าปลีก ขนส่ง ท่องเที่ยว รับความเชื่อมั่นผู้บริโภคเพิ่มขึ้นและการเปิดเมือง",https://www.posttoday.com/finance-stock/stock/667028,2021_11_02
EXIM BANK ชูผลสำเร็จ “ธนาคารเพื่อการพัฒนา”,EXIM BANK ชูผลสำเร็จ “ธนาคารเพื่อการพัฒนา” 9 เดือนแรกปี 64 ขยายสินเชื่อช่วยเหลือภาคอุตสาหกรรมและ SMEs ฝ่าวิกฤตโควิด-19 เพิ่มขึ้น,https://www.posttoday.com/finance-stock/news/667032,2021_11_02
"""นายกฯ""ประกาศไทยพร้อมยกระดับแก้ปัญหาภูมิอากาศ ย้ำต้องหยุดทำร้ายธรรมชาติ",นายกฯ กล่าวถ้อยแถลงต่อที่ประชุมระดับผู้นำ COP26 ประกาศเจตนารมณ์ไทยพร้อมยกระดับการแก้ไขปัญหาภูมิอากาศอย่างเต็มที่ด้วยทุกวิถีทาง ย้ำต้องหยุดทำร้ายธรรมชาติเพราะไม่มีโลกใบที่สองเหมือนโลกนี้อีกแล้ว,https://www.posttoday.com/politic/news/667030,2021_11_02
"ดาวโจนส์ปิดนิวไฮ,น้ำมันบวก,ทองพุ่ง",หุ้นดาวโจนส์ปิดบวก 94.28 จุด ทำนิวไฮ ด้านราคาน้ำมันเพิ่มขึ้น 48 เซนต์ ขณะที่ทองคำพุ่ง 11.90 ดอลลาร์,https://www.posttoday.com/finance-stock/news/667034,2021_11_02
"""ชลบุรี""ติดโควิด 264 ราย โยงคลัสเตอร์ทหาร สถานประกอบการ ดับเพิ่ม 4 คน",ชลบุรี- พบผู้ติดเชื้อโควิด-19 รายใหม่ อีก 264 ราย โยงคลัสเตอร์ สถานประกอบการ ชุมชน พื้นที่ทหารเจออีก 26 ราย มีผู้เสียชีวิตเพิ่ม 4 ราย พบเป็นผู้สูงอายุ มีโรคประจำตัว ไม่ได้ฉีดวัคซีน,https://www.posttoday.com/social/local/667033,2021_11_02
ข่าวปลอม!! พายุ 5 ลูกจ่อถล่มไทย,โฆษกดีอีเอสเตือนข่าวปลอมเตรียมรับมือพายุ 5 ลูก ที่จะส่งผลกระทบกับประเทศไทย,https://www.posttoday.com/social/general/667035,2021_11_02
"โควิดขาลง!ติดเชื้อรายใหม่ 7,574 ดับ 78 รักษาหาย 8,279ราย","ศบค. รายงาน ยอดติดเชื้อโควิด-19 วันนี้ เพิ่มขึ้น 7,574 ราย เสียชีวิตอีก 78 ราย หายป่วยกลับบ้าน 8,279 ราย เหลือกำลังรักษา 98,444ราย",https://www.posttoday.com/social/general/667036,2021_11_02
สมาคมผู้เลี้ยงไก่พันธุ์แบกต้นทุนไม่ไหววอนรัฐช่วยเหลือ,สมาคมผู้เลี้ยงไก่พันธุ์ วอนรัฐช่วย หลังแบกรับต้นทุนที่สูงขึ้นจากราคาวัตถุดิบที่ขึ้นไม่หยุด,https://www.posttoday.com/economy/news/667039,2021_11_02
"ชื่นมื่น! ""บิ๊กตู่"" จับมือ""ไบเดน""เชิญเยือนไทยร่วมประชุมเอเปคปีหน้า",นายกฯ จับมือ ประธานาธิบดีโจ ไบเดน ของสหรัฐ ระหว่างงานเลี้ยงรับรองผู้นำ COP 26 สอบถามสถานการณ์โควิด 19 พร้อมเชิญ เยือนไทยร่วมประชุมเอเปคปีหน้าในโอกาสที่ไทยเป็นเจ้าภาพ,https://www.posttoday.com/politic/news/667038,2021_11_02
ลอบบึ้มใต้2จุดใช้ระเบิดแสวงเครื่อง จนท.เจ็บ5นาย,ยะลา-คืบหน้าเหตุลอบบึ้มใต้ 2จุดในพื้นที่ยะลาและนราธิวาส คนร้ายใช้ระเบิดชนิดแสวงเครื่อง เจ้าหน้าที่ได้รับบาดเจ็บรวม5นาย,https://www.posttoday.com/social/local/667040,2021_11_02
รฟท.เปิดเดินรถเพิ่ม รองรับเดินทางหลังเปิดประเทศ,การรถไฟฯ เปิดให้บริการเดินรถเพิ่ม 46 ขบวน รองรับการเดินทางเพิ่มทั่วประเทศหลังมีการผ่อนคลายมาตรการของ ศบค. และนโยบายเปิดประเทศ,https://www.posttoday.com/social/general/667031,2021_11_02
"""บิ๊กตู่"" ติดตามเปิดประเทศรับ นทท. จี้เร่งแก้รถรับส่งโรงแรม AQ-SHA+ ไม่เพียงพอ",นายกรัฐมนตรีติดตามการเริ่มเปิดประเทศรับนักท่องเที่ยว 1 พ.ย. รับทราบปัญหารถรับส่งโรงแรมAQ และSHA+ ไม่เพียงพอ กำชับหน่วยงานเกี่ยวข้องเร่งแก้ไข,https://www.posttoday.com/politic/news/667043,2021_11_02
กรมบังคับคดีขายทอดตลาดโรงแรมดาราเทวี เชียงใหม่,"กรมบังคับคดี ประกาศขายทอดตลาด ‘โรงแรมดาราเทวี เชียงใหม่’ 12 พย. นี้ ราคาเริ่มประมูล 2,116 ล้านบาท ราคาต่ำกว่า50% จากที่ IFEC ซื้อมาเมื่อปี58",https://www.posttoday.com/social/general/667042,2021_11_02
ราคาทอง 2 พย. ปรับขึ้น 50 บาท,"ทองคำเปิดตลาดปรับขึ้น 50 บาท แท่งขาย28,250รูปพรรณ28,750 บาท",https://www.posttoday.com/finance-stock/news/667045,2021_11_02
บาทเปิด 33.27บาทต่อดอลลาร์ แข็งค่า,เงินบาทเปิดตลาด 33.27บาทต่อดอลลาร์ แข็งค่า หลังดอลลาร์อ่อน ให้กรอบวันนี้ 33.20-33.40 บาทต่อดอลลาร์,https://www.posttoday.com/finance-stock/news/667044,2021_11_02
ชาวนาพิมายเดือดร้อนข้าวน้ำท่วมราคาตกต่ำ,นครราชสีมา - ชาวนาอำเภอพิมายเดือดร้อนหนัก ข้าวเสียหายจากน้ำท่วม เก็บเกี่ยวที่เหลือผึ่งแดดไปขายได้ราคาตกต่ำ วอนโรงสีรับซื้ออย่างน้อยกก.ละ13บาท,https://www.posttoday.com/social/local/667046,2021_11_02
รัฐบาลปัดไฟเขียว 'คิงส์เกต' เปิดเหมืองทองใหม่ แลกเลื่อนแถลงคำชี้ขาดอนุญาโตฯ,โฆษกประจำสำนักนายกฯปัด รัฐบาลไฟเขียว 'คิงส์เกต' เปิดเหมืองทองใหม่ แลกเลื่อนแถลงคำชี้ขาดของอนุญาโตตุลาการ ย้ำคณะกรรมการดำเนินการระงับข้อพิพาทฯ เจรจาโดยยึดประโยชน์สูงสุดของประเทศเป็นหลัก,https://www.posttoday.com/politic/news/667050,2021_11_02
นครศรีฯยอดติดโควิดลดฮวบคาดผลชะลอตรวจกลุ่มเสี่ยงเหตุฝนตก,นครศรีธรรมราช - ยอดติดเชื้อโควิด-19 เมืองคอนลดฮวบเหลือไม่ถึง 200 ราย จากเดิมที่ครองสถิติอันดับต้นของประเทศ ขณะยอดตายสะสมเพิ่มกว่า 200 ราย,https://www.posttoday.com/social/local/667048,2021_11_02
“เชอรีน” คลอดเบบี๋แล้ว! พร้อมตั้งชื่อสุดน่ารัก “น้องจินเจอร์”,เบบี๋มาแล้ว! “เชอรีน” คลอดลูกคนแรก ตั้งชื่อสุดน่ารัก “น้องจินเจอร์”,https://www.posttoday.com/ent/news/667047,2021_11_02
Elon Musk รับคำท้าช่วยโลก พร้อมสละเงิน 2 แสนล้านบาทให้ UN,Elon Musk พร้อมสละเงิน 2% ของเขาให้โครงการอาหารโลกเพื่อช่วยคนอดอยาก หากชี้แจงได้ว่าเงินถูกใช้อย่างไร,https://www.posttoday.com/world/667051,2021_11_02
"นักร้องมาแล้ว!! ""ศรีสุวรรณ""บุกแจ้งเอาผิด 12 แกนนำม็อบ31ตุลา","""ศรีสุวรรณ"" แจ้งความเอาผิด 12 แกนนำการชุมนุมในวันที่ 31 ต.ค. ที่ราชประสงค์ ชี้ฝ่าฝืนกฎหมายหลายฉบับ ซัดก่อความวุ่นวาย สร้างความเดือดร้อนไม่จบสิ้น",https://www.posttoday.com/politic/news/667054,2021_11_02
"""แรมโบ้""ซัด""เพื่อไทย""เสนอแก้ ม.112-116เท่ากับหนุนม็อบ3นิ้ว","""แรมโบ้ อีสาน""ชี้ ""เพื่อไทย""เสนอแก้ไข ม.112และ116เข้าสู่วาระประชุมรัฐสภา เท่ากับหนุนกลุ่มราษฎร เตรียมป่าวประกาศบอกประชาชนอย่าเลือกพรรคหนักแผ่นดินล้มล้างสถาบัน",https://www.posttoday.com/politic/news/667056,2021_11_02
"""ประวิตร""บอกยังไม่ได้คุย หลังจักรทิพย์ถอนตัวลงสมัครผู้ว่าฯ","""ประวิตร"" บอกยังไม่ได้คุย หลังข่าว ""พล.ต.อ.จักรทิพย์"" ประกาศถอนตัวลงสมัครชิงผู้ว่าฯกทม.",https://www.posttoday.com/politic/news/667055,2021_11_02
แอสตร้าฯเผยเพิ่มกำลังผลิตวัคซีนในไทยได้กว่า20%,ประธาน แอสตร้าเซนเนก้า (ประเทศไทย) เผยสามารถเพิ่มการผลิตวัคซีนโควิด-19ในไทยได้กว่า 20% เผยส่งมอบวัคซีนให้ไทยไปแล้ว35.1ล้านโดส,https://www.posttoday.com/social/general/667059,2021_11_02
"""ป๊อก"" เชือดกลับคนแซะ! หลังโพสต์รูปคู่ ""มาร์กี้"" ถูกจวกคู่รักมีตังค์เยอะใช้ทั้งชาติไม่หมด","""ป๊อก"" ตอกกลับคนแซะ! หลังโพสต์รูปคู่ ""มาร์กี้"" โดนจวกป็นคู่รักมีตังค์เยอะใช้ทั้งชาติไม่หมด",https://www.posttoday.com/ent/news/667057,2021_11_02
กว่า 100 ประเทศให้คำมั่น อีก 9 ปีจะไม่มีการตัดไม้ทำลายป่า,ผู้นำโลกจากกว่า 100 ประเทศบรรลุข้อตกลงยุติการตัดไม้ทำลายป่าภายในปี 2030,https://www.posttoday.com/world/667061,2021_11_02
กนอ.เร่งออกทีโออาร์ดึงเอกชนลงทุนตั้งนิคมฯราชทัณฑ์ 5 พื้นที่เป้าหมาย,กนอ.เลือกพื้นที่อีอีซี สมุทรปราการ สมุทรสาคร ตั้งนิคมฯราชทัณฑ์ ล่าสุดเอกชนสนใจ 2- 3 ราย เร่งสำรวจความต้องการทักษะแรงงานให้ตรงกับความถนัดผู้ต้องขัง,https://www.posttoday.com/economy/news/667058,2021_11_02
“นิพนธ์”ลั่นไม่จำเป็นต้องแสดงสปิริตทางการเมือง,"""นิพนธ์""ยันปมซื้อรถสงขลาไม่ใช่เรื่องทุจริต พร้อมรับการตรวจสอบบ เชื่อมั่นไม่กระทบคุณสมบัติรัฐมนตรีและไม่จำเป็นต้องสปิริตทางการการเมือง",https://www.posttoday.com/politic/news/667060,2021_11_02
ศบค. เผย 6 จว.ใต้น่าห่วงติดโควิดรวมกว่า2พัน-ตายพุ่ง,"ศบค. รายงาน ไทยติดโควิดอันดับที่ 24 ของโลก พบผู้ติดเชื้อรายใหม่ 7,574 ราย เสียชีวิต 78 ราย กทม.อันดับ 1 ที่ 789 ราย ขณะที่ 6 จังหวัดภาคใต้ ติดเชื้อพุ่งกว่า 2พันราย -ตายสูง ขณะที่ยอดฉีดวัคซีนสะสมกว่า76 ล้านโดส",https://www.posttoday.com/social/general/667064,2021_11_02
พิษณุโลกเร่งสูบน้ำท่วมนาข้าวหอมมะลิกว่า2หมื่นไร่,พิษณุโลก-อบจ.พิษณุโลกร่วมชลประทานจังหวัด เร่งช่วยสูบน้ำท่วมนาข้าวหอมมะลิกว่า 2 หมื่นไร่ ในพื้นที่อ.บางระกำและอ.เมืองพิษณุโลก,https://www.posttoday.com/social/local/667065,2021_11_02
ชงครม.เคาะกู้เงินโปะกองทุนน้ำมันฯตรึงดีเซลไม่เกิน 30 บาท,พลังงานเดินหน้ากู้เงินเสริมสภาพคล่องกองทุนน้ำมันฯ เตรียมเงินไว้ดูแลดีเซลไม่เกิน 30 บาท ปฏิเสธเคยส่งเงินเข้ารัฐกว่า 2 หมื่นล้านบาทย้ำเงินมีไว้ดูแลเสถียรภาพราคาพลังงานเท่านั้น,https://www.posttoday.com/economy/news/667062,2021_11_02
รพ.สนามธรรมศาสตร์ชี้แจงยุติดีลรับบริจาควัคซีนโมเดอร์น่าจากโปแลนด์,รพ.สนามธรรมศาสตร์ ชี้แจงการยุติรับบริจาควัคซีนโมเดอร์น่าจากโปแลนด์ หลังไม่ได้รับจดหมายกระทรวงต่างประเทศเพื่อยืนยันการเป็นตัวแทนรับบริจาคในนามของรัฐบาลไทย,https://www.posttoday.com/social/general/667069,2021_11_02
จีนบอกประชาชนให้ตุนข้าวของ รับมือโควิดระบาดรอบใหม่,รัฐบาลจีนได้เรียกร้องให้พลเมืองตุนของใช้จำเป็นในชีวิตประจำวัน และให้ทางการหน่วยงานต่างๆ ดำเนินการเพื่อให้แน่ใจว่ามีเสบียงอาหารเพียงพอ หลังจากจีนใช้มาตรการที่เข้มงวดมากขึ้นเพื่อควบคุมการระบาดของโควิด-19 ครั้งล่าสุด,https://www.posttoday.com/world/667068,2021_11_02
ซีเอฟโอ ByteDance ลาออกหันมาคุม TikTok เต็มตัว,ByteDance ของจีนเตรียมปรับองค์กรครั้งใหญ่ ซีเอฟโอลาออกไปคุม TikTok เต็มตัว,https://www.posttoday.com/world/667063,2021_11_02
ผอ.สถาบันนิติฯดันกม.ทำลายโครงกระดูกเก็บอัตลักษณ์บุคคล,พื้นที่ไม่พอฝัง “ศพนิรนาม” กระดูกล้นป่าช้าต้องขุดมาเก็บในตู้คอนเทนเนอร์ ผอ.สถาบันนิติวิทยาศาสตร์เตรียมดันกม.ทำลายโครงกระดูกหลังเก็บอัตลักษณ์บุคคล,https://www.posttoday.com/social/local/667072,2021_11_02
เจอหลอกซะแล้ว คริปโต Squid Game มูลค่าเหลือ 0 ดอลลาร์,คริปโตเคอร์เรนซี่ที่ได้รับแรงบันดาลใจจากซีรีส์ดัง Squid Game ใน Netflix ตอนแรกทำท่าน่าสนใจ ตอนหลังกลายเป็นมวยล้มต้มคนลงทุนไปซะแล้ว,https://www.posttoday.com/world/667071,2021_11_02
"""ประวิตร"" ยัน พปชร.จุดยืนชัดเจน ไม่แก้ ม.112",หัวหน้าพรรคพลังประชารัฐ ยืนยัน พรรคจุดยืนชัดเจน ไม่แก้มาตรา 112,https://www.posttoday.com/politic/news/667081,2021_11_02
เปิดประเทศวัน2หัวหินยังเงียบไร้ต่างชาติเข้าพื้นที่จองห้องพัก,ประจวบคีรีขันธ์-เปิดประเทศวันที่2 หัวหินยังเงียบไม่มีต่างชาติเข้ามา ส่วนคนไทยจองห้องพัก 10% ส่วนโควิดระบาดทั้งประจวบฯพบผู้ป่วยใหม่ 177 เสียชีวิตเพิ่ม3,https://www.posttoday.com/social/local/667079,2021_11_02
