title,summary,link,published
"กรมอุทกศาสตร์ กองทัพเรือ คาดการณ์น้ำหนุนช่วงเดือนต.ค.นี้ วันที่ 9, 10, 11 ในรอบแรก รอบที่ 2 ประมาณวันที่ 22, 23, 24, 25 แต่อยู่ในเกณฑ์การหนุนที่ไม่สูง ประมาณ +1.50 เมตร","กรมอุทกศาสตร์ กองทัพเรือ คาดการณ์น้ำหนุนช่วงเดือนต.ค.นี้ วันที่ 9, 10, 11 ในรอบแรก รอบที่ 2 ประมาณวันที่ 22, 23, 24, 25 แต่อยู่ในเกณฑ์การหนุนที่ไม่สูง ประมาณ +1.50 เมตร",http://news.thaipbs.or.th/breakingnews,01_10_2021
สถานเอกอัครราชทูตสหรัฐอเมริกาประจำประเทศไทย โพสต์ข้อความยินดี ร.ท.อนิรุธ ทองสีมา ทหารไทยคนแรกที่ผ่านการฝึกของหน่วยซีลสหรัฐฯ ได้สำเร็จในรอบ 15 ปี,สถานเอกอัครราชทูตสหรัฐอเมริกาประจำประเทศไทย โพสต์ข้อความยินดี ร.ท.อนิรุธ ทองสีมา ทหารไทยคนแรกที่ผ่านการฝึกของหน่วยซีลสหรัฐฯ ได้สำเร็จในรอบ 15 ปี,http://news.thaipbs.or.th/breakingnews,01_10_2021
"จิสด้า ระบุเส้นทางการจราจรมวลน้ำจะไหลจาก อ.โนนสูง จ.นครราชสีมา ไปยังจ.บุรีรัมย์ ลงแม่น้ำมูล ก่อนลงสู่แม่น้ำโขงที่ จ.อุบลราชธานี ซึ่งภาพรวมจ.นครราชสีมา มีพื้นที่ที่ได้รับผลกระทบจากน้ำท่วมแล้ว 270,000 ไร่","จิสด้า ระบุเส้นทางการจราจรมวลน้ำจะไหลจาก อ.โนนสูง จ.นครราชสีมา ไปยังจ.บุรีรัมย์ ลงแม่น้ำมูล ก่อนลงสู่แม่น้ำโขงที่ จ.อุบลราชธานี ซึ่งภาพรวมจ.นครราชสีมา มีพื้นที่ที่ได้รับผลกระทบจากน้ำท่วมแล้ว 270,000 ไร่",http://news.thaipbs.or.th/breakingnews,01_10_2021
"จิสด้า เผยภาพจากดาวเทียม Pléiades พบพื้นที่น้ำท่วม อ.โนนสูง จ.นครราชสีมา 45,000 ไร่ ส่วนใหญ่กระจายอยู่ในพื้นที่เกษตรกรรมพื้นที่ลุ่มต่ำ บ้านเรือนประชาชน บริเวณริมลำน้ำสายหลัก ลำน้ำย่อย","จิสด้า เผยภาพจากดาวเทียม Pléiades พบพื้นที่น้ำท่วม อ.โนนสูง จ.นครราชสีมา 45,000 ไร่ ส่วนใหญ่กระจายอยู่ในพื้นที่เกษตรกรรมพื้นที่ลุ่มต่ำ บ้านเรือนประชาชน บริเวณริมลำน้ำสายหลัก ลำน้ำย่อย",http://news.thaipbs.or.th/breakingnews,01_10_2021
17.15 น. (30 ก.ย.64) ปภ.ประสาน 8 จังหวัด (ชัยนาท สิงห์บุรี อ่างทอง อยุธยา ลพบุรี สระบุรี ปทุมธานี และนนทบุรี) รวมถึง กทม. เฝ้าระวังระดับน้ำแม่น้ำเจ้าพระยาและแม่น้ำป่าสักเพิ่มสูงขึ้น ช่วงวันที่ 1-5 ต.ค. จัด จนท.ติดตาม เฝ้าระวัง-เตรียมพร้อมช่วยเหลือ 24 ชม.,17.15 น. (30 ก.ย.64) ปภ.ประสาน 8 จังหวัด (ชัยนาท สิงห์บุรี อ่างทอง อยุธยา ลพบุรี สระบุรี ปทุมธานี และนนทบุรี) รวมถึง กทม. เฝ้าระวังระดับน้ำแม่น้ำเจ้าพระยาและแม่น้ำป่าสักเพิ่มสูงขึ้น ช่วงวันที่ 1-5 ต.ค. จัด จนท.ติดตาม เฝ้าระวัง-เตรียมพร้อมช่วยเหลือ 24 ชม.,http://news.thaipbs.or.th/breakingnews,01_10_2021
กอนช. ชี้สัญญาณดี น้ำเหนือมีแนวโน้มลดลงเร่งระบายน้ำด่วนตั้งเป้า 20 วัน ก่อนน้ำทะเลหนุนสูง ช่วง 2-3 วันนี้ รวมทั้งฝนตกชุกรอบใหม่ 9-12 ต.ค.เร่งตัดยอดน้ำออกทางคลองมะขามเฒ่า-ท่าจีน ผันน้ำลงทุ่งออกฝั่งตะวันตก,กอนช. ชี้สัญญาณดี น้ำเหนือมีแนวโน้มลดลงเร่งระบายน้ำด่วนตั้งเป้า 20 วัน ก่อนน้ำทะเลหนุนสูง ช่วง 2-3 วันนี้ รวมทั้งฝนตกชุกรอบใหม่ 9-12 ต.ค.เร่งตัดยอดน้ำออกทางคลองมะขามเฒ่า-ท่าจีน ผันน้ำลงทุ่งออกฝั่งตะวันตก,http://news.thaipbs.or.th/breakingnews,01_10_2021
"นักวิทยาศาสตร์พื้นพิภพ มก.ค้นพบหอยทะเลจิ๋วชนิดใหม่ของโลก พบอยู่ในโครงกระดูกวาฬที่มีอายุกว่า 3,380 ปี ในชั้นดินลึกลงไป 8 เมตรจากระดับน้ำทะเลปานกลาง ตั้งชื่อ “หอยอำแพง” ตามสถานที่พบ ต.อำแพง จ.สมุทรสาคร","นักวิทยาศาสตร์พื้นพิภพ มก.ค้นพบหอยทะเลจิ๋วชนิดใหม่ของโลก พบอยู่ในโครงกระดูกวาฬที่มีอายุกว่า 3,380 ปี ในชั้นดินลึกลงไป 8 เมตรจากระดับน้ำทะเลปานกลาง ตั้งชื่อ “หอยอำแพง” ตามสถานที่พบ ต.อำแพง จ.สมุทรสาคร",http://news.thaipbs.or.th/breakingnews,01_10_2021
"โฆษกรัฐบาล ระบุกระทรวงการคลังโอนคนละครึ่งเฟส 3 เพิ่ม 1,500 เข้าแอปเป๋าตังแล้ว บรรยากาศการจับจ่ายคึกคักจนแอปฯ เป๋าตังล่มช่วงเช้า ""นายกรัฐมนตรี"" ห่วงใยกลุ่มตกหล่นเยียวยา COVID-19 สั่งขยายทบทวนสิทธิถึง 31 ต.ค.นี้","โฆษกรัฐบาล ระบุกระทรวงการคลังโอนคนละครึ่งเฟส 3 เพิ่ม 1,500 เข้าแอปเป๋าตังแล้ว บรรยากาศการจับจ่ายคึกคักจนแอปฯ เป๋าตังล่มช่วงเช้า ""นายกรัฐมนตรี"" ห่วงใยกลุ่มตกหล่นเยียวยา COVID-19 สั่งขยายทบทวนสิทธิถึง 31 ต.ค.นี้",http://news.thaipbs.or.th/breakingnews,01_10_2021
องค์การสหประชาชาติและสหรัฐอเมริกาประณามการสังหารแกนนำชุมชนชาวโรฮิงญาในค่ายผู้อพยพ พร้อมทั้งเรียกร้องให้ทางการบังกลาเทศเร่งสืบสวนเหตุโจมตีในครั้งนี้,องค์การสหประชาชาติและสหรัฐอเมริกาประณามการสังหารแกนนำชุมชนชาวโรฮิงญาในค่ายผู้อพยพ พร้อมทั้งเรียกร้องให้ทางการบังกลาเทศเร่งสืบสวนเหตุโจมตีในครั้งนี้,http://news.thaipbs.or.th/breakingnews,01_10_2021
เกาหลีเหนือเปิดฉากทดสอบขีปนาวุธเป็นครั้งที่ 4 ภายในระยะเวลา 1 เดือน สวนทางกับท่าทีของผู้นำสูงสุดที่เอ่ยปากต้องการประนีประนอมกับเกาหลีใต้ให้มากขึ้น,เกาหลีเหนือเปิดฉากทดสอบขีปนาวุธเป็นครั้งที่ 4 ภายในระยะเวลา 1 เดือน สวนทางกับท่าทีของผู้นำสูงสุดที่เอ่ยปากต้องการประนีประนอมกับเกาหลีใต้ให้มากขึ้น,http://news.thaipbs.or.th/breakingnews,01_10_2021
