title,summary,link,published
ตาลีบันยกย่องมือระเบิดพลีชีพ เล็งช่วยเหลือให้เงิน-ที่ดินแก่ครอบครัว,รัฐมนตรีมหาดไทยของตาลีบัน กล่าวยกย่องมือระเบิดพลีชีพที่เสียชีวิตระหว่างการทำสงครามกับรัฐบาลชุดก่อน และกลุ่มพันธมิตรชาติตะวันตก และเสนอมอบเงินและที่ดินให้แก่ครอบครัวของพวกเขาด้วย,https://www.thairath.co.th/news/foreign/2224192,2021_10_21
หนีไม่รอด &quot;พ่อเลี้ยงซาดิสต์&quot; ฆ่า 8 ขวบ-ทารุณจนดับ ถูกจับ-จนมุมกุยบุรี,"พ่อเลี้ยงโหด จับ 8 ขวบ มัดโยงขื่น ""เฆี่ยน-ตื๊บ"" จนดับ ถูกตำรวจตะครุบตัวได้แล้ว ที่ อ.กุยบุรี ขณะขี่ จยย.หลบหนีมาจาก จ.สระบุรี พื้นที่ก่อเหตุ สอบสวนเบื้องต้นยอมรับเป็นคนตามหมายจับ กำลังหลบหนี",https://www.thairath.co.th/news/crime/2224202,2021_10_21
สิงคโปร์ขยายเวลาคุมโควิดถึง 21 พ.ย. ลดแรงกดดันระบบสาธารณสุข,สิงคโปร์จะขยายเวลามาตรการควบคุมการระบาดของไวรัสโควิด-19 ออกไปอีก 1 เดือน เนื่องจากจำนวนผู้ติดเชื้อในประเทศยังสูง,https://www.thairath.co.th/news/foreign/2224197,2021_10_21
รมว.ยุติธรรม เล็งทำ ก.ม.ให้ทันสมัย เพื่อความสะดวกในการทำงานช่วย ปชช.,รมว.ยุติธรรม เตรียมเร่งสร้างเครื่องมือให้ทำงานสะดวก ช่วยประชาชนได้ง่ายขึ้น ทำกฎหมายให้ทันสมัย อะไรที่ล้าสมัยอย่ากลัวที่จะแก้ เล็งพัฒนาระบบช่วยชาวบ้านโดนความเสียหายจากรัฐ,https://www.thairath.co.th/news/local/2224196,2021_10_21
สาวสวมเสื้อชิสุกะ ย่องเข้าบ้านหยิบไอโฟน โชคดีเห็นก่อน อ้างมาหาเพื่อนชื่อกระแต (คลิป),"หนุ่มแชร์โพสต์ สาวแต่งชุดชิสุกะ ย่องเข้าบ้าน กำลังจะหยิบมือถือ แต่โชคดีเห็นก่อน เลยจับตัวไว้ได้ อ้างมาตามหาเพื่อนชื่อ ""กระแต"" พร้อมยังขอให้เจ้าของบ้าน ช่วยพาไปส่งที่รถด้วย",https://www.thairath.co.th/news/society/2224465,2021_10_21
CKPower แข็งแกร่ง หุ้นกู้ 2 พันล้าน ยอดจองเกินเป้า เตรียมพร้อมออกหุ้นกู้ไซยะบุรีต่อปีหน้า,"นายธนวัฒน์ ตรีวิศวเวทย์ กรรมการผู้จัดการ บริษัท ซีเค พาวเวอร์ จำกัด (มหาชน) (CKPower) ชื่อย่อหลักทรัพย์ “CKP” เปิดเผยว่า CKPower ได้เสนอขายหุ้นกู้ครั้งที่ 2/2564 มูลค่า 2,000 ล้านบาท",https://www.thairath.co.th/business/investment/2224447,2021_10_21
สรุปให้ ดราม่าส่อตีกลับแฟนเก่า คิมซอนโฮ ลบโพสต์ ขอโทษ เตรียมฟ้องชาวเน็ต,นางสาวเอ อดีตแฟนสาวของ คิมซอนโฮ ขอโทษที่ทำให้อีกฝ่ายเสียหาย ตอนนี้ได้รับคำขอโทษแล้ว และลบโพสต์ออกไปเรียบร้อย พร้อมเตรียมทนายฟ้อง หลังถูกโซเชียลมีเดียปล่อยข้อมูลส่วนตัว,https://www.thairath.co.th/entertain/inter/2224352,2021_10_21
แตกหนึ่ง &quot;จนท.สนาม&quot; เจอแข้งนอกลีกซัดจุดโทษโดนเต็มหัว เอฟเอ คัพ รอบคัดเลือก (คลิป),ชมคลิปความโชคร้ายของเจ้าหน้าที่สนามในศึกเอฟเอ คัพ รอบคัดเลือก ที่เจอนักเตะทีมนอกลีกซัดจุดโทษโดนเต็มหัว แต่ตอนท้ายจบแบบหักมุม,https://www.thairath.co.th/sport/eurofootball/otherleague/2224435,2021_10_21
อดีตประธานาธิบดีทรัมป์ เปิดตัวโซเชียลมีเดียของตัวเองในชื่อ Truth Social,อดีตประธานาธิบดีโดนัลด์ ทรัมป์ ซึ่งถูกแบนจากแพลตฟอร์มหลักอย่างเฟซบุ๊กและทวิตเตอร์ เปิดตัวแพลตฟอร์มของตัวเองในชื่อ Truth Social,https://www.thairath.co.th/news/tech/2224440,2021_10_21
รัฐบาล ขอบคุณ “แซค แอฟรอน” โพสต์ภาพทะเลภูเก็ต เผย กทม.ติด Top 10 Workation,โฆษกรัฐบาล ขอบคุณ “แซค แอฟรอน” โพสต์ภาพทะเลภูเก็ต ผ่าน Instagram ระบุข้อความตอนหนึ่งว่า “มีความสุขมาก ที่ได้มาเยือนไทย” ขณะที่ผลสำรวจ Holidu.co.uk เผย กรุงเทพฯ ติดอันดับ Top 10 Workation ที่,https://www.thairath.co.th/news/politic/2224421,2021_10_21
J&T Express Thailand ปูพรมส่งมอบความช่วยเหลือทั่วประเทศไทย ในโครงการ “ปันน้ำใจเพื่อคนไทย”,J&T Express Thailand ผู้ให้บริการขนส่งพัสดุด่วนทั่วประเทศไทย เดินหน้าปูพรม ส่งมอบความช่วยเหลือทุกพื้นที่ทั่วไทยในโครงการ “ปันน้ำใจเพื่อคนไทย”,https://www.thairath.co.th/business/other/2224401,2021_10_21
"อีกขั้นของแอปฯ 'เป๋าตัง' ครั้งแรกในเอเชีย! ซื้อ-ขายหุ้นกู้ดิจิทัลปตท.สผ.ลงทุนเริ่มต้นเพียง1,000บาท",การเปิดขายหุ้นกู้ดิจิทัล ปตท. สผ. ผ่านวอลเล็ตบนแอปฯ เป๋าตัง กลายเรื่องน่าตื่นเต้นที่สุด เรื่องหนึ่งในตลาดการลงทุนขณะนี้เลยก็ว่าได้,https://www.thairath.co.th/business/investment/stockexchange/2221960,2021_10_21
&quot;บีจี ปทุม ยูไนเต็ด&quot; ได้เฮหลังผู้ว่าฯไฟเขียวให้แฟนบอลเข้าสนาม 25%,"""บีจี ปทุม ยูไนเต็ด"" ได้เฮ หลังจากที่ คณะกรรมการโรคติดต่อจังหวัดปทุมธานี อนุญาตให้มีผู้ชมในสนาม 25 เปอร์เซ็นต์ของความจุสนามเหย้า",https://www.thairath.co.th/sport/thaifootball/thaipremierleague/2224407,2021_10_21
ค้านตั้ง ศบค.ส่วนหน้า ชี้ โควิดชายแดนใต้ คลี่คลายได้ ต้องอาศัยไว้วางใจ,ค้านตั้ง ศบค.ส่วนหน้า วิโรจน์ ลักขณาอดิศร โฆษกก้าวไกล ชี้ 2 ปัจจัย โควิด-19 จังหวัดชายแดนใต้ จะคลี่คลายได้ต้องอาศัยความไว้วางใจ ไม่ใช่ความมั่นคงอย่างเดียว,https://www.thairath.co.th/news/politic/2224411,2021_10_21
Paypal เจรจาซื้อ Pinterest ในราคา 3.9 หมื่นล้านดอลลาร์สหรัฐ,เพย์พาล (Paypal)ตกเป็นข่าวกำลังอยู่ระหว่างการเจรจาเพื่อหาความเป็นไปได้ในการเข้าซื้อพินเทอเรสต์ (Pinterest)โดยเพย์พาลเห็นประโยชน์จากการเข้าซื้อครั้งนี้ว่าจะได้รับประโยชน์จากการช็อปปิ้งออนไลน์,https://www.thairath.co.th/news/tech/2224417,2021_10_21
MEA ระดมเจ้าหน้าที่ลงพื้นที่ช่วยเหลือผู้ประสบอุทกภัยต่อเนื่อง และตรวจสอบระบบไฟฟ้าเพื่อความปลอดภัย,MEA หรือ การไฟฟ้านครหลวง ระดมเจ้าหน้าที่ลงพื้นที่ต่อเนื่อง ตรวจสอบอุปกรณ์ไฟฟ้า ระบบจำหน่ายไฟฟ้า และส่งมอบถุงยังชีพในชุมชนต่าง ๆ ที่ประสบอุทกภัย เพื่อความปลอดภัย,https://www.thairath.co.th/business/other/2224362,2021_10_21
อดีตพระยันตระ กลับไทย ฉลองวันเกิด 70 ปี คนสงสัย พระสงฆ์ก้มกราบ (คลิป),โลกโซเชียลมีการแชร์ภาพอดีตพระยันตระ เดินทางกลับไทย ฉลองวันเกิด 70 ปี โดยมีลูกศิษย์เข้าร่วมพิธีจำนวนมาก ขณะที่หลายคนสงสัย หลังมีภาพพระสงฆ์ก้มกราบ,https://www.thairath.co.th/news/society/2224412,2021_10_21
ร้านอาหารในจีนระเบิด ดับ 1 ศพ เจ็บ 33 ราย คาดเกิดจากแก๊สรั่ว,ร้านอาหารในมณฑลเหลียวหนิง ประเทศจีน เกิดระเบิดขึ้นอย่างรุนแรง อาคารและพื้นที่โดยรอบเสียหายยับ กู้ภัยเร่งอพยพประชาชน คาดต้นเหตุเกิดจากแก๊สรั่ว,https://www.thairath.co.th/news/foreign/2224385,2021_10_21
&quot;ธนาธร&quot; ออกหน้า ช่วย &quot;เบนจา&quot; เป็นนายประกัน ยื่นหลักทรัพย์ 2 แสน,ธนาธร จึงรุ่งเรืองกิจ ประธานคณะก้าวหน้า ออกหน้าเป็นนายประกัน “เบนจา” บอก อนาคตของชาติ ควรได้สิทธิ์ประกัน อ้าง ปลุกสำนึกความยุติธรรมในสังคม มอง ม.112 เป็นเครื่องมือปิดปากประชาชนของรัฐบาล,https://www.thairath.co.th/news/politic/2224396,2021_10_21
