title,summary,link,published
มหาเศรษฐี Mark Cuban ออกมาปกป้อง Dogecoin จากการแซะของพวก Bitcoin Maximalist,,https://th.investing.com/news/cryptocurrency-news/article-58970,2021-10-17 12:40:10
NFT Geniuses Ep5: ยูทูปเบอร์ชื่อดังชาวไทย ผู้มีผลงาน NFT มูลค่ารวมกว่า 389 ETH,,https://th.investing.com/news/cryptocurrency-news/article-58966,2021-10-17 08:10:09
แพลทฟอร์ม Bitcoin Futures ชื่อดัง Bakkt เตรียมเข้าตลาดหลักทรัพย์ NYSE วันพรุ่งนี้,,https://th.investing.com/news/cryptocurrency-news/article-58965,2021-10-17 06:10:12
ราคาเหรียญ Bitkub Coin พุ่งแตะ 27.85 บาท ไม่กี่วันก่อนเปิดตัวเกม Morning Moon Village,,https://th.investing.com/news/cryptocurrency-news/article-58964,2021-10-17 06:10:09
รัฐบาลสหรัฐฯ สั่งให้ Tether จ่ายเงินค่าปรับเป็นจำนวน 41 ล้านดอลลาร์,,https://th.investing.com/news/cryptocurrency-news/article-58963,2021-10-17 04:40:10
มีโครงการกว่า 160 โครงการที่เตรียมเปิดตัวบน Terra (LUNA) ในปีหน้า,,https://th.investing.com/news/cryptocurrency-news/article-58962,2021-10-17 03:10:09
ผู้เชี่ยวชาญคาด ธนาคารกลางอังกฤษจะมาไล่ซื้อ Bitcoin ก่อนราคาพุ่งแตะ 1 ล้านดอลลาร์,,https://th.investing.com/news/cryptocurrency-news/article-58961,2021-10-17 02:10:09
กองทุน Jacobi Asset ได้รับอนุมัติให้เปิดตัวกองทุน Bitcoin ETF แล้ว,,https://th.investing.com/news/cryptocurrency-news/article-58957,2021-10-16 16:10:09
เจ้ามือโอนเหรียญ Shiba Inu จำนวน 2.6 แสนล้าน SHIB ท่ามกลางราคาที่พยายามฟื้นตัว,,https://th.investing.com/news/cryptocurrency-news/article-58955,2021-10-16 12:10:09
Elon Musk มีทรัพย์สินเทียบเท่ากับเหรียญ Dogecoin จำนวน 8.61 แสนล้าน DOGE แล้ว,,https://th.investing.com/news/cryptocurrency-news/article-58954,2021-10-16 10:40:09
