title,summary,link,published
โคราชแจ้งเตือนลุ่มน้ำลำเชียงไกร-ลำตะคอง รับมือฝนตกหนัก,ประกาศกองอำนวยการป้องกันและบรรเทาสาธารณภัยจังหวัดนครราชสีมา แจ้งเตือนพื้นที่ลุ่มน้ำลำเชียงไกรและลุ่มน้ำลำตะคอง ระบุว่า ด้วยศูนย์บัญชาการเหตุการณ์จังหวัดนครราชสีมา ได้รับแจ้งจากโครงการชลประทานนครราชสีมา และโครงการส่งน้ำและบำรุงรักษ,https://mgronline.com/uptodate/detail/9640000102911,"Sun, 17 Oct 2021 12:51:43 GMT"
“ไพศาล”เผย 9 ชาติไม่ให้พม่าเข้าร่วมประชุมสุดยอดอาเซียน,นายไพศาล พืชมงคล อดีตกรรมการผู้ช่วย รองนายกรัฐมนตรี (พล.อ.ประวิตร วงษ์สุวรรณ) โพสต์เฟซบุ๊ก paisal puechmongkol ระบุว่า ด่วนมากอาเซียนแตก อาเซียน 9 ชาติไม่ให้พม่าซึ่งเป็นสมาชิกเข้าร่วมประชุมสุดยอดอาเซียน รัฐบาลพม่าประท้วงว่า เป็นกา,https://mgronline.com/uptodate/detail/9640000102908,"Sun, 17 Oct 2021 12:41:44 GMT"
นครปฐมพบผู้ติดเชื้อโควิดรายใหม่ 73 ราย ดับ 1 ราย,"สถานการณ์โควิด-19 จังหวัดนครปฐมประจำวันที่ 17 ตุลาคม 2564? มีผู้ป่วยรายใหม่ 73 ราย ผู้ป่วยสะสม 34,019 ราย เสียชีวิตเพิ่ม 1 ราย รวมสะสม 594 รายลำดับผู้ป่วยรายอำเภออำเภอกำแพง?แสน ?30 ราย อำเภอเมือง ?15 รายอำเ",https://mgronline.com/uptodate/detail/9640000102904,"Sun, 17 Oct 2021 12:27:28 GMT"
เชียงใหม่แจ้งผู้ที่เดินทางไป 7 สถานที่ 10-17 ต.ค.ขอให้สังเกตอาการ 14 วัน,เชียงใหม่ออกประกาศแจ้งผู้ที่มีประวัติเดินทางไปหรือใช้บริการหรือสัมผัสพนักงานในสถานที่ดังต่อไปนี้-ตลาดวโรรส (กาดหลวง) ตำบลช้างม่อย อำเภอเมืองเชียงใหม่-ตลาดต้นพยอม ตำบลสุเทพ อำเภอเมืองเชียงใหม่-สภ.แม่ริม ตำบลริมใต้ อำเภอแม่ริม-ร้านอ,https://mgronline.com/uptodate/detail/9640000102902,"Sun, 17 Oct 2021 12:18:20 GMT"
กรมศุลกากรแจงลอตเตอรีหายระหว่างทางเกาหลี-ไทย ยัน จนท.ไม่เกี่ยวข้อง,นายชัยยุทธ คำคุณ ที่ปรึกษาด้านพัฒนาระบบควบคุมทางศุลกากร ในฐานะโฆษกกรมศุลกากร เปิดเผยว่า ตามที่มีกระแสข่าว เมื่อวันที่ 15 ต.ค.64 เกี่ยวกับสิ่งของพร้อมลอตเตอรีหายไประหว่างการส่งพัสดุจากประเทศเกาหลีมายังประเทศไทย และมีการนำส่งต่อไปให,https://mgronline.com/uptodate/detail/9640000102899,"Sun, 17 Oct 2021 12:07:10 GMT"
ปทุมธานีพบผู้ติดเชื้อโควิดรายใหม่ 66 ราย,สำนักงานสาธารณสุขจังหวัดปทุมธานี รายงานสถานการณ์โรคติดเชื้อไวรัสโคโรนา 2019 (COVID-19) จังหวัดปทุมธานี ประจำวันที่ 17 ตุลาคม 2564 มีผู้ติดเชื้อรายใหม่จากระบบเฝ้าระวังและระบบบริการ 66 ราย แบ่งเป็นเพศชาย 29 ราย เพศหญิง 37 ราย รักษาอ,https://mgronline.com/uptodate/detail/9640000102889,"Sun, 17 Oct 2021 11:27:52 GMT"
ภารกิจเสินโจว 13 พร้อมนักบินอวกาศมุ่งหน้าถึงสถานีอวกาศแห่งใหม่ของจีนแล้ว,เพจสถาบันวิจัยดาราศาสตร์แห่งชาติ โพสต์ระบุว่า ภารกิจอวกาศครั้งนี้ถือเป็นครั้งที่ 2 ที่มีนักบินอวกาศเดินทางเพื่อไปปฏิบัติภารกิจบนสถานีอวกาศแห่งใหม่ของจีน และความพิเศษในครั้งนี้คือมี “หวาง ย่าผิง” นักบินอวกาศหญิงคนแรกที่เดินทางไปปฏิ,https://mgronline.com/uptodate/detail/9640000102888,"Sun, 17 Oct 2021 11:24:46 GMT"
“สุดารัตน์”แนะ รบ.ขยายมาตรการพักหนี้ทั่วไปอีก เชื่อลูกหนี้ไม่มีเงินมาชำระ,คุณหญิงสุดารัตน์ เกยุราพันธุ์ ประธานพรรคไทยสร้างไทย โพสต์เฟซบุ๊ก คุณหญิงสุดารัตน์ เกยุราพันธุ์ Sudarat Keyuraphan ระบุว่า ไทยสร้างไทย ประเมินสถานการณ์ลูกหนี้ในระบบยังย่ำแย่ไม่มีเงินมาชำระหนี้ วอนให้ขยายมาตรการพักหนี้เป็นการทั่วไปต,https://mgronline.com/uptodate/detail/9640000102887,"Sun, 17 Oct 2021 11:22:14 GMT"
กรุงไทยแจ้งเวลาเปิดบริการสาขาในห้างถึง 6 โมงเย็น เริ่มพรุ่งนี้,ธนาคารกรุงไทยขอแจ้งขยายเวลาเปิดบริการสาขาในห้างสรรพสินค้า/คอมมูนิตี้มอลล์ เปิดให้บริการไม่เกิน 18:00 น. ตั้งแต่วันที่ 18 ตุลาคม 2564 เป็นต้นไปธนาคารขอจำกัดจำนวนช่องบริการ และจำนวนลูกค้าในสาขา เพื่อเว้นระยะห่างที่เหมาะสม งดให้บริกา,https://mgronline.com/uptodate/detail/9640000102886,"Sun, 17 Oct 2021 11:18:53 GMT"
แผ่นดินไหว อ.แม่วาง 1.5 ริกเตอร์ ไม่มีรายงานความเสียหาย,วันนี้ (17 ต.ค.) เวลา 16:25 น. เกิดแผ่นดินไหว ต.แม่วิน อ.แม่วาง จ.เชียงใหม่ ขนาด 1.5 ตามมาตราริกเตอร์ ลึกจากผิวดิน 1 กิโลเมตร ไม่มีรายงานความเสียหาย,https://mgronline.com/uptodate/detail/9640000102884,"Sun, 17 Oct 2021 11:11:37 GMT"
