title,summary,link,published
สานฝันเฟ้นหา 10 ยช.ใต้ ไปฝึกฟุตบอลกับสโมสรอ็อกฟอร์ดยูไนเต็ด ในอังกฤษ,สงขลา-17 ต.ค.64  การแถลงข่าว ฟุตบอลชิงแชมป์เยาวชนสานฝัน [&#8230;],https://tna.mcot.net/sport-805231,"Sun, 17 Oct 2021 16:55:18 +0000"
บัญชีธนาคารป่วน หลายคนระบุถูกแฮกพร้อมกัน,เจ้าของบัญชีธนาคารจำนวนมากร้องเรียนโดนตัดเงินหลายรายการ ส่วนใหญ่เป็นการซื้อสินค้าบริการผ่านบัตรเดบิตและตัดเงินจากบัญชีธนาคาร,https://tna.mcot.net/crime-805160,"Sun, 17 Oct 2021 14:15:11 +0000"
ข่าวในพระราชสำนัก วันอาทิตย์ที่ 17 ตุลาคม พ.ศ.2564,ข่าวในพระราชสำนัก วันอาทิตย์ที่ 17 ตุลาคม พ.ศ.2564,https://tna.mcot.net/royal-805153,"Sun, 17 Oct 2021 14:13:42 +0000"
ความพร้อมนิวคาสเซิล พบ สเปอร์ส ศึกพรีเมียร์ลีก,"สตีฟ บรูซ กุนซือนิวคาสเซิล ยูไนเต็ด จะลงคุมทีมนัดที่ 1,000 พบกับท็อตแนม ฮอตสเปอร์ส ในศึกฟุตบอลพรีเมียร์ลีก อังกฤษ",https://tna.mcot.net/sport-805159,"Sun, 17 Oct 2021 14:01:39 +0000"
น้ำป่าทะลักท่วมถนนสายตาก-แม่สอด,ฝนที่ตกหนักต่อเนื่องตลอดทั้งคืนในพื้นที่ จ.ตาก ส่งผลให้น้ำป่าไหลหลากและดินโคลนสไลด์ลงมากีดขวางการจราจรหลายจุด เจ้าหน้าที่ระดมเครื่องสูบน้ำเร่งระบายน้ำลงสู่ลำห้วยด้านข้างทางอย่างต่อเนื่อง,https://tna.mcot.net/region-805158,"Sun, 17 Oct 2021 13:14:20 +0000"
หญิงผู้ต้องสงสัยตัดเชือกช่างโรยตัวซ่อมคอนโด เข้าให้ปากคำ ตร.,หญิงต้องสงสัยตัดเชือกช่างโรยตัวซ่อมคอนโดฯ เข้าให้ปากคำตำรวจแล้ว ยันไม่มีส่วนเกี่ยวข้อง ด้านช่างยอมรับยังหวาดกลัว อยากถามทำไมต้องตัดเชือก,https://tna.mcot.net/region-805157,"Sun, 17 Oct 2021 12:59:53 +0000"
คนดังร่วมอาลัย “บรูซ แกสตัน-อ๊อด คีรีบูน”,"เหล่าคนดังในวงการเพลงร่วมแสดงความอาลัยต่อการจากไปของ ""อาจารย์บรูซ แกสตัน"" ด้านเบิร์ด ธงไชย โพสต์เฟซบุ๊ก ร่วมอาลัย ""อ๊อด คีรีบูน"" และ ""อาจารย์บรูซ แกสตัน""",https://tna.mcot.net/entertainment-805156,"Sun, 17 Oct 2021 12:45:44 +0000"
อาลัย “อ๊อด คีรีบูน” ศิลปินชื่อดัง เจ้าของเพลง “รอวันฉันรักเธอ”,วงการเพลงสตริงต้องสูญเสียศิลปินระดับคุณภาพ เมื่อ รณชัย ถมยาปริวัฒน์ หรือ “อ๊อด คีรีบูน” ศิลปินชื่อดังยุค 80 เสียชีวิตด้วยอาการป่วยจากมะเร็งสมอง ในวัย 57 ปี เมื่อช่วงค่ำวานนี้ คนบันเทิงและแฟนคลับร่วมไว้อาลัย,https://tna.mcot.net/social-805155,"Sun, 17 Oct 2021 12:24:39 +0000"
จับร้านอาหารย่านสุขุมวิท ฝืนพ.ร.ก.ฉุกเฉิน,ตำรวจ ดส. ร่วม สน.ลุมพินี เข้าจับกุมร้านอาหารย่านสุขุมวิท ฝ่าฝืนพ.ร.ก.ฉุกเฉิน ขายแอลกอฮอล์ให้นั่งกินในร้าน รวบผู้จัดการร้าน - 116 นักเที่ยว,https://tna.mcot.net/crime-805148,"Sun, 17 Oct 2021 10:47:06 +0000"
“จิราพร” ห่วงปมเข้า CPTPP แนะเร่งรีบอาจได้ไม่คุ้มเสีย,“จิราพร” ท้วง “ประยุทธ์” จะเข้า CPTPP ดูรอบคอบแล้วหรือยัง ห่วงเร่งรีบจะได้ไม่คุ้มเสีย ชี้อย่าให้เสียหายซ้ำรอยเหมืองทองอัครา,https://tna.mcot.net/politics-805136,"Sun, 17 Oct 2021 10:00:13 +0000"
