title,summary,link,published
ให้ภาพเล่าเรื่อง... ทหารจิตอาสาอุ้มคุณยาย รับ-ส่งปชช.กลับบ้าน,"ให้ภาพเล่าเรื่อง... ทหารจิตอาสาอุ้มคุณยาย รับ-ส่งปชช.กลับบ้านพัก หลังน้ำท่วมสูง

26 ก.ย.64 กำลังพลชุดบรรเทาสาธารณภัย พร้อมด้วยยุทโธปกรณ์ จากกองพันส่งกำลังและบริการที่ 23 กองบัญชาการช่วยรบที่ 3 ลงพื้นที่ช่วยเหลือประชาชนที่ประสบเหตุอุทกภัยน้ำท่วมฉับพลัน ด้วยการกรอกกระสอบทรายเพื่อนำไปทำแนวกั้นทางน้ำในพื้นที่บ้านนากลาง หมู่ที่ 7 ตำบลบางขลัง อำเภอสวรรคโลก จังหวัดสุโขทัย รวมทั้งนำกำลังพลประจำรถครัวสนาม พร้อมทหารจิตอาสาพระราชทาน ออกตั้งโรงครัวสนามประกอบอาหารปรุงสุก ร่วมกับ ศูนย์ป้องกันและบรรเทาสาธารณภัย เขต 9 พิษณุโลก เพื่อแจกจ่ายมอบอาหารปรุงสุกใหม่ให้กับประชาชนที่ประสบภัยน้ำท่วมฉับพลันในพื้นที่ตำบลบ้านซ่าน ณ วัดบ้านซ่าน ตำบลบ้านซ่าน อำเภอศรีสำโรง จังหวัดสุโขทัย ซึ่งได้จัดทำเป็นข้าวกล่องแจกจ่าย จำนวน 1,000 กล่องรวมทั้ง กองพันซ่อมบำรุงที่ 23 กองบัญชาการช่วยรบที่ 3 จัดกำลังพลชุดบรรเทาสาธารณภัย และชุดปฏิบัติการกิจการพลเรือน ขุนอาสา338 พร้อมด้วยยุทโธปกรณ์ ร่วมกับ องค์การบริหารส่วนตำบลวังใหญ่,ผู้นำชุมชน ,มูลนิธิกู้ภัยและประชาชนในพื้นที่ ดำเนินการ กรอกกระสอบทราย ขนกระสอบทรายกั้นน้ำไม่ให้ไหลเข้าวัดเตว็ดใน หมู่ 4 ตำบลวังใหญ่ อำเภอศรีสำโรง จังหวัดสุโขทัย และ ติดตั้งเครื่องสูบน้ำ ไม่ให้น้ำท่วมพื้นที่สำคัญของวัดเตว็ดใน 







นอกจากนี้ กองพันทหารเสนารักษ์ที่ 23 กองบัญชาการช่วยรบที่ 3 จัดกำลังพลชุดบรรเทาสาธารณภัย และจิตอาสาภัยพิบัติ ดำเนินการรับ - ส่งประชาชนที่มีความประสงค์จะเดินทางจากบริเวณเชิงสะพานพระร่วง ไปยัง ห้างสรรพสินค้า บิ๊กซี ซูเปอร์เซ็นเตอร์ สุโขทัย อำเภอเมือง จังหวัดสุโขทัยรวมทั้งกำลังพลทหารจิตอาสาภัยพิบัติ ได้ดำเนินการรับ - ส่งผู้ป่วยจากโรงพยาบาลสุโขทัย เพื่อส่งกลับบ้านพักอาศัยบริเวณใกล้ห้างสรรพสินค้า บิ๊กซี ซุปเปอร์เซ็นเตอร์ สุโขทัย โดยคุณป้าซึ่งเป็นผู้ป่วยรายดังกล่าว เมื่อลงจากรถบรรทุกที่หน่วยทหารนำมาบริการอำนวยความสะดวกรับ - ส่งผู้ป่วย และประชาชนในพื้นที่ประสบอุทกภัยแล้วนั้น ทหารจิตอาสานายหนึ่งได้ลงมาอุ้มคุณป้า เดินลุยฝ่ากระแสน้ำที่ท่วมขังสูง ไปส่งที่บ้านพักอาศัยอย่างปลอดภัย และนอกจากพี่ๆ ทหาร จะขับรถรับ - ส่งประชาชนที่ต้องการเดินทางไปยังจุดต่างๆ ในพื้นที่เขตเทศบาลเมืองสุโขทัยธานี แล้ว ยังรับคุณแม่ที่อุ้มลูกน้อยส่งถึงที่หมายอย่างปลอดภัย ด้วยความรักและห่วงใยต่อประชาชนในยามสถานการณ์ที่ยากลำบากนี้. -008",https://www.naewna.com/likesara/604839,2021-09-26 20:09:41
เพิ่มโอกาสค้าขาย! 'สมาคมภัตตาคารไทย'ร้องนายกฯ ขอปิดร้านอาหาร 4 ทุ่ม,เมื่อวันที่ 26 กันยายน 2564 นางฐนิวรรณ กุลมงคล นายกสมาคมภัตตาคารไทย ได้ทำหนังสือยื่นถึง พล.อ.ประยุทธ์ จันทร์โอชา นายกรัฐมนตรี ในฐานะผู้อำนวยการศูนย์บริหารสถานการณ์การแพร่ระบาดของโรคติดเชื้อไวรัสโคโรนา 2019 (โควิด-19) หรือ ศบค. โดยขอเสนอให้พิจารณาปิดร้านอาหารเป็น 22.00 น.โดยมีเนื้อหาดังต่อไปนี้,https://www.naewna.com/local/604836,2021-09-26 20:03:12
จับตานายกฯถกศบค.27 ก.ย. คาดขยาย‘พรก.ฉุกเฉิน-ปรับแผนเปิดรับนทท.’,"จับตานายกฯถกศบค.27 ก.ย. คาดขยายพรก.ฉุกเฉิน-ปรับแผนเปิดรับนทท.

26 กันยายน 2564 ผู้สื่อข่าวรายงานจากทำเนียบรัฐบาล ว่า ในการประชุมคณะกรรมการบริหารสถานการณ์การแพร่ระบาดของโรคติดเชื้อไวรัสโคโรนา 2019 (โควิด-19) หรือ ศบค.ชุดใหญ่ ครั้งที่ 15/2564 ที่มี พล.อ.ประยุทธ์ จันทร์โอชา นายกรัฐมนตรี และรัฐมนตรีว่าการกระทรวงกลาโหม ในฐานะผอ.ศบค. เป็นประธานการประชุมในเวลา 10.30 น. ผ่านระบบการประชุมทางไกล(วีดีโอคอนเฟอเรนซ์) วันที่ 27 กันยายน นี้ จะเริ่มด้วยเรื่องที่ประธานแจ้งให้ที่ประชุมทราบ และรับรองรายงานการประชุม ศบค.ครั้งที่ 14/2564 เมื่อวันที่ 10 กันยายน 2564 ที่ผ่านมา

จากนั้นศูนย์ปฏิบัติการฉุกเฉินด้านการแพทย์และสาธารณสุขกรณีโรคติดเชื้อ โควิด-19 (ศปก.สธ.) จะรายงานสถานการณ์และคาดการณ์แนวโน้มการแพร่ระบาดและผู้ติดเชื้อ , กระทรวงแรงงานรายงานเรื่องการปรับรายละเอียดของโครงการแฟ็คทอรี่แซนด์บ็อกซ์ ระยะที่2 , กระทรวงพลังงานรายงานเรื่องการแก้ไขผลกระทบที่เกิดจากการปฏิบัติตามคำสั่ง ศบค. ฉบับที่ 12/2564 กรณีผู้เดินทางเข้าออกราชอาณาจักรทางน้ำเพื่อปฏิบัติภารกิจที่เกี่ยวข้องกับกิจการปิโตรเลียม

นอกจากนี้ ศบค.จะพิจารณาความเหมาะสมในการขยายระยะเวลาประกาศสถานการณ์ฉุกเฉินในทุกเขตท้องที่ทั่วราชอาณาจักร ครั้งที่ 14 โดยศูนย์ปฏิบัติการศูนย์บริหารสถานการณ์โควิด-19 ของสภาความมั่นคงแห่งชาติ (สมช.) จะเป็นผู้เสนอ , การปรับมาตรการป้องกันและควบคุมโรค ที่เสนอโดยศูนย์ปฏิบัติการฉุกเฉินด้านการแพทย์และสาธารณสุขกรณีโรคติดเชื้อ โควิด-19 กระทรวงสาธารณสุข เสนอ

การปรับมาตรการสำหรับผู้เดินทางเข้าราชอาณาจักร (การปรับลดระยะเวลาในการกักกัน การทำกิจกรรมในสถานที่กักกัน) และหลักเกณฑ์ แผนงานและแนวทางการเปิดพื้นที่นำร่องการท่องเที่ยว เสนอโดยกระทรวงสาธารณสุข กระทรวงการท่องเที่ยวและกีฬา และการท่องเที่ยวแห่งประเทศไทย, แผนการให้บริการวัคซีน โควิด-19 ในเดือนตุลาคม-ธันวาคม 2564 และแผนการบริหารจัดการวัคซีน โควิด-19 ปี 2565 เสนอโดย ศปก.สธ.

อย่างไรก็ตามในช่วงท้ายของการประชุมศูนย์ปฏิบัติการด้านการแก้ไขสถานการณ์ฉุกเฉินด้านความมั่นคง จะรายงานเรื่องการป้องกันการแพร่ระบาดของเชื้อ โควิด-19 รวมถึงรายงานผลการดำเนินงาน ปัญหา อุปสรรค และข้อเสนอแนะของสำนักงาน และศูนย์ปฏิบัติการด้านต่างๆ

-005",https://www.naewna.com/politic/604736,2021-09-26 13:21:27
นทท.แห่เช็คอินจุดไฮไลท์ 'ถนนเลข 3' จ.น่าน สัมผัสธรรมชาติ,"วันหยุดยาว... นักท่องเที่ยวแห่เดินทางเข้าเที่ยว จ.น่าน ซึ่งส่วนมากจะท่องเที่ยวไปสถานที่ท่องเที่ยวที่เป็นธรรมชาติผ่านเส้นทางขึ้นเขาที่สองข้างทางสวยงาม โดยเฉพาะถนนสายน่าน-สันติสุข-บ่อเกลือ (ถนนเลข3) ที่สวยเป็นอันดับสามของประเทศไทย ทางหลวง (ทล.) โดยแขวงทางหลวงน่านกรมทางหลวง (ทล.) โดยแขวงทางหลวงน่านที่ 1 ได้ดำเนินการเตรียมความพร้อมเส้นทางท่องเที่ยวในช่วงฤดูฝน ตามนโยบายของรัฐบาล เพื่อกระตุ้นให้คนไทยเดินทางท่องเที่ยวภายในประเทศ ปลายฝนต้นหนาวช่วงปลายเดือนกันยายนถึงมกราคมปีหน้า เพื่อฟื้นฟูเศรษฐกิจและสังคมที่ได้รับผลกระทบจากการระบาดของโควิด-19

กรมทางหลวงขอแนะนำสถานที่อันซีนแห่งใหม่ของจังหวัดน่านคือ โค้งเลข 3 อยู่บนทางหลวงหมายเลข 1081 สายสันติสุข – บ่อเกลือ ตอน ดอนมูล – หลักลาย ช่วงกม.ที่ 38 – 39 ซึ่งโค้งถนนเลข 3 นี้ มีระยะทางประมาณ 300 เมตร ที่ลัดเลาะตามแนวธรรมชาติ 2 ข้างทางที่ปกคลุมด้วยต้นไม้ของเส้นทางนี้ ต่อมาประมาณเดือนสิงหาคมการไฟฟ้าส่วนภูมิภาคจังหวัดน่านได้ปรับเปลี่ยนย้ายแนวสายไฟฟ้าแรงสูงโดยเอาสายไฟฟ้าแรงสูงออกหาจุดปักแนวเสาไฟฟ้าแรงสูงใหม่ เมื่อกลางเดือนสิงหาคมยิ่งทำให้ถนนหมายเลข 3 สวยงามยิ่งขึ้น

ทำให้เมื่อขับรถมาถึงบริเวณจุดดังกล่าว จะมองเห็นเส้นถนนที่โค้ง ดูคล้ายกับเลข 3 โดดเด่นขึ้นมาสวยงามยิ่งขึ้น บริเวณโค้งถนนเลข 3 นี้ แขวงทางหลวงน่านกรมทางหลวง (ทล.) โดยแขวงทางหลวงน่านที่ 1 ได้ดำเนินพื้นที่ให้เป็นสถานที่จอดรถจุดพักเพื่ออำนวยความสะดวกให้แก่นักท่องเที่ยว ซึ่งก่อนถึงโค้งดังกล่าว จะมีจุดจอดรถเพื่อสำหรับถ่ายภาพกับโค้งเลข 3 บนถนนสายสันติสุข – บ่อเกลือ กรมทางหลวงจึงได้ดำเนินการติดตั้งป้ายแนะนำจุดชมวิว รวมทั้งมีการขยายโค้งให้มีความชัดของเส้นถนนและทาสีแบริเออร์คอนกรีต ดูแลเส้นทางให้พร้อมใช้งานติดตั้งป้ายเตือน, ป้ายระวัง, ป้ายแนะนำ บริเวณจุดชมวิวและไฟกระพริบเพื่ออำนวยความปลอดภัย ปรับปรุงภูมิทัศน์สองข้างทาง อีกทั้งหมวดทางหลวงสันติสุข ในพื้นที่ยังอำนวยความสะดวกห้องสุขา, เครื่องดื่ม และให้บริการแนะนำเส้นทางแก่นักท่องเที่ยวอีกด้วยทั้งนี้สามารถเลยไปท่องเที่ยวต่อได้ที่ อ.บ่อเกลือ สถานที่ท่องเที่ยวบนถนนลอยฟ้า เช่น อุทยานแห่งชาติดอยภูคา, บ่อเกลือโบราณ ฯลฯ เป็นต้น

นักท่องเที่ยวพากันถ่ายรูปกันอย่างคึกคัก ขณะเดียวกันได้แวะใช้บริการ ร้านอาหารข้างทางทำให้ร้านมีรายได้หลังขาดรายได้ช่วงโควิด ซึ่งร้านริมทางไร่ม่อนฝ้าย จะสาธิตการทำอาหารและให้นักท่องเที่ยวมีส่วนประกอบอาหารเอง ประกอบด้วยการทำหลามผักกูด ไก่กระบอก ที่บ้านห้วยหาด ตำบลอวน อำเภอปัว จังหวัดน่าน เป็นการสร้างรายได้ให้ประชาชนในพื้นที่ ซึ่งชาวบ้านใช้วัตถุดิบท้องถิ่นประกอบเอง ทั้งนี้จังหวัดน่านสถานการณ์โควิดลดลงมากทำให้นักท่องเที่ยวนิยมเดินทางเข้ามาเที่ยวเป็นจำนวนมากขึ้นแล้วในขณะนี้ดังนั้น เพื่อรองรับนักท่องเที่ยว กรมทางหลวง จึงขอความร่วมมือนักท่องเที่ยวให้ช่วยกันรักษาความสะอาดไม่ทิ้งขยะลงบนพื้น หรือที่จอดรถและช่วยกันรักษาธรรมชาติไว้ โปรดขับรถด้วยความระมัดระวัง ปฏิบัติตามป้ายเตือน ป้ายแนะนำ เพื่อความปลอดภัยในการเดินทาง และปฏิบัติตามมาตรฐานสาธารณสุข ท่องเที่ยวสุขใจ ห่างไกลโควิด-19 สวมหน้ากาก ล้างมือ รักษาระยะห่าง ลงทะเบียน ไทยชนะ เข้า – ออก. -008",https://www.naewna.com/likesara/604799,2021-09-26 18:03:41
ยังฟิตปั๋ง! ทหารเรือวัยเกษียณ ว่ายน้ำคลองดำเนินสะดวก วันละ1ไมล์ทุกเช้า,"26 กันยายน 2564 ไปดูอดีตทหารเรือจอมพลังวัย 61 ปี ว่ายน้ำเพื่อออกกำลังให้ร่างกายแข็งแรงอยู่ตลาดเวลา ทราบชื่อคือ จ่าเอก กรรณนพ เตชรัตน์ อายุ 61 ปี อยู่บ้านเลขที่ 8 หมู่ 5 ต.ประสาทสิทธิ์ อ.ดำเนินสะดวก จ.ราชบุรี อดีตเป็นเจ้าหน้าที่ถอดทำลายอมภัณฑ์ กองทัพเรือ ซึ่งมีความอึกและอดทนมาก เป็นสามารถเฉพาะตัวยากที่จะลอกเลียนแบบไม่ได้



โดยภาพที่เห็นเป็นการว่ายน้ำระยะทางไปกลับจากบ้าน ประมาณ 1 ไมล์ หรือ ประมาณ 1,800 เมตร ซึ่งมีบ้านอยู่ริมคลองดำเนินสะดวก หน้าวัดปราสาทสิทธิ์ ต.ประสาทสิทธิ์ อ.ดำเนินสะดวก ชาวบ้านจะเห็นกันจนชินตาแล้ว



จ่าเอก กรรณนพ เตชรัตน์ เปิดเผยว่า ถ้าไม่มีธุระจะว่ายน้ำทุกวันใช้เวลาประมาณ 40 นาที ระยะทางไปกลับประมาณ 1 ไมล์ หรือประมาณ 1,800 เมตร ไปกลับตัวแล้วว่ายต่อมาเลย เป็นการออกกำลังกายตอนเช้าดีต่อสุขภาพ เพราะไม่มีเวลาไปวิ่งที่ต้องใช้เวลาเยอะ อีกทั้งมีบ้านอยู่ริมน้ำ เลยเลือกที่จะว่ายน้ำแทนการวิ่งและการปั่นจักรยาน มองว่าเป็นเรื่องแปลกที่ไม่มีใครทำกัน ซึ่งชาวบ้านว่ายน้ำเป็นแต่ว่ายไม่ได้ เพราะว่ามีมังกรหรือตัวเงินตัวทอง ตัวใหญ่เท่าสุนัขอยู่ในคลองจำนวนมาก ทำให้มีคนกลัว คลองนี้กว้างประมาณ 20 เมตร สามารถหลบหลีกกันได้อยู่แล้ว ส่วนตัวเองจะเห็นเรือวิ่งอยู่ข้างหน้าจึงหลบหลีกได้ การออกกำลังว่ายน้ำก็ดีเหมือนนักกีฬาคนหนึ่ง เป็นชีวิตประจำวันไม่มีอะไร อีกทั้งไม่ค่อยมีเวลาไปออกกำลังแบบอื่น 



การว่ายน้ำ ตนจะใส่ตีนกบเป็นตัวช่วยในเพื่อให้คล่องแคล่วรวดเร็วมากยิ่งขึ้น และยังหลบหลีกเรือยนต์ที่ขับสวนไปมาในลำคลองได้อย่างน่าประหลาด โดยที่ไม่ยอมหยุดพักเหนื่อยระหว่างทางเพราะเป็นการฝึกความแข็งแกร่งอยู่ตลอดเวลา และชอบออกกำลังกายด้วยการว่ายน้ำคลองดำเนินสะดวกไหลฝ่ายบ้าน จึงเหมาะในการว่ายน้ำขณะที่คนอื่นๆไม่มีใครว่ายน้ำในลำคลองส่ายนี้ เนื่องจากต้องระมัดระวังเรือที่วิ่งสวนกันอาจเกิดอันตราย อีกทั้งยังต้องระวังตัวเงินตัวทองที่มีขนาดใหญ่เท่าสุนัขที่อาศัยอยู่ด้วย ทำให้ไม่มีใครกล้าว่ายน้ำ



สำหรับการว่ายน้ำตามภูมิประเทศจะค่อนข้างยากเพราะไม่ทันลูกคลื่น จะมีตีนกบมาช่วยอีกแรง ช่วยให้มีความเร็ว 3 เท่าของตัวเปล่าสามารถหนีลูกคลื่นได้ดี มีน้ำหนักข้างละประมาณ 1 กิโลกรัม โดยตนเองว่ายน้ำเป็นอาชีพ เพราะเป็นนักประดาน้ำอยู่กองทัพเรือ เป็นอาชีพที่ทำงานอยู่ใต้น้ำมาก่อน ตอนนี้เกษียณอายุแล้วสมัยก่อนมีอยู่ 2 เหตุการณ์ที่สำคัญและเกิดขึ้นพร้อมๆกัน โดยมีหน่วยซีลได้เดินทางไปช่วยเหลือเด็ก 13 ชีวิต ติดในถ้ำขุนน้ำนางนอน ที่ จ.เชียงราย ส่วนอีกเหตุการณ์เป็นอุบัติเหตุเรือจมน้ำลึกที่ จ.ภูเก็ต เมื่อปลายเดือนมิถุนายน พ.ศ. 2561 โดยตนเองได้รับคำสั่งให้ไปปฏิบัติหน้าที่ช่วยเหลือกู้เรือจมน้ำที่ จ.ภูเก็ต เพราะเป็นนักประดาน้ำ



จึงถือเป็นการว่ายน้ำที่เป็นความแข็งเก่งเฉพาะตัว ยากจะลอกเลียนแบบได้ ต้องอาศัยความชำนาญ และความระมัดระวังสูง สำหรับการออกกำลังกายในลำคลองสายนี้ เพราะไม่เพียงต้องหลบหลีกเรือยนต์แล้ว ยังต้องคอยระมัดระวังตัวมังกรทอง หรือตัวเงินตัวทองขนาดใหญ่ ที่อาจจะเข้ามาทำร้ายขณะกำลังว่ายน้ำด้วย



โดยคลองดำเนินสะดวกเป็นคลองขุดด้วยฝีมือชาวบ้าน ที่มีประวัติเก่าแก่ยาวนานมา ตั้งแต่สมัยสมเด็จพระจอมเกล้าเจ้าอยู่หัว รัชกาลที่ 4 และพระบาทสมเด็จพระจุลจอมเกล้าเจ้าอยู่หัว รัชกาลที่ 5 เป็นการเชื่อมต่อสายน้ำระหว่างแม่น้ำท่าจีน อ.บ้านแพ้ว จ.สมุทรสงคราม และแม่น้ำแม่กลอง จ.ราชบุรี ระยะทางประมาณ 35 กิโลเมตร ชาวบ้านได้มาตั้งรกรากถิ่นฐานบ้านเรือนอยู่ริมคลองทั้งสองฝั่ง มีการทำมาค้าขายพืชผัก ผลไม้ ทางการเกษตรทางเรือมายาวนานนับร้อยปีล่วงมาแล้ว

สำหรับการสัญจรในอดีตจนถึงปัจจุบันก็ยังคงมีการใช้ทั้งเรือพาย และการใช้เรือแบบเครื่องยนต์ในการเดินทางอยู่ วิ่งสวนกันไปมาบนสายน้ำที่กลายเป็นคลื่นกระทบตลิ่งเบาบ้างแรงบ้าง ซึ่งจะต้องคอยหลบหลีกกันด้วยความระมัดระวัง. 012",https://www.naewna.com/likesara/604718,2021-09-26 10:54:47
ระทึก!ชายคลั่งขว้างปาของใส่รถพยาบาล ตำรวจรวบทันควัน,"ระทึก!ชายคลั่งขว้างปาของใส่รถพยาบาล ตำรวจรวบทันควัน

26 กันยายน 2564 เจ้าหน้าที่ประจำรถพยาบาลของเทศบาลนครนนทบุรี ถ่ายคลิปวีดีโอชายมีลักษณะคลั่งใช้สิ่งของบางอย่างขว้างปามาที่กระจกหน้ารถพยาบาล ในระหว่างขับรถอยู่บนถนนรัตนาธิเบศร์ขาออก ช่วงปากซอยรัตนาธิเบศร์ 3 ต.บางกระสอ อ.เมืองนนทบุรี โดยชายคนดังกล่าวมีท่าทางคลั่งและโวยวายเดินวนไปมารอบรถพยาบาลนานกว่า 5 นาที หลังจากนั้นทางเจ้าหน้าที่ประจำรถได้โทรศัพท์แจ้งขอความช่วยเหลือจากเจ้าหน้าที่ตำรวจ สภ.รัตนาธิเบศร์ เพื่อให้มาควบคุมตัวชายคนดังกล่าว



ต่อมาทางเจ้าหน้าที่ตำรวจสามารถควบคุมตัวชายคนดังกล่าวไว้ได้ทราบชื่อ คือ นายเอกพงษ์ อายุ 43 ปี ชาว จ.ฉะเชิงเทรา ขณะเดียวกันยังตรวจพบกระเป๋าเป้ 1 ใบ และกระป๋องกาวยางอีกจำนวนหนึ่ง เจ้าหน้าที่ตำรวจจึงควบคุมตัวชายคนดังกล่าวไปที่โรงพัก



นายยุทธศักดิ์ ภาสุรจิตมงคล อายุ 46 ปี เจ้าหน้าที่ขับรถพยาบาล กล่าวว่า ในขณะที่กำลังขับรถไปรับยาที่ รพ.พระนั่งเกล้า เมื่อมาถึงจุดเกิดเหตุชายคนดังกล่าวเดินมา และกระโดดขว้างปาบางอย่างมาที่กระจกหน้ารถ แต่มั่นใจว่าไม่น่าจะใช่ก้อนหิน ถ้าเป็นก้อนหินกระจกต้องแตกและจุดที่โดนเป็นตำแหน่งคนที่นั่งข้างพอดี ถ้าเป็นก้อนหินอันตรายแน่ๆ โชคดีที่รถไม่ได้รับความเสียหายและบุคลากรในรถไม่ได้รับอันตรายแต่อย่างใด

-005",https://www.naewna.com/local/604785,2021-09-26 17:06:20
'เจ๊จุก คลองสาม'เปิดคลิปนาทีม็อบยิงขีปนาวุธใหม่ จะเอาฮาไปถึงไหนพ่อคุณ,"25 ก.ย.64ความคืบหน้ากรณีกลุ่มทะลุฟ้าได้นัดหมายชุมนุมเดินเท้าไปยังทำเนียบรัฐบาลเพื่อเรียกร้องพล.อ.ประยุทธ์ จันทร์โอชา นายกรัฐมนตรี และรมว.กลาโหม ลาออกโดยเริ่มตั้งขบวนกันที่แยกยมราช พร้อมเปิดตัวอาวุธใหม่ จรวดขวดน้ำทำจากท่อพีวีซีสูบลมอัดเข้าไปเพื่อยิงขวดน้ำใส่สีแดงเข้าไปในทำเนียบรัฐบาล(อ่านข่าวที่เกี่ยวข้อง : แยกนางเลิ้งเดือด! ทะลุฟ้าเปิดฉากปะทะ เจอ'คฝ.'รุกรบจบเร็วแตกกระเจิง)

ล่าสุด เจ๊จุก คลองสาม โพสต์คลิปผ่านทวิตเตอร์ @jjookklong3 เป็นภาพนาทีกลุ่มม็อบยิงจรวดขวดน้ำที่อ้างว่าเป็นอาวุธใหม่ โดยเจ๊จุก ระบุว่านักข่าวรุมถ่ายภาพกันใหญ่ นึกว่างานบั้งไฟประจำปีหรืออย่างไร? มีการนับถอยหลังด้วย นึกว่าจะยิงขีปนาวุธ ยิงเสร็จคนจับฐานยิง(ไอ้หนุ่มผมทองคนเดิม)ก็เละเต็มแขน คนอื่นๆ ใกล้ๆ ก็โดนสีกระเด็นด้วย จะเอาฮาไปถึงไหนคะเนี่ยพ่อคุณ

-001",https://www.naewna.com/politic/604678,2021-09-25 19:15:23
น่าสงสาร! กระทิงหนุ่มเขาใหญ่ โดนไฟฟ้าช็อตตาย นอนพิงเสาข้างถนน,"26 กันยายน 2564 เมื่อเวลา 06.00 น. ผู้สื่อข่าวรายงานว่า พ.ต.อ.ปัญจนนท์ วิจิตโท ผกก.ส.ทล. 3 กก.3 ได้รับแจ้งจากชาวบ้านว่า พบกระทิงเขาใหญ่ตายอยู่ข้างเสาไฟฟ้าข้างทางถนนสาย 304 กบินทร์ - นครราชสีมา บริเวณหลัก กม.ที่ 212+600 ต.บุพราหมณ์ อ.นาดี จ.ปราจีนบุรี



จากรับแจ้งจึงได้ประสาน เจ้าหน้าที่อุทยานแห่งชาติใหญ่และพนักงานสอบสวน สภ.วังขอนแดง อ.นาดี ได้เดินทางไปตรวจสอบยังที่เกิดเหตุ พบกระทิงเพศผู้น้ำหนัก ประมาณ 800 กก. นอนเสียชีวิตอยู่กับเสาไฟฟ้า ในเบื้องต้นคาดว่า กระทิงเพศผู้น่าจะออกมาหากินข้างทางและถูกกระแสไฟฟ้าที่เสาไฟช็อตเสียชีวิต เนื่องจากในช่วงค่ำที่ผ่านมา(25ก.ย.) ได้มีฝนตกในพื้นที่อุทยานแห่งชาติเขาใหญ่ตลอดคืน จนอาจทำให้ไฟฟ้าที่เสาไฟเกิดรั้วช็อตกระทิงจนเสียชีวิต



ทางเจ้าหน้าที่อุทยานแห่งชาติ กำลังประสานเจ้าหน้าที่ไฟฟ้ามาทำการตัดกระแสไฟเพื่อตรวจสอบในเบื้องต้นถึงสาเหตุการเสียชีวิต ก่อนที่จะนำรถเคนมาทำการเคลื่อนย้ายกระทิงไปให้แพทย์ทำการพิสูจน์หาสาเหตุการเสียชีวิตอีกครั้ง. 012",https://www.naewna.com/likesara/604705,2021-09-26 08:40:38
สุดโหด! 'ตาลีบัน'แขวนศพประจานคนร้ายคดีลักพาตัว,"26 ก.ย.64 สำนักข่าวต่างประเทศรายงานว่ากลุ่มตาลีบันในเมืองเฮรัต ทางตะวันตกของอัฟกานิสถาน ได้นำร่างของคนร้ายคดีลักพาตัว จำนวน 4 ศพ แขวนประจานบนเครนกลางเมือง ซึ่งชาวเมืองระบุว่าในจำนวนนี้ 1 ศพ ได้ถูกแขวนประจานกลางจัตุรัสกลางเมือง และศพอื่นๆ ได้ถูกเคลื่อนย้ายไปแขวนประจานในสถานที่ต่างๆ รอบเมือง และหนึ่งในศพที่ถูกแขวนประจานนั้นมีป้ายที่มีข้อความว่า นี่คือการลงโทษผู้ที่ก่อเหตุลักพาตัวแขวนไว้ที่หน้าอก โดยนักรบตาลีบันประกาศว่า ทั้งสี่รายได้ถูกจับในคดีลักพาตัวนักธุรกิจและลูกชาย ก่อนที่คนร้ายจะถูกตำรวจยิงจนเสียชีวิต ส่วนผู้ที่ถูกลักพาตัวได้รับการปล่อยตัวแล้ว

ทั้งนี้ภาพและคลิปวิดีโอของเครนที่แขวนศพซึ่งเต็มไปด้วยเลือด ถูกเผยแพร่ไปทั่วโซเชียลมีเดีย และมีภาพหนึ่งที่มีข้อความเขียนติดไว้ที่หน้าอกของศพ ระบุว่า นี่คือโทษของการลักพาตัว

ขณะที่การแขวนศพผู้ก่ออาชญากรรมดังกล่าวเกิดขึ้นหลังจากที่ มุลเลาะห์ นูรุดดิน ตูราบี สมาชิกอาวุโสของตาลีบันที่เคยดำรงตำแหน่งหัวหน้าตำรวจศาสนา และตอนนี้รับหน้าที่ดูแลเรือนจำ เปิดเผยต่อสำนักข่าว AP ในช่วงสัปดาห์นี้ ว่าทางกลุ่มจะฟื้นการบังคับใช้บทลงโทษที่รุนแรง เช่น การตัดมือและเท้า และการประหารชีวิตผู้ก่ออาชญากรรม โดยให้เหตุผลความจำเป็นเพื่อความมั่นคง แต่อาจจะไม่มีการประหารชีวิตต่อหน้าสาธารณชนเช่นที่เคยทำในอดีต",https://www.naewna.com/inter/604732,2021-09-26 12:52:59
'ป๊อก ภัสสรกรณ์'ควักครึ่งล้าน บริจาคให้โรงพยาบาลเนื่องในวันเกิด,"เมื่อวันที่ 25 กันยายนที่ผ่านมา เป็นวันคล้ายวันเกิดปีที่ 35 ของคุณพ่อลูกสองและศิลปินคนเก่ง อย่างป๊อก ภัสสรกรณ์ จิราธิวัฒน์ สามีของนางเอกสาว มาร์กี้ ราศรีก็ได้ถือโอกาสบริจาคเงินให้กับโรงพยาบาล ทำบุญเนื่องในวันคล้ายวันเกิดอายุครบ 35 ปี

โดยเจ้าตัวได้โพสต์ข้อความผ่านไอจี ว่า วันเกิดปีนี้ผมและครอบครัว ได้มีโอกาสไปช่วยบริจาคเงิน 500,000 บาท ให้กับโรงพยาบาลสามโคก จังหวัดปทุมธานี หวังว่าจะเป็นประโยชน์ไม่มากก็น้อยนะครับ อนุโมทนาสาธุครับผม",https://www.naewna.com/entertain/604778,2021-09-26 16:38:17
