title,summary,link,published
ธปท. ยัน แบงก์เร่งตรวจธุรกรรมตัดเงินผิดปกติ คืนเงินลูกค้าที่เสียหาย,"<p>ธปท. และสมาคมธนาคารไทย ชี้แจงกรณีการตัดเงินที่ผิดปกติผ่ [&#8230;]</p>
<p>อ่านข่าวต้นฉบับ: <a href=""https://www.prachachat.net/finance/news-783815"" rel=""nofollow"">ธปท. ยัน แบงก์เร่งตรวจธุรกรรมตัดเงินผิดปกติ คืนเงินลูกค้าที่เสียหาย</a></p>",https://www.prachachat.net/finance/news-783815,"Sun, 17 Oct 2021 15:44:15 +0000"
จันทบุรี โควิดพุ่ง 221 ราย ออกมาตรการคุมแรงงานในโรงงาน-ล้ง,"<p>สสจ.จันทบุรี รายงานสถานการณ์โควิด ล่าสุดพุ่ง 221 ราย กั [&#8230;]</p>
<p>อ่านข่าวต้นฉบับ: <a href=""https://www.prachachat.net/local-economy/news-783801"" rel=""nofollow"">จันทบุรี โควิดพุ่ง 221 ราย ออกมาตรการคุมแรงงานในโรงงาน-ล้ง</a></p>",https://www.prachachat.net/local-economy/news-783801,"Sun, 17 Oct 2021 13:55:42 +0000"
รู้จัก ทองย้อย แสงสินชัย ผู้ประพันธ์กาพย์เห่เรือ รับพระราชทานยศเป็นกรณีพิเศษ,"<p>ทำความรู้จัก นาวาเอกทองย้อย แสงสินชัย นายทหารพ้นราชการ  [&#8230;]</p>
<p>อ่านข่าวต้นฉบับ: <a href=""https://www.prachachat.net/general/news-783787"" rel=""nofollow"">รู้จัก ทองย้อย แสงสินชัย ผู้ประพันธ์กาพย์เห่เรือ รับพระราชทานยศเป็นกรณีพิเศษ</a></p>",https://www.prachachat.net/general/news-783787,"Sun, 17 Oct 2021 13:18:55 +0000"
ชายอายุ 57 ปี เสียชีวิต หลังฉีดวัคซีนเข็มแรกแค่วันเดียว,"<p>ชายอายุ 57 ปี ในจังหวัดแพร่ เสียชีวิตหลังฉีดวัคซีนเพียง [&#8230;]</p>
<p>อ่านข่าวต้นฉบับ: <a href=""https://www.prachachat.net/general/news-783788"" rel=""nofollow"">ชายอายุ 57 ปี เสียชีวิต หลังฉีดวัคซีนเข็มแรกแค่วันเดียว</a></p>",https://www.prachachat.net/general/news-783788,"Sun, 17 Oct 2021 12:46:34 +0000"
นักศึกษาปี 4 วิ่งราวทองคำ 13 บาทในห้าง ใช้หนี้พนันออนไลน์,"<p>นักศึกษาปี 4 ม.ดัง ย่านลาดกระบัง ก่อเหตุวิ่งราวทองคำ 13 [&#8230;]</p>
<p>อ่านข่าวต้นฉบับ: <a href=""https://www.prachachat.net/general/news-783783"" rel=""nofollow"">นักศึกษาปี 4 วิ่งราวทองคำ 13 บาทในห้าง ใช้หนี้พนันออนไลน์</a></p>",https://www.prachachat.net/general/news-783783,"Sun, 17 Oct 2021 12:03:45 +0000"
แบงก์เร่งตรวจสอบ กรณีบัญชีหลายธนาคารถูก “แฮก” ดูดเงิน,"<p>ธนาคารเร่งตรวจสอบ กรณีโซเชียลแชร์ข้อมูล บัญชีหลายธนาคาร [&#8230;]</p>
<p>อ่านข่าวต้นฉบับ: <a href=""https://www.prachachat.net/finance/news-783767"" rel=""nofollow"">แบงก์เร่งตรวจสอบ กรณีบัญชีหลายธนาคารถูก &#8220;แฮก&#8221; ดูดเงิน</a></p>",https://www.prachachat.net/finance/news-783767,"Sun, 17 Oct 2021 11:42:06 +0000"
สมศักดิ์ ชี้ ยารักษาโควิดถูกลง หลังใช้ฟ้าทะลายโจรรักษานักโทษหาย,"<p>รัฐมนตรีว่าการกระทรวงยุติธรรม ชี้ยารักษาโควิดถูกลงหลังฟ [&#8230;]</p>
<p>อ่านข่าวต้นฉบับ: <a href=""https://www.prachachat.net/politics/news-783765"" rel=""nofollow"">สมศักดิ์ ชี้ ยารักษาโควิดถูกลง หลังใช้ฟ้าทะลายโจรรักษานักโทษหาย</a></p>",https://www.prachachat.net/politics/news-783765,"Sun, 17 Oct 2021 11:30:22 +0000"
มิน อ่อง ลาย ผิดหวังมาก อาเซียนไม่ให้เข้าประชุม ปลายเดือนนี้,"<p>พล.อ.อาวุโสมิน อ่อง ลาย ออกมาระบุว่า รู้สึกผิดหวังอย่าง [&#8230;]</p>
<p>อ่านข่าวต้นฉบับ: <a href=""https://www.prachachat.net/world-news/news-783756"" rel=""nofollow"">มิน อ่อง ลาย ผิดหวังมาก อาเซียนไม่ให้เข้าประชุม ปลายเดือนนี้</a></p>",https://www.prachachat.net/world-news/news-783756,"Sun, 17 Oct 2021 11:12:11 +0000"
โปรดเกล้าฯ พระราชทานยศ พล.ร.ต. เป็นกรณีพิเศษให้ ทองย้อย แสงสินชัย,"<p>มีพระบรมราชโองการโปรดเกล้าฯ พระราชทานยศเป็นกรณีพิเศษให้ [&#8230;]</p>
<p>อ่านข่าวต้นฉบับ: <a href=""https://www.prachachat.net/general/news-783749"" rel=""nofollow"">โปรดเกล้าฯ พระราชทานยศ พล.ร.ต. เป็นกรณีพิเศษให้ ทองย้อย แสงสินชัย</a></p>",https://www.prachachat.net/general/news-783749,"Sun, 17 Oct 2021 11:02:43 +0000"
โออาร์ จับมือ 500 Startups ตั้ง “ORZON Ventures” ทุ่ม 1.5 พันล้านบาท ปั้นสตาร์ทอัพไทยโตไกลระดับโลก,"<p>บริษัท ปตท. น้ำมันและการค้าปลีก จำกัด (มหาชน) หรือ “โออ [&#8230;]</p>
<p>อ่านข่าวต้นฉบับ: <a href=""https://www.prachachat.net/advertorial/news-782620"" rel=""nofollow"">โออาร์ จับมือ 500 Startups ตั้ง “ORZON Ventures” ทุ่ม 1.5 พันล้านบาท ปั้นสตาร์ทอัพไทยโตไกลระดับโลก</a></p>",https://www.prachachat.net/advertorial/news-782620,"Sun, 17 Oct 2021 11:00:24 +0000"
