title,summary,link,published
รพ.บำเหน็จณรงค์ จ.ชัยภูมิ ถูกน้ำท่วมสูง เร่งลำเลียงผู้ป่วยไปรักษาที่โรงพยาบาลแม่ข่าย พบคลังเวชภัณฑ์ คลังวัสดุการแพทย์ เครื่องปั่นไฟฟ้าสำรองเสียหาย รถพยาบาล 7 คัน และรถยนต์ราชการ 4 คัน เสียหายทั้งหมด,รพ.บำเหน็จณรงค์ จ.ชัยภูมิ ถูกน้ำท่วมสูง เร่งลำเลียงผู้ป่วยไปรักษาที่โรงพยาบาลแม่ข่าย พบคลังเวชภัณฑ์ คลังวัสดุการแพทย์ เครื่องปั่นไฟฟ้าสำรองเสียหาย รถพยาบาล 7 คัน และรถยนต์ราชการ 4 คัน เสียหายทั้งหมด,http://news.thaipbs.or.th/breakingnews,"Sun, 26 Sep 2021 14:56:07 +0700"
เกิดอุบัติเหตุรถไฟของบริษัทแอมแทรก ตกรางในรัฐมอนแทนาของสหรัฐอเมริกา ส่งผลให้มีผู้เสียชีวิตอย่างน้อย 3 คนและได้รับบาดเจ็บอีกจำนวนมาก,เกิดอุบัติเหตุรถไฟของบริษัทแอมแทรก ตกรางในรัฐมอนแทนาของสหรัฐอเมริกา ส่งผลให้มีผู้เสียชีวิตอย่างน้อย 3 คนและได้รับบาดเจ็บอีกจำนวนมาก,http://news.thaipbs.or.th/breakingnews,"Sun, 26 Sep 2021 13:40:56 +0700"
บขส.หยุดวิ่งให้บริการเส้นทางกรุงเทพฯ – หล่มสัก จำนวน 4 เที่ยวชั่วคราว เพราะน้ำท่วม ผู้โดยสารที่จองตั๋วล่วงหน้าไว้แล้ว สามารถเลื่อนการเดินทาง หรือคืนตั๋วโดยสารได้,บขส.หยุดวิ่งให้บริการเส้นทางกรุงเทพฯ – หล่มสัก จำนวน 4 เที่ยวชั่วคราว เพราะน้ำท่วม ผู้โดยสารที่จองตั๋วล่วงหน้าไว้แล้ว สามารถเลื่อนการเดินทาง หรือคืนตั๋วโดยสารได้,http://news.thaipbs.or.th/breakingnews,"Sun, 26 Sep 2021 13:33:10 +0700"
พยากรณ์อากาศ วันนี้ (25 ก.ย.64) ภาคเหนือ ภาคตะวันออกเฉียงเหนือ ภาคกลาง และภาคตะวันออก มีฝนตกหนักถึงหนักมากบางพื้นที่ ส่วนภาคใต้ฝั่งตะวันตกมีฝนตกหนักบางแห่ง,พยากรณ์อากาศ วันนี้ (25 ก.ย.64) ภาคเหนือ ภาคตะวันออกเฉียงเหนือ ภาคกลาง และภาคตะวันออก มีฝนตกหนักถึงหนักมากบางพื้นที่ ส่วนภาคใต้ฝั่งตะวันตกมีฝนตกหนักบางแห่ง,http://news.thaipbs.or.th/breakingnews,"Sat, 25 Sep 2021 08:02:41 +0700"
กรมป่าไม้ แจ้งความตำรวจดำเนินคดี 3 คนเจ้าของโรงไม้พระนครศรีอยุธยา เจ้าของไม้ที่ส่งมาแปรรูป 2 คนหลังพบความเชื่อมโยงลอบตัดไม้ตะเคียนชันตาแมวจากป่า นราธิวาส,กรมป่าไม้ แจ้งความตำรวจดำเนินคดี 3 คนเจ้าของโรงไม้พระนครศรีอยุธยา เจ้าของไม้ที่ส่งมาแปรรูป 2 คนหลังพบความเชื่อมโยงลอบตัดไม้ตะเคียนชันตาแมวจากป่า นราธิวาส,http://news.thaipbs.or.th/breakingnews,"Fri, 24 Sep 2021 18:07:16 +0700"
เว็บไซต์ราชกิจจานุเบกษา เผยแพร่ประกาศกสทช.เรื่องหลักเกณฑ์คงสิทธิหมายเลขโทรศัพท์มือถือ หากต้องการย้ายค่ายเบอร์เดิมทำได้ และผู้ให้บริการต้องดำเนินการให้ภายใน 2 วัน,เว็บไซต์ราชกิจจานุเบกษา เผยแพร่ประกาศกสทช.เรื่องหลักเกณฑ์คงสิทธิหมายเลขโทรศัพท์มือถือ หากต้องการย้ายค่ายเบอร์เดิมทำได้ และผู้ให้บริการต้องดำเนินการให้ภายใน 2 วัน,http://news.thaipbs.or.th/breakingnews,"Fri, 24 Sep 2021 17:05:13 +0700"
ทส.-คมนาคม-วธ.สรุปโครงการรถไฟความเร็วสูงผ่านพื้นที่มรดกโลกพระนครศรีอยุธยา พบทำตามกฎหมาย แต่ให้ลดสันรางจาก 19 เมตรเหลือ 17 เมตร เพื่อลดข้อกังวลให้ทำรายงาน HIA เสนอศูนย์มรดกโลก จำกัดความสูงของอาคารรอบสถานี,ทส.-คมนาคม-วธ.สรุปโครงการรถไฟความเร็วสูงผ่านพื้นที่มรดกโลกพระนครศรีอยุธยา พบทำตามกฎหมาย แต่ให้ลดสันรางจาก 19 เมตรเหลือ 17 เมตร เพื่อลดข้อกังวลให้ทำรายงาน HIA เสนอศูนย์มรดกโลก จำกัดความสูงของอาคารรอบสถานี,http://news.thaipbs.or.th/breakingnews,"Fri, 24 Sep 2021 13:03:26 +0700"
สัตวแพทย์ กรมอุทยานฯ ส่งตัวอย่างชิ้นเนื้อ และผิวหนังของลูกวัวแดง อายุ 5 เดือนจากป่าเขาอ่างฤาไนที่ตาย พบผิวหนังทั่วตัวมีตุ่มแผลตกสะเก็ด รอยโรคสงสัยว่าเป็นลัมปี สกิน เบื้องต้นมีรายงาน 3 พื้นที่,สัตวแพทย์ กรมอุทยานฯ ส่งตัวอย่างชิ้นเนื้อ และผิวหนังของลูกวัวแดง อายุ 5 เดือนจากป่าเขาอ่างฤาไนที่ตาย พบผิวหนังทั่วตัวมีตุ่มแผลตกสะเก็ด รอยโรคสงสัยว่าเป็นลัมปี สกิน เบื้องต้นมีรายงาน 3 พื้นที่,http://news.thaipbs.or.th/breakingnews,"Fri, 24 Sep 2021 10:50:04 +0700"
ชาวโคราช ตั้งคำถามปมย้าย นพ.เกรียงศักดิ์ พ้นผอ.รพ.มหาราชนครราชสีมากลางคัน ทั้งที่ COVID-19 รอบใหม่กำลังแรงจากคลัสเตอร์ตลาดสุรนารี พบผู้ติดเชื้อสะสมมากกว่า 500 คน คาดปมขวางซื้อชุดตรวจ ATK,ชาวโคราช ตั้งคำถามปมย้าย นพ.เกรียงศักดิ์ พ้นผอ.รพ.มหาราชนครราชสีมากลางคัน ทั้งที่ COVID-19 รอบใหม่กำลังแรงจากคลัสเตอร์ตลาดสุรนารี พบผู้ติดเชื้อสะสมมากกว่า 500 คน คาดปมขวางซื้อชุดตรวจ ATK,http://news.thaipbs.or.th/breakingnews,"Fri, 24 Sep 2021 10:16:00 +0700"
พยากรณ์อากาศ วันนี้ (24 ก.ย.64) บริเวณภาคตะวันออกเฉียงเหนือ และภาคตะวันออก มีฝนตกหนักถึงหนักมากบางพื้นที่ ส่วนภาคเหนือ และภาคกลาง มีฝนตกหนักบางแห่ง,พยากรณ์อากาศ วันนี้ (24 ก.ย.64) บริเวณภาคตะวันออกเฉียงเหนือ และภาคตะวันออก มีฝนตกหนักถึงหนักมากบางพื้นที่ ส่วนภาคเหนือ และภาคกลาง มีฝนตกหนักบางแห่ง,http://news.thaipbs.or.th/breakingnews,"Fri, 24 Sep 2021 09:42:15 +0700"
