title,summary,link,published
Necro Python Botnet ตัวฉกาจ เปลี่ยนเครื่องมือดูกล้องวงจรปิดให้กลายเป็นเหมืองขุดเหรียญดิจิทัล,พบการโจมตีใหม่ล่าสุดของ Necro Python Botnet จาก Freakout ที่มุ่งเป้าหมายไปที่เครื่องมือกล้องวงจรปิด เพื่อเปลี่ยนให้มันกลายเป็นเครื่องขุดเหมืองเหรียญดิจิทัล,https://news.thaiware.com/20295.html,"Fri, 15 Oct 2021 11:00:00 +0700"
ประธาน TSMC พบปัญหาการกักตุนชิป เริ่มชะลอการขายชิปให้กับบริษัทที่กักตุน,บริษัทผลิตชิปรายใหญ่ TSMC พบปัญหาลูกค้าบางส่วนกักตุนชิป จึงชะลอการจำหน่ายชิปให้ลูกค้าบางกลุ่ม และขายให้ลูกค้าที่ต้องการชิปแบบเร่งด่วนแทน,https://news.thaiware.com/20290.html,"Thu, 07 Oct 2021 16:30:00 +0700"
Windows 11 เปิดให้ดาวน์โหลดอย่างเป็นทางการแล้ว พร้อมวิธีเช็คคอมพิวเตอร์ที่รองรับ,ระบบปฏิบัติการ Windows 11 เปิดให้ดาวน์โหลด ติดตั้ง ใช้งานแล้วตั้งแต่วันนี้ พร้อมวิธีการเช็คสเปกเครื่องว่ารองรับ Windows 11 หรือไม่,https://news.thaiware.com/20289.html,"Tue, 05 Oct 2021 13:00:00 +0700"
รายชื่อแอปพลิเคชันบน Android ที่มีมัลแวร์หลอกขโมยเงิน GriftHorse แฝงตัวอยู่,มัลแวร์หลอกขโมยเงิน (Money-Stealing Malware) กำลังเป็นที่นิยมอย่างมาก ได้เงินง่าย มาดูรายชื่อแอปบน Android ที่มีมัลแวร์ขโมยเงิน GriftHorse แฝงตัวอยู่,https://news.thaiware.com/20286.html,"Mon, 04 Oct 2021 11:00:00 +0700"
[ลือ] Samsung อาจซุ่มพัฒนา Galaxy Watch รุ่นใหม่ที่ใช้การชาร์จด้วยพลังงานแสงอาทิตย์ !?,มีข่าวลือออกมาว่าทาง Samsung อาจกำลังซุ่มพัฒนา Galaxy Watch ตัวใหม่ให้สามารถชาร์จได้ด้วยพลังงานแสงอาทิตย์ก็เป็นได้ !?,https://news.thaiware.com/20283.html,"Thu, 30 Sep 2021 11:00:00 +0700"
"สรุปงาน Apple Event 2021 เปิดตัว iPhone 13, iPad รุ่นใหม่, iPad Mini และ Apple Watch Series 7","Apple จัดงาน Apple Event เดือนกันยายน 2021 เปิดตัว iPhone 13 4 รุ่นย่อย, iPad รุ่นที่ 9, iPad Mini รุ่นที่ 6 และ Apple Watch Serie 7 พร้อมเปิดราคาจำหน่ายในไทย",https://news.thaiware.com/20271.html,"Wed, 15 Sep 2021 13:00:00 +0700"
Google แยกการตั้งค่า Voice Match ออกจาก Assistant ปกติ ค้นหาเสียงเฉพาะบุคคลและตามประเภทอุปกรณ์ได้,Google Assistant แยกการตั้งค่า Voice Match ออกมา เพื่อการตั้งค่าที่ง่ายขึ้น เลือกใช้งาน Voice Match เฉพาะบางอุปกรณ์ได้,https://news.thaiware.com/20269.html,"Fri, 10 Sep 2021 16:00:00 +0700"
Apple เคาะวันจัดงาน Apple Event ประจำเดือนกันยายนเปิดตัว iPhone 13 พร้อม Gadget ใหม่ !,Apple เคาะวันจัดงาน Apple Event ประจำเดือนกันยายนนี้แล้วเป็นวันที่ 14 กันยายน (หรือเที่ยงคืนวันที่ 15 ตามเวลาประเทศไทย) เปิดตัว iPhone 13 พร้อม Gadget ใหม่,https://news.thaiware.com/20267.html,"Wed, 08 Sep 2021 18:30:00 +0700"
(ลือ) Apple Watch อาจเปิดตัวพร้อม iPhone 13 แต่อาจวางจำหน่ายล่าช้ากว่าปกติ,นาฬิกา Apple Watch Series 7 อาจเปิดตัวพร้อมกับ iPhone 13 ในเดือนกันยายน แต่อาจประสบปัญหาสินค้ามีจำนวนจำกัดและวางจำหน่ายล่าช้า,https://news.thaiware.com/20266.html,"Mon, 06 Sep 2021 18:30:00 +0700"
Google เพิ่มฟีเจอร์ใหม่ให้ผู้ใช้สามารถเรียกใช้ไฟล์ต่าง ๆ บน Google Drive แบบ Offline ได้แล้ว !,ไม่ต้องกังวลกับปัญหาอินเทอร์เน็ตหลุดแล้วไฟล์มีปัญหาอีกต่อไป เพราะ Google ได้เพิ่มฟีเจอร์ใหม่ให้ผู้ใช้สามารถบันทึกไฟล์เพื่อเรียกใช้งานในรูปแบบ Offline ได้แล้ว,https://news.thaiware.com/20265.html,"Fri, 03 Sep 2021 17:30:00 +0700"
Chrome 95 พร้อมให้อัปเดตแล้ว เพิ่มลูกเล่นใหม่เพียบ,เว็บเบราว์เซอร์ Chrome จาก Google ปล่อยเวอร์ชัน 95 ออกมาให้อัปเดตแล้วนะ คุณสมบัติใหม่เพียบ มีอะไรน่าสนใจบ้าง มาส่องกัน,https://news.thaiware.com/20299.html,"Wed, 20 Oct 2021 16:30:00 +0700"
WordPress แนะนำให้ผู้ใช้รีบอัปเดต WP Fastest Cache หลังตรวจพบช่องโหว่ภายในระบบ !,ทาง WordPress แนะนำผู้ใช้ให้รีบอัปเดต WP Fastest Cache ให้เป็นเวอร์ชัน 0.9.5 โดยเร็วที่สุดหลังพบช่องโหว่ในระบบบน Plug-in ยอดนิยม,https://news.thaiware.com/20300.html,"Thu, 21 Oct 2021 11:00:00 +0700"
(ลือ) หลุดภาพ Macbook Air รุ่นใหม่ อาจเปลี่ยนไปใช้สีสันน่ารัก ๆ แบบ iMac ในปี 2022,พบภาพหลุด MacBook Air รุ่นใหม่ ปี 2020 อาจเปลี่ยนไปใช้สีสันแบบ iMac หน้าจอมี Notch รอยบาก และอาจรองรับ MagSafe ในอนาคต,https://news.thaiware.com/20302.html,"Mon, 25 Oct 2021 17:00:00 +0700"
เตือนภัย ! แฮกเกอร์ใช้ YouTube เป็นช่องทางแพร่กระจายไวรัสโทรจัน,แฮกเกอร์ใช้ YouTube เป็นช่องทางแพร่กระจายไวรัสโทรจัน หวังขโมยรหัสผ่าน (Password) ข้อมูลบัตรเครดิตเหยื่อ พบว่ามีการนำ Google Account ที่ขโมยมาสร้างช่องใหม่ด้วย,https://news.thaiware.com/20303.html,"Tue, 26 Oct 2021 17:00:00 +0700"
ระวัง ! พบบัคชนิดใหม่บน iOS เข้าถึงและโจมตีอุปกรณ์แอปเปิลได้ในคลิกเดียว,นักวิจัยเผย พบบัคเจาะเข้าสู่ระบบปฏิบัติการ iOS ผ่านเบราว์เซอร์ โดยใช้วิธี Watering-Hole ดึงดูดผู้ใช้งานเว็บไซต์ให้ปล่อยมัลแวร์และทำความเสียหายแก่ระบบ,https://news.thaiware.com/20306.html,"Thu, 28 Oct 2021 17:00:00 +0700"
เมื่อตำนานอัศวินโต๊ะกลมไม่ได้มีแค่ “กษัตริย์อาเธอร์” บันทึกแห่งความกล้าหาญจะถูกเปิดขึ้นใน “The Green Knight ศึกโค่นอัศวินอมตะ”,คุณรู้ไหมใครคือ “เซอร์กาเวน” ? เมื่อตำนานอัศวินโต๊ะกลมไม่ได้มีแค่ “กษัตริย์อาเธอร์” “The Green Knight ศึกโค่นอัศวินอมตะ”,https://news.thaiware.com/20308.html,"Thu, 28 Oct 2021 19:00:00 +0700"
Facebook ประกาศ Rebranding เปลี่ยนชื่อบริษัท (หลัก) เป็น Meta !,Mark Zuckerberg CEO ประจำบริษัท Facebook ได้ประกาศว่าจะปรับเปลี่ยนชื่อบริษัท (หลัก) จาก Facebook เป็น Meta หวังช่วยเปิดประสบการณ์ใหม่ในการใช้โซเชียลมีเดีย,https://news.thaiware.com/20309.html,"Fri, 29 Oct 2021 16:00:00 +0700"
ไมโครซอฟต์เตือน ! ระวัง Password Spraying พุ่งเป้ากลุ่มผู้ใช้งานคลาวด์ระดับผู้บริหารและองค์กร,Microsoft เตือนภัยไซเบอร์รูปแบบใหม่ Password Spraying Attack เจาะกลุ่มผู้บริหารระดับสูงที่มีข้อมูลสำคัญและองค์กร,https://news.thaiware.com/20312.html,"Tue, 02 Nov 2021 16:30:00 +0700"
Microsoft เตรียมเปิดตัว Clipchamp บน Microsoft 365 พร้อมใช้งานร่วม Office เร็ว ๆ นี้ !,Microsoft เตรียมเปิดให้ใช้งาน Clipchamp บน Microsoft 365 พร้อมใช้งานร่วมกับ Office และเพิ่มฟีเจอร์ใหม่เร็ว ๆ นี้,https://news.thaiware.com/20313.html,"Wed, 03 Nov 2021 16:30:00 +0700"
ระวัง ! AbstractEmu ไวรัส Rootkit ตัวใหม่ ฝังตัวบนแอปมือถือ Android เข้ายึดเครื่องเป้าหมาย,ระวัง ! AbstractEmu ไวรัส Rootkit ตัวใหม่ ฝังตัวบนแอปมือถือ Android เพื่อเข้ายึดระบบผู้ใช้งาน ควรป้องกันอย่างไร,https://news.thaiware.com/20316.html,"Thu, 04 Nov 2021 16:00:00 +0700"
