title,summary,link,published
“ORZON Ventures” ชูจุดแข็งจาก 500 TukTuks เปลี่ยน ‘คนตัวเล็ก’ ให้เป็นสตาร์ทอัพแห่ง SEA,"“ORZON Ventures"" ชูจุดแข็งจาก 500 TukTuks เปลี่ยน ‘คนตัวเล็ก’ ให้เป็นสตาร์ทอัพแห่ง SEA",https://thaipublica.org/2021/10/orzon-ventures-native-ad-19-10-2564/,2021_10_20
เกียรตินาคินภัทรมอบ ‘Gallery of Trees’แก่ห้องสมุดออนไลน์และประชาชน-ปล่อยภาพต้นไม้ดาวน์โหลดฟรี,เกียรตินาคินภัทร เดินหน้าภารกิจสีเขียว มอบหนังสือ ‘Gallery of Trees’ ห้องแสดงความงามแห่งมวลไม้ใหญ่ พร้อมปล่อยภาพต้นไม้ให้ดาวน์โหลดฟรี,https://thaipublica.org/2021/10/kkp-gallery-of-trees-pr/,2021_10_20
Krungthai COMPASS ชี้ IMF มองศก.โลกปีนี้ฟื้นตัวใกล้เคียงกับที่คาด ท่ามกลางความไม่แน่นอนของเงินเฟ้อ,IMF ปรับลดคาดการณ์เศรษฐกิจโลกปี 2021 ขยายตัวที่ 5.9% ต่ำกว่าประมาณการครั้งก่อนเล็กน้อย ท่ามกลางความไม่แน่นอนของเงินเฟ้อ และการฟื้นตัวในอัตราที่ต่างกันของแต่ละกลุ่มประเทศ,https://thaipublica.org/2021/10/krungthai-compass34/,2021_10_20
โลกร้อน : “30 ปีแห่งวาทะที่ไร้สาระของผู้นำโลก”,การเปลี่ยนแปลงสภาพภูมิอากาศไม่ใช่เป็นแต่เพียงภัยคุกคามเท่านั้น แต่เป็นโอกาสที่จะทำให้โลกของเรามีความสมบูรณ์มากขึ้น สะอาดขึ้น และมีความเขียวกว่าเดิม ซึ่งจะเป็นประโยชน์กับพวกเราทุกคน เราต้องมองเห็นโอกาสเหล่านี้,https://thaipublica.org/2021/10/thai-climate-justice-for-all12/,2021_10_20
BKI ขานรับ คปภ. ยินดีร่วมโครงการช่วยเหลือลูกค้าเอเชียประกันภัยที่ได้รับผลกระทบ,กรุงเทพประกันภัยพร้อมยินดีให้ความช่วยเหลือดูแลลูกค้าของเอเชียประกันภัย ที่ได้รับผลกระทบจากกรณีการเพิกถอนใบอนุญาต เพื่อบรรเทาความเดือดร้อนให้แก่ผู้เอาประกันภัย,https://thaipublica.org/2021/10/bki-pr-20-10-2564/,2021_10_20
บสย. ค้ำทะลุ 2 แสนล้านบาท หนุนจ้างงานกว่า 2 ล้านราย ลุยเติมทุน SMEs ฟื้นกิจการ,ธุรกิจฟื้นตัว! บสย. ค้ำทะลุ 2 แสนล้านบาท หนุนจ้างงานกว่า 2 ล้านราย ลุยโค้งสุดท้าย เติมทุน SMEs Restart กิจการ,https://thaipublica.org/2021/10/tcg-pr-20-10-2564/,2021_10_20
พีทีที สเตชั่น-พีทีที ลูบริแคนท์ส-คาเฟ่ อเมซอน คว้ารางวัลแบรนด์ยอดนิยม 10 ปีซ้อน,พีทีที สเตชั่น พีทีที ลูบริแคนท์ส และ คาเฟ่ อเมซอน คว้ารางวัล Marketeer No.1 Brand Thailand 2020 - 2021 แบรนด์ยอดนิยม 10 ปีซ้อน,https://thaipublica.org/2021/10/ptt-atation-or-pr-20-10-2564/,2021_10_20
Squid Game กระแสตอบกลับของทั่วโลก,ซีรีส์ชื่อดังจากเกาหลี “Squid Game” หลายประเทศกลับนำกระแสในเกมมาทำส่งเสริมในด้านการค้า หรือการสร้างวีดีโอเกม ได้กระแสตอบรับจากทั่วโลกในแง่ดีทั้งบทละคร และนักแสดง แต่ไทยมองว่าเป็นซีรีส์ที่ส่งเสริมความรุนแรง อาจทำให้เด็กและเยาวชนเลียนแบบพฤติกรรมได้,https://thaipublica.org/2021/10/squid-game-global-response/,2021_10_20
"“สุพัฒนพงษ์” ควักเงินกองทุนฯเดือนละ 5,000 ล้าน – กู้ 2 หมื่นล้าน ตรึงดีเซล 30 บาท ไม่พอลดภาษี","“สุพัฒนพงษ์” เดินหน้าใช้เงินกองทุนน้ำมันเดือนละ 5,000 ล้านบาท - กู้อีก 20,000 ล้านบาท ตรึงราคาดีเซลลิตรละ 30 บาท หากยังไม่พอลดภาษีสรรพสามิตต่อไป มติ กบง.ยกเลิกดีเซล B6 กลับไปใช้สูตรเดิม “B7-B10-B20” ค่าการตลาดไม่เกินลิตรละ 1.40 บาท เริ่ม 1 พ.ย.นี้",https://thaipublica.org/2021/10/freeze-price-diesel-fuel-30-baht-per-liter/,2021_10_20
"“กรุงไทย” กำไรสุทธิช่วง 9 เดือน 16,645 ล้านบาท","“กรุงไทย” ประกาศผลดำเนินงานช่วง 9 เดือนปี 2564 มีกำไรสุทธิ 16,645 ล้านบาท เพิ่มขึ้นร้อยละ 25.3 จากช่วงเดียวกันของปีก่อน ตั้งสำรอง 24,291 ล้านบาท",https://thaipublica.org/2021/10/ktb-performance-9-months-2021-pr/,2021_10_20
